ra,dec,z,z_err,discdate,mjd,mag,dmag,flux,dflux,zp,filter
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58177.645339,17.673,0.152,310.0,47.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58177.656779,17.5,0.057,363.0,21.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58177.667106,17.566,0.089,342.0,30.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58179.47869,17.329,0.082,425.0,35.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58179.489454,17.42,0.069,391.0,27.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58179.496754,17.389,0.076,402.0,30.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58179.503642,17.435,0.066,385.0,25.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58181.657078,17.427,0.394,388.0,153.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58183.624039,17.434,0.051,386.0,20.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58183.646344,17.414,0.07,393.0,27.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58183.658198,17.438,0.064,384.0,24.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58185.619788,17.611,0.073,328.0,24.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58185.637043,17.565,0.114,342.0,39.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58185.650648,17.868,0.259,259.0,67.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58205.557272,18.213,0.101,188.0,19.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58205.575922,18.105,0.091,208.0,19.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58205.580279,18.096,0.092,210.0,19.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58205.597235,18.132,0.085,203.0,17.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58207.4955,18.274,0.106,178.0,19.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58207.501121,18.236,0.097,184.0,18.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58207.509672,18.074,0.089,214.0,19.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58207.515066,18.124,0.09,204.0,18.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58213.568836,18.476,0.119,148.0,18.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58213.572387,18.532,0.137,140.0,19.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58213.593085,18.395,0.112,159.0,18.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58213.606188,18.713,0.149,119.0,18.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58221.562427,18.734,0.105,117.0,12.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58221.578445,18.804,0.107,109.0,12.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58221.584543,18.914,0.113,99.0,11.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58221.596419,18.889,0.131,101.0,13.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58227.53768,18.543,0.191,139.0,26.0,23.9,c
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58227.547147,19.564,0.296,54.0,16.0,23.9,c
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58227.565985,19.286,0.295,70.0,21.0,23.9,c
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58227.573094,18.727,0.379,117.0,44.0,23.9,c
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58231.502064,18.801,0.091,110.0,10.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58231.518528,19.158,0.135,79.0,11.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58231.52542,19.18,0.146,77.0,11.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58231.540003,18.529,0.128,141.0,18.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58247.502817,19.639,0.223,51.0,11.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58247.507286,19.414,0.172,62.0,11.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58247.526986,19.646,0.196,50.0,10.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58247.540519,19.618,0.206,52.0,11.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58249.5022,19.871,0.358,41.0,15.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58249.506855,19.678,0.336,49.0,16.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58249.51898,19.702,0.342,48.0,16.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58249.525926,20.017,0.404,36.0,14.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58253.47462,19.324,0.208,68.0,14.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58253.497194,19.855,0.402,42.0,17.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58253.509931,19.144,0.196,80.0,16.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58257.454783,19.779,0.319,44.0,14.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58257.475251,20.49,0.483,23.0,11.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58257.488957,20.771,0.739,18.0,13.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58259.45422,20.821,0.392,17.0,7.0,23.9,c
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58259.464134,20.601,0.394,21.0,8.0,23.9,c
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58259.482813,21.164,0.579,12.0,7.0,23.9,c
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58259.489584,20.647,0.356,20.0,7.0,23.9,c
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58261.433759,20.258,0.5,29.0,14.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58261.450104,20.002,0.461,36.0,17.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58261.456517,19.446,0.269,60.0,16.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58261.469785,19.745,0.32,46.0,15.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58263.464301,17.984,0.293,232.0,68.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58265.466535,19.365,0.57,65.0,37.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58269.45028,19.818,0.475,43.0,20.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58273.433115,20.173,0.514,31.0,16.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58273.444167,20.566,0.762,22.0,16.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58273.46294,20.35,0.589,26.0,16.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58275.434113,19.933,0.274,39.0,11.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58275.44521,20.522,0.485,22.0,11.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58275.46831,20.295,0.412,28.0,11.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58277.44838,19.538,0.258,56.0,14.0,23.9,o
227.35632,25.47154,0.022000,None,2018-02-28 15:28:48.000,58277.459809,20.537,0.629,22.0,14.0,23.9,o
227.356333333333,25.4715444444444,0.022000,None,2018-02-28 15:28:48.000,58203.37734950008,19.879484570586015,0.12239260082951525,361.148796349588,40.7114916845255,26.2737,ZTF_g
227.356333333333,25.4715444444444,0.022000,None,2018-02-28 15:28:48.000,58206.34461810021,20.319399723284377,0.2627136542425185,240.924025322493,58.2959569827371,26.2741,ZTF_g
227.356333333333,25.4715444444444,0.022000,None,2018-02-28 15:28:48.000,58206.36556709977,19.87868140892576,0.16168002236202286,366.511356885666,54.5782337527453,26.2889,ZTF_g
227.356333333333,25.4715444444444,0.022000,None,2018-02-28 15:28:48.000,58210.38798609981,20.79364224371257,0.7879556091204859,138.147523044398,100.258345619963,26.1445,ZTF_g
227.356333333333,25.4715444444444,0.022000,None,2018-02-28 15:28:48.000,58229.33655089978,21.81033125707497,0.3794971403382074,62.7519891894584,21.9336891811558,26.3044,ZTF_g
227.356333333333,25.4715444444444,0.022000,None,2018-02-28 15:28:48.000,58538.43854170013,18.767679976666184,0.7285501250214025,141.581989051023,95.0042702561463,24.1452,ZTF_g
