ra,dec,z,z_err,discdate,mjd,mag,dmag,flux,dflux,zp,filter
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60156.00244,18.656,0.224,125.0,28.0,23.9,o
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60160.753164,18.294,0.084,175.0,15.0,23.9,o
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60160.753615,18.424,0.083,155.0,13.0,23.9,o
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60160.761018,18.232,0.071,185.0,13.0,23.9,o
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60160.763727,18.331,0.091,169.0,15.0,23.9,o
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60160.764177,18.418,0.089,156.0,14.0,23.9,o
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60160.775257,18.145,0.067,200.0,13.0,23.9,o
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60162.018502,18.769,0.094,113.0,11.0,23.9,c
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60162.021678,18.534,0.094,140.0,13.0,23.9,c
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60162.028004,18.537,0.094,140.0,13.0,23.9,c
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60162.040637,18.63,0.112,128.0,14.0,23.9,c
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60163.740423,18.218,0.073,188.0,14.0,23.9,o
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60163.743596,18.255,0.078,181.0,14.0,23.9,o
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60163.751972,18.344,0.083,167.0,14.0,23.9,o
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60163.767687,18.224,0.071,186.0,13.0,23.9,o
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60166.714604,18.287,0.157,176.0,28.0,23.9,o
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60166.720984,18.503,0.11,144.0,16.0,23.9,o
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60166.731492,18.636,0.133,128.0,17.0,23.9,o
214.2616,10.82196,0.025000,None,2023-08-04 06:24:57.312,60169.732082,18.687,0.129,122.0,16.0,23.9,o
214.2615914779307,10.821962036527848,0.025000,None,2023-08-04 06:24:57.312,60159.235393499956,18.47129161319766,0.0641425467104036,1279.74474450803,75.6040801551283,26.2391,ZTF_r
214.2615914779307,10.821962036527848,0.025000,None,2023-08-04 06:24:57.312,60162.237395800184,18.157233478902647,0.032524104359732665,1721.02273884504,51.5546252563643,26.2467,ZTF_r
214.2615914779307,10.821962036527848,0.025000,None,2023-08-04 06:24:57.312,60165.20331020001,18.222821764629522,0.029644784312306858,1602.17995576105,43.7456897999792,26.2346,ZTF_r
