# Data from 'ATLAS' for 'SN ATLAS2022an'
RA, Dec, F, MJD, m, dm, uJy, duJy, zp, source
190.88433, -41.36599, o, 59563.632367, -20.052, 0.746, -35, 26, nan, ATLAS
190.88433, -41.36599, o, 59563.648116, -19.862, 0.439, -41, 18, nan, ATLAS
190.88433, -41.36599, o, 59563.658187, -20.852, 1.618, -17, 27, nan, ATLAS
190.88433, -41.36599, o, 59563.663277, -20.074, 1.382, -34, 47, nan, ATLAS
190.88433, -41.36599, c, 59586.098972, 16.035, 0.021, 1399, 30, 16.035455713770432, ATLAS
190.88433, -41.36599, c, 59586.104613, 16.082, 0.07, 1340, 94, 16.08223800408798, ATLAS
190.88433, -41.36599, c, 59589.629737, 16.499, 0.023, 913, 21, 16.49882305616425, ATLAS
190.88433, -41.36599, c, 59589.63294, 16.481, 0.021, 928, 20, 16.481130059452845, ATLAS
190.88433, -41.36599, c, 59589.650221, 16.547, 0.024, 873, 21, 16.547464390736074, ATLAS
190.88433, -41.36599, c, 59589.655264, 16.543, 0.029, 877, 26, 16.542501016584897, ATLAS
190.88433, -41.36599, o, 59591.595467, 15.996, 0.015, 1451, 21, 15.995831468905658, ATLAS
190.88433, -41.36599, o, 59591.598692, 16.036, 0.016, 1398, 22, 16.036232071475844, ATLAS
190.88433, -41.36599, o, 59591.601454, 15.999, 0.017, 1446, 25, 15.999579267603718, ATLAS
190.88433, -41.36599, o, 59591.606518, 16.034, 0.017, 1401, 24, 16.033904661785563, ATLAS
190.88433, -41.36599, o, 59593.10297, 16.189, 0.018, 1215, 22, 16.18855930516417, ATLAS
190.88433, -41.36599, o, 59593.10443, 16.171, 0.017, 1234, 21, 16.17171210075694, ATLAS
190.88433, -41.36599, o, 59593.10583, 16.158, 0.018, 1250, 22, 16.157724967479858, ATLAS
190.88433, -41.36599, o, 59593.107227, 16.164, 0.019, 1243, 23, 16.163822178395886, ATLAS
190.88433, -41.36599, o, 59595.599857, 16.381, 0.039, 1017, 39, 16.381697617693135, ATLAS
190.88433, -41.36599, o, 59595.603097, 16.438, 0.038, 966, 37, 16.437557183961264, ATLAS
190.88433, -41.36599, o, 59595.605861, 16.466, 0.034, 941, 32, 16.466025941431855, ATLAS
190.88433, -41.36599, o, 59595.614033, 16.362, 0.035, 1036, 36, 16.361600611476963, ATLAS
190.88433, -41.36599, o, 59597.050928, 16.576, 0.035, 851, 30, 16.57517609978853, ATLAS
190.88433, -41.36599, o, 59597.052326, 16.564, 0.031, 860, 27, 16.56375387189108, ATLAS
190.88433, -41.36599, o, 59597.075593, 16.598, 0.034, 833, 29, 16.598387496483028, ATLAS
190.88433, -41.36599, o, 59597.093236, 16.578, 0.031, 849, 26, 16.577730774390115, ATLAS
190.88433, -41.36599, o, 59599.578062, 16.749, 0.052, 725, 37, 16.749154983572517, ATLAS
190.88433, -41.36599, o, 59599.581282, 16.645, 0.043, 798, 34, 16.644992771623173, ATLAS
190.88433, -41.36599, o, 59599.584043, 16.83, 0.051, 673, 34, 16.82996233944006, ATLAS
190.88433, -41.36599, o, 59599.597284, 16.758, 0.043, 719, 31, 16.758177774042792, ATLAS
190.88433, -41.36599, o, 59600.997789, 16.777, 0.04, 707, 28, 16.776451465507748, ATLAS
190.88433, -41.36599, o, 59601.000601, 16.723, 0.058, 743, 43, 16.72252796559856, ATLAS
190.88433, -41.36599, o, 59601.006322, 16.649, 0.043, 795, 34, 16.649082178358825, ATLAS
190.88433, -41.36599, o, 59601.027335, 16.705, 0.044, 755, 33, 16.705132620927028, ATLAS
190.88433, -41.36599, o, 59603.573207, 17.123, 0.05, 514, 26, 17.12259220251181, ATLAS
190.88433, -41.36599, o, 59603.575051, 17.263, 0.057, 452, 26, 17.26215391297154, ATLAS
190.88433, -41.36599, o, 59603.578736, 17.137, 0.061, 507, 31, 17.137480101666657, ATLAS
190.88433, -41.36599, o, 59603.584263, 17.15, 0.059, 501, 30, 17.150405685331883, ATLAS
190.88433, -41.36599, o, 59605.071982, 16.956, 0.056, 599, 34, 16.95643294402672, ATLAS
190.88433, -41.36599, o, 59605.074779, 17.026, 0.057, 562, 32, 17.025659211077347, ATLAS
190.88433, -41.36599, o, 59605.080505, 16.523, 0.265, 893, 237, 16.522871352778633, ATLAS
