# Combined data from 'ATLAS-ZTF' for 'SN 2018eyi'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
246.30213, 40.84029, o, 58244.504895, 20.876, 1.261, 16, 20, 20.889700043360186, ATLAS-ZTF
246.30213, 40.84029, o, 58244.511475, -21.316, 1.33, -11, 14, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58244.523516, 20.795, 1.828, 18, 32, 20.761818737241732, ATLAS-ZTF
246.30213, 40.84029, o, 58244.530939, 20.738, 1.365, 18, 25, 20.761818737241732, ATLAS-ZTF
246.30213, 40.84029, o, 58246.515325, 18.549, 0.396, 138, 55, 18.550302283996906, ATLAS-ZTF
246.30213, 40.84029, o, 58246.524603, 16.734, 0.357, 735, 263, 16.73428165228951, ATLAS-ZTF
246.30213, 40.84029, o, 58246.530686, 16.419, 0.577, 982, 566, 16.419721280532624, ATLAS-ZTF
246.30213, 40.84029, o, 58246.544193, 17.275, 0.985, 447, 440, 17.274231192170156, ATLAS-ZTF
246.30213, 40.84029, o, 58248.504359, 20.575, 0.556, 21, 12, 20.5944517631652, ATLAS-ZTF
246.30213, 40.84029, o, 58248.515055, -21.074, 0.625, -14, 8, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58248.519217, 20.93, 0.494, 15, 8, 20.959771852360795, ATLAS-ZTF
246.30213, 40.84029, o, 58248.531692, -22.6, 2.704, -3, 9, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58250.485299, 20.03, 0.644, 35, 23, 20.03982988912431, ATLAS-ZTF
246.30213, 40.84029, o, 58250.491333, -20.322, 1.613, -27, 44, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58250.49179, 17.971, 0.764, 235, 180, 17.972330344320657, ATLAS-ZTF
246.30213, 40.84029, o, 58250.493208, 21.364, 5.85, 10, 60, 21.4, ATLAS-ZTF
246.30213, 40.84029, o, 58250.504779, 17.492, 1.256, 366, 459, 17.491297286513973, ATLAS-ZTF
246.30213, 40.84029, o, 58250.505764, 20.37, 2.579, 26, 67, 20.362566630072955, ATLAS-ZTF
246.30213, 40.84029, o, 58250.506228, 19.822, 0.881, 43, 38, 19.816328861051034, ATLAS-ZTF
246.30213, 40.84029, o, 58250.509814, -20.206, 0.826, -30, 25, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58254.553793, -19.392, 0.197, -64, 12, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58254.564412, -20.324, 0.538, -27, 14, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58254.577638, -19.991, 0.418, -37, 15, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58254.590835, -20.707, 1.489, -19, 28, nan, ATLAS-ZTF
246.30213, 40.84029, c, 58256.487709, -21.4, 0.623, -10, 6, nan, ATLAS-ZTF
246.30213, 40.84029, c, 58256.498077, -21.095, 0.637, -13, 8, nan, ATLAS-ZTF
246.30213, 40.84029, c, 58256.503177, 20.853, 0.48, 16, 8, 20.889700043360186, ATLAS-ZTF
246.30213, 40.84029, c, 58256.518347, 24.351, 10.2, 1, 7, 23.9, ATLAS-ZTF
246.30213, 40.84029, o, 58258.556263, -21.335, 1.273, -11, 14, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58258.573471, -21.081, 1.107, -13, 15, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58258.58738, -20.161, 0.437, -31, 14, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58258.600066, -20.139, 0.393, -32, 13, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58260.575207, 21.026, 0.897, 14, 13, 21.034679910804403, ATLAS-ZTF
246.30213, 40.84029, o, 58260.589083, 22.913, 7.9, 2, 20, 23.147425010840045, ATLAS-ZTF
246.30213, 40.84029, o, 58260.604711, -21.803, 2.235, -7, 15, nan, ATLAS-ZTF
246.30213, 40.84029, o, 58260.615802, -21.231, 3.921, -12, 46, nan, ATLAS-ZTF
