# Combined data from 'ATLAS-ZTF' for 'SN 2019noh'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
346.41982, 27.66598, o, 58621.606357, -19.378, 0.573, -64, 37, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58621.613863, 19.715, 0.865, 47, 41, 19.719755355160704, ATLAS-ZTF
346.41982, 27.66598, o, 58623.612234, 17.493, 0.301, 366, 110, 17.491297286513973, ATLAS-ZTF
346.41982, 27.66598, o, 58624.519509, -21.808, 4.404, -7, 30, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58624.52693, 19.978, 0.633, 37, 24, 19.97949568983251, ATLAS-ZTF
346.41982, 27.66598, o, 58624.528788, 19.293, 0.491, 70, 34, 19.287254899964356, ATLAS-ZTF
346.41982, 27.66598, o, 58624.533377, 19.274, 0.574, 71, 41, 19.27185412820231, ATLAS-ZTF
346.41982, 27.66598, o, 58629.620801, 22.121, 13.258, 5, 68, 22.15257498915995, ATLAS-ZTF
346.41982, 27.66598, o, 58629.623748, 18.129, 0.752, 204, 153, 18.12592458143525, ATLAS-ZTF
346.41982, 27.66598, o, 58633.601596, -21.515, 2.333, -9, 21, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58633.604379, 19.873, 0.328, 41, 13, 19.86804035820066, ATLAS-ZTF
346.41982, 27.66598, o, 58633.608811, -19.937, 0.373, -38, 14, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58633.609732, 19.932, 0.442, 39, 17, 19.92233848243375, ATLAS-ZTF
346.41982, 27.66598, o, 58633.619348, 20.547, 2.411, 22, 53, 20.543943297944484, ATLAS-ZTF
346.41982, 27.66598, o, 58633.619808, -19.505, 0.836, -57, 48, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58633.622186, 19.633, 1.594, 51, 81, 19.631074559755156, ATLAS-ZTF
346.41982, 27.66598, c, 58635.603985, -20.357, 0.394, -26, 10, nan, ATLAS-ZTF
346.41982, 27.66598, c, 58635.609059, 21.347, 1.096, 10, 12, 21.4, ATLAS-ZTF
346.41982, 27.66598, c, 58635.622596, 20.208, 4.066, 30, 122, 20.207196863200842, ATLAS-ZTF
346.41982, 27.66598, o, 58637.603494, 20.412, 1.0, 25, 25, 20.405149978319905, ATLAS-ZTF
346.41982, 27.66598, o, 58637.610464, -20.29, 0.774, -28, 22, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58641.596046, 18.604, 0.392, 131, 52, 18.606821760860587, ATLAS-ZTF
346.41982, 27.66598, o, 58641.604572, 19.537, 0.245, 56, 14, 19.529529932484497, ATLAS-ZTF
346.41982, 27.66598, o, 58641.621009, 19.579, 0.667, 54, 36, 19.569015600442576, ATLAS-ZTF
346.41982, 27.66598, o, 58643.604502, -21.479, 1.212, -9, 11, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58643.608238, -21.438, 1.284, -10, 12, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58643.618539, 22.266, 9.14, 4, 41, 22.394850021680092, ATLAS-ZTF
346.41982, 27.66598, o, 58643.623809, 18.655, 1.562, 125, 196, 18.657724967479858, ATLAS-ZTF
346.41982, 27.66598, o, 58645.594276, 18.963, 0.169, 94, 16, 18.967180366000754, ATLAS-ZTF
346.41982, 27.66598, o, 58645.601681, -20.535, 0.689, -22, 15, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58645.605365, -22.013, 2.714, -6, 15, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58645.615267, 21.328, 1.933, 11, 21, 21.296518287104437, ATLAS-ZTF
346.41982, 27.66598, o, 58645.61938, -22.377, 10.368, -4, 42, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58647.580709, 20.452, 0.486, 24, 12, 20.449471895720983, ATLAS-ZTF
346.41982, 27.66598, o, 58647.583957, 21.291, 1.04, 11, 12, 21.296518287104437, ATLAS-ZTF
346.41982, 27.66598, o, 58649.584219, -20.599, 0.979, -21, 20, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58649.590399, -19.797, 0.407, -44, 18, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58649.605266, -20.243, 0.574, -29, 17, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58649.611144, -20.243, 0.493, -29, 14, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58653.584742, 20.986, 1.471, 15, 22, 20.959771852360795, ATLAS-ZTF
346.41982, 27.66598, o, 58653.590012, -19.964, 0.639, -38, 24, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58653.594272, -19.095, 0.287, -84, 24, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58653.609008, 20.827, 1.321, 17, 22, 20.823877696554312, ATLAS-ZTF
346.41982, 27.66598, o, 58655.57346, -17.955, 0.28, -239, 67, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58655.576674, 20.56, 1.255, 22, 27, 20.543943297944484, ATLAS-ZTF
346.41982, 27.66598, o, 58665.557077, 20.327, 0.465, 27, 12, 20.32159058960253, ATLAS-ZTF
346.41982, 27.66598, o, 58665.562252, 20.731, 0.678, 18, 13, 20.761818737241732, ATLAS-ZTF
346.41982, 27.66598, o, 58665.577926, -21.989, 2.115, -6, 12, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58665.58807, -20.158, 0.381, -31, 12, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58674.605428, -24.993, 32.5, 0, 12, inf, ATLAS-ZTF
346.41982, 27.66598, o, 58674.612064, -20.009, 0.333, -36, 12, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58674.615494, -21.165, 1.19, -12, 15, nan, ATLAS-ZTF
346.41982, 27.66598, o, 58674.620064, -21.087, 1.432, -13, 19, nan, ATLAS-ZTF
