# Combined data from 'ATLAS-ZTF' for 'SN 2020vae'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
270.74467, 52.11508, o, 59026.414267, 14.432, 0.002, 6126, 14, 14.432057518823614, ATLAS-ZTF
270.74467, 52.11508, o, 59026.448129, 15.159, 0.004, 3136, 14, 15.159059864968997, ATLAS-ZTF
270.74467, 52.11508, o, 59026.451351, 15.307, 0.004, 2737, 12, 15.30681300647469, ATLAS-ZTF
270.74467, 52.11508, o, 59026.454571, 15.875, 0.007, 1622, 11, 15.874872875312155, ATLAS-ZTF
270.74467, 52.11508, o, 59026.456868, 15.036, 0.003, 3512, 12, 15.036113731914837, ATLAS-ZTF
270.74467, 52.11508, o, 59026.457791, 15.159, 0.005, 3137, 15, 15.158713703255636, ATLAS-ZTF
270.74467, 52.11508, o, 59026.463365, 18.868, 0.136, 103, 14, 18.86790693823707, ATLAS-ZTF
270.74467, 52.11508, o, 59026.496966, 17.483, 0.061, 369, 23, 17.482434084602346, ATLAS-ZTF
270.74467, 52.11508, c, 59028.439345, 16.235, 0.009, 1164, 11, 16.235117549215325, ATLAS-ZTF
270.74467, 52.11508, c, 59028.443066, 15.648, 0.005, 1999, 10, 15.647968014704706, ATLAS-ZTF
270.74467, 52.11508, c, 59028.448557, 16.262, 0.009, 1136, 10, 16.261554171562498, ATLAS-ZTF
270.74467, 52.11508, c, 59028.459189, 15.48, 0.004, 2333, 10, 15.480213153015617, ATLAS-ZTF
270.74467, 52.11508, o, 59030.399325, 15.051, 0.004, 3463, 15, 15.051368771126347, ATLAS-ZTF
270.74467, 52.11508, o, 59030.431903, 14.439, 0.003, 6084, 18, 14.439526986547596, ATLAS-ZTF
270.74467, 52.11508, o, 59030.435127, 14.763, 0.004, 4514, 16, 14.76359611314564, ATLAS-ZTF
270.74467, 52.11508, o, 59030.439274, 14.505, 0.003, 5730, 16, 14.504613445081525, ATLAS-ZTF
270.74467, 52.11508, o, 59030.442498, 15.073, 0.005, 3396, 17, 15.072580796070211, ATLAS-ZTF
270.74467, 52.11508, o, 59030.442958, 14.381, 0.003, 6422, 17, 14.38082424692379, ATLAS-ZTF
270.74467, 52.11508, o, 59030.448494, 18.6, 0.162, 132, 21, 18.598565171985374, ATLAS-ZTF
270.74467, 52.11508, o, 59030.482547, 18.825, 0.144, 107, 15, 18.826540555786973, ATLAS-ZTF
270.74467, 52.11508, o, 59032.371073, 15.143, 0.005, 3182, 17, 15.143249561723591, ATLAS-ZTF
270.74467, 52.11508, o, 59032.372902, 18.884, 0.256, 101, 26, 18.889196565543394, ATLAS-ZTF
270.74467, 52.11508, o, 59032.375645, 18.448, 0.14, 152, 21, 18.44539103013807, ATLAS-ZTF
270.74467, 52.11508, o, 59032.381133, 15.436, 0.006, 2430, 16, 15.435984316004218, ATLAS-ZTF
270.74467, 52.11508, o, 59034.408027, 18.73, 0.244, 117, 29, 18.729535345634595, ATLAS-ZTF
270.74467, 52.11508, o, 59034.411356, 18.185, 0.124, 193, 24, 18.186106727480563, ATLAS-ZTF
270.74467, 52.11508, o, 59034.417818, 18.04, 0.103, 221, 23, 18.039019315787222, ATLAS-ZTF
270.74467, 52.11508, o, 59034.428896, 18.588, 0.193, 133, 26, 18.590370897582282, ATLAS-ZTF
270.74467, 52.11508, o, 59036.413225, -18.621, 0.203, -129, 26, nan, ATLAS-ZTF
270.74467, 52.11508, o, 59036.415995, -21.491, 2.378, -9, 22, nan, ATLAS-ZTF
270.74467, 52.11508, o, 59036.421569, 15.202, 0.008, 3015, 24, 15.201781708809573, ATLAS-ZTF
270.74467, 52.11508, o, 59036.433055, 18.824, 0.227, 107, 24, 18.826540555786973, ATLAS-ZTF
270.74467, 52.11508, o, 59038.411799, 15.293, 0.005, 2771, 15, 15.293408685544419, ATLAS-ZTF
270.74467, 52.11508, o, 59038.415021, 14.98, 0.005, 3699, 17, 14.979789171711513, ATLAS-ZTF
270.74467, 52.11508, o, 59038.421989, 15.211, 0.005, 2988, 16, 15.211548517141596, ATLAS-ZTF
270.74467, 52.11508, o, 59038.456067, 19.003, 0.238, 91, 22, 19.002396519197266, ATLAS-ZTF
270.74467, 52.11508, o, 59042.37989, 14.861, 0.004, 4128, 18, 14.860650778452111, ATLAS-ZTF
270.74467, 52.11508, o, 59042.383112, 15.022, 0.005, 3559, 17, 15.021680029990383, ATLAS-ZTF
270.74467, 52.11508, o, 59042.388654, 14.932, 0.004, 3866, 16, 14.931845375768663, ATLAS-ZTF
270.74467, 52.11508, o, 59042.402012, 14.83, 0.004, 4246, 18, 14.830050025425049, ATLAS-ZTF
270.74467, 52.11508, o, 59042.404393, 15.655, 0.006, 1986, 11, 15.655051889601593, ATLAS-ZTF
270.74467, 52.11508, o, 59042.437025, 14.691, 0.005, 4824, 26, 14.69148175216976, ATLAS-ZTF
270.74467, 52.11508, o, 59042.440713, 19.672, 0.744, 49, 37, 19.674509799928714, ATLAS-ZTF
270.74467, 52.11508, o, 59042.446242, 14.429, 0.004, 6145, 23, 14.428695281943815, ATLAS-ZTF
270.74467, 52.11508, o, 59046.374223, 14.514, 0.008, 5679, 43, 14.514320328291351, ATLAS-ZTF
270.74467, 52.11508, o, 59046.377445, 14.389, 0.006, 6374, 38, 14.388969852155714, ATLAS-ZTF
270.74467, 52.11508, o, 59046.382969, 18.148, 0.111, 200, 22, 18.147425010840045, ATLAS-ZTF
270.74467, 52.11508, o, 59046.393139, 18.506, 0.184, 144, 26, 18.504093769761873, ATLAS-ZTF
270.74467, 52.11508, o, 59046.39545, 13.892, 0.006, 10070, 56, 13.892426323615954, ATLAS-ZTF
270.74467, 52.11508, o, 59046.398676, 19.295, 0.55, 70, 38, 19.287254899964356, ATLAS-ZTF
270.74467, 52.11508, o, 59046.40466, 15.059, 0.006, 3440, 22, 15.058603893571174, ATLAS-ZTF
270.74467, 52.11508, o, 59046.438866, 14.391, 0.007, 6363, 41, 14.390845191909438, ATLAS-ZTF
270.74467, 52.11508, c, 59048.45611, 15.776, 0.005, 1778, 9, 15.775170608414511, ATLAS-ZTF
270.74467, 52.11508, c, 59048.459325, 16.509, 0.01, 905, 9, 16.50837855198699, ATLAS-ZTF
270.74467, 52.11508, c, 59048.464861, 16.683, 0.012, 770, 9, 16.683773187068795, ATLAS-ZTF
270.74467, 52.11508, c, 59048.500208, 16.499, 0.01, 913, 9, 16.49882305616425, ATLAS-ZTF
270.74467, 52.11508, o, 59050.378452, 15.336, 0.005, 2663, 14, 15.336572083902645, ATLAS-ZTF
270.74467, 52.11508, o, 59050.381681, 15.118, 0.003, 3258, 11, 15.117622300068772, ATLAS-ZTF
270.74467, 52.11508, o, 59050.388147, 16.191, 0.008, 1212, 9, 16.19124345042433, ATLAS-ZTF
270.74467, 52.11508, o, 59050.399205, 15.411, 0.005, 2487, 13, 15.410810536825158, ATLAS-ZTF
270.74467, 52.11508, o, 59054.365445, 15.016, 0.003, 3577, 12, 15.016202649627575, ATLAS-ZTF
270.74467, 52.11508, o, 59054.369128, 15.409, 0.004, 2491, 11, 15.409065681158731, ATLAS-ZTF
