# Combination of '2021wzb' data from 'ATLAS', 'ZTF'
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
c, 23.9, nan, 72.76725, -5.95689, 59436.585134, 22.703, 3.292, 3.0, 10.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59436.589281, 24.086, 11.857, 1.0, 10.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59436.595732, 21.212, 0.777, 12.0, 9.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59436.601723, -22.628, 2.567, -3.0, 8.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59436.606323, -20.446, 0.485, -24.0, 12.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59436.612842, 21.173, 0.699, 12.0, 9.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59436.614223, 25.162, 28.333, 0.0, 9.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59436.631332, 19.88, 1.06, 40.0, 43.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59438.602566, 20.905, 0.98, 16.0, 16.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59438.619586, 19.52, 0.193, 56.0, 11.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59438.62372, 21.14, 1.085, 13.0, 14.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59438.633335, 19.194, 0.487, 76.0, 37.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59444.581641, 20.49, 0.364, 23.0, 8.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59444.584866, 20.583, 0.437, 21.0, 9.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59444.591894, 20.017, 0.242, 36.0, 9.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59444.612206, 21.611, 1.277, 8.0, 10.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59447.599112, 21.131, 1.313, 13.0, 17.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59447.615314, 19.367, 0.291, 65.0, 19.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59447.621306, 19.136, 0.223, 80.0, 18.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59447.630527, 19.561, 0.285, 54.0, 16.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59448.605889, 19.382, 0.303, 64.0, 19.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59448.616064, 18.991, 0.225, 92.0, 21.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59448.624363, 19.464, 0.32, 60.0, 19.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59448.631274, 19.539, 0.363, 56.0, 20.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59452.567888, 18.581, 0.142, 134.0, 19.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59452.572497, 18.481, 0.117, 147.0, 17.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59452.579411, 18.615, 0.112, 130.0, 14.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59452.590911, 18.814, 0.146, 108.0, 16.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59454.574043, 18.517, 0.148, 142.0, 21.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59454.57725, 18.339, 0.137, 168.0, 23.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59454.584358, 18.435, 0.125, 153.0, 19.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59454.594431, 18.513, 0.117, 143.0, 17.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59456.607078, 18.36, 0.112, 164.0, 18.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59456.614004, 18.536, 0.132, 140.0, 18.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59456.628901, 18.581, 0.094, 134.0, 13.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59456.634001, 18.275, 0.098, 178.0, 18.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59460.591792, 18.625, 0.106, 129.0, 14.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59460.597325, 18.637, 0.104, 127.0, 13.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59460.601019, 18.564, 0.092, 136.0, 12.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59460.618661, 18.44, 0.095, 153.0, 15.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59462.614248, 19.127, 0.123, 81.0, 10.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59462.618845, 18.885, 0.092, 101.0, 9.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59462.626659, 19.014, 0.119, 90.0, 11.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59462.635499, 19.215, 0.2, 75.0, 15.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59464.562651, 18.8, 0.111, 110.0, 12.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59464.574227, 18.718, 0.098, 118.0, 12.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59464.5868, 18.756, 0.103, 114.0, 12.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59464.590999, 18.435, 0.111, 153.0, 17.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59466.581236, 19.161, 0.169, 79.0, 13.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59466.58536, 19.561, 0.203, 54.0, 11.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59466.591321, 19.334, 0.209, 67.0, 14.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59466.604656, 19.18, 0.144, 77.0, 11.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59470.57671, 20.395, 0.495, 25.0, 12.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59470.579912, 19.904, 0.312, 40.0, 12.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59470.589986, 20.079, 0.38, 34.0, 13.0, ATLAS
c, 23.9, nan, 72.76725, -5.95689, 59470.595516, 19.648, 0.265, 50.0, 13.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59474.604812, 19.604, 0.209, 52.0, 11.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59474.62218, 19.529, 0.212, 56.0, 12.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59474.625446, 19.215, 0.162, 75.0, 12.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59474.63008, 19.308, 0.222, 69.0, 15.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59477.546572, 19.528, 0.358, 56.0, 20.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59477.549781, 19.372, 0.316, 65.0, 20.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59477.553909, 19.306, 0.369, 69.0, 25.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59477.565395, -22.469, 5.543, -4.0, 21.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59478.507233, 20.536, 1.164, 22.0, 26.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59478.509062, 22.444, 6.719, 4.0, 26.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59478.512726, 19.542, 0.479, 55.0, 26.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59478.526543, 19.94, 0.764, 38.0, 29.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59480.560003, 20.684, 2.571, 19.0, 50.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59480.561852, -20.485, 3.908, -23.0, 91.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59480.567389, 19.182, 0.711, 77.0, 55.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59480.579857, -20.166, 11.6, -31.0, 361.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59481.498831, 20.578, 1.328, 21.0, 28.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59481.504836, -22.575, 7.7, -3.0, 26.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59481.521318, 21.545, 2.438, 9.0, 21.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59481.530529, 20.036, 0.686, 35.0, 24.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59484.568608, 19.245, 0.302, 73.0, 22.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59484.57183, 19.79, 0.498, 44.0, 22.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59484.581504, 20.588, 0.973, 21.0, 20.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59484.596717, 21.453, 2.082, 10.0, 20.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59486.540145, 19.851, 0.404, 42.0, 17.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59486.543346, 19.764, 0.365, 45.0, 16.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59486.546091, 19.903, 0.425, 40.0, 17.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59486.551136, 20.405, 0.615, 25.0, 15.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59488.567603, 20.21, 0.592, 30.0, 18.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59488.569447, 20.069, 0.506, 34.0, 17.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59488.57405, 20.073, 0.541, 34.0, 18.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59488.579118, 20.786, 1.012, 18.0, 18.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59490.546472, 20.039, 0.538, 35.0, 19.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59490.549227, 19.937, 0.394, 38.0, 15.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59490.550602, 20.051, 0.462, 35.0, 16.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59490.552437, 20.863, 0.713, 16.0, 12.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59490.553356, 20.124, 0.439, 32.0, 14.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59490.555644, 20.663, 0.893, 20.0, 18.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59490.561138, 19.491, 0.237, 58.0, 14.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59490.562514, 20.302, 0.611, 28.0, 17.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59492.540742, -19.332, 2.571, -67.0, 173.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59492.543516, 17.969, 0.419, 236.0, 99.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59492.549507, 17.502, 0.485, 362.0, 176.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59492.559987, 18.261, 0.314, 180.0, 57.0, ATLAS
o, 23.9, nan, 72.76725, -5.95689, 59493.554593, 20.432, 0.405, 24.0, 10.0, ATLAS
