# Combination of '2024sag' data from 'ATLAS', 'ZTF'
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
c, 23.9, nan, 83.87009, -17.801, 60435.740536, 20.363, 0.775, 26.0, 20.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60435.744807, 21.551, 1.96, 9.0, 17.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60435.749704, 20.377, 0.649, 26.0, 17.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60435.76114, -20.792, 0.814, -18.0, 14.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60436.986516, -20.02, 0.647, -36.0, 23.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60436.989361, 21.339, 2.0, 11.0, 21.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60436.994895, 0.0, 20.373, 0.0, 26.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60437.009694, 21.464, 2.568, 9.0, 24.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60438.743928, 25.055, 53.0, 0.0, 18.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60438.747131, -20.571, 0.761, -22.0, 16.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60438.75264, 19.908, 0.509, 40.0, 20.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60438.763416, -22.095, 3.824, -5.0, 20.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60439.736986, 20.806, 0.933, 17.0, 16.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60439.740792, -21.068, 1.138, -14.0, 16.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60439.745917, 19.836, 0.392, 42.0, 17.0, ATLAS
c, 23.9, nan, 83.87009, -17.801, 60439.756891, 21.483, 1.889, 9.0, 18.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60440.986147, 20.766, 2.113, 18.0, 38.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60440.988925, 20.243, 1.655, 29.0, 48.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60440.99444, -19.966, 19.762, -38.0, 740.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60441.008909, -16.926, 0.53, -616.0, 327.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60506.401697, 20.155, 0.538, 32.0, 17.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60506.404884, -21.167, 1.062, -12.0, 13.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60506.410301, -22.006, 2.667, -6.0, 15.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60506.432564, -21.359, 1.795, -10.0, 19.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60510.388101, 20.975, 2.288, 15.0, 34.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60510.390903, -19.775, 0.817, -45.0, 36.0, ATLAS
o, 23.9, nan, 83.87009, -17.801, 60510.396419, 19.907, 0.932, 40.0, 37.0, ATLAS
