objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,uniquePspsSTid,primaryDetection,bestDetection,gippDetectID,gstackDetectID,gstackImageID,gra,gdec,graErr,gdecErr,gEpoch,gPSFMag,gPSFMagErr,gApMag,gApMagErr,gKronMag,gKronMagErr,ginfoFlag,ginfoFlag2,ginfoFlag3,gnFrames,gxPos,gyPos,gxPosErr,gyPosErr,gpsfMajorFWHM,gpsfMinorFWHM,gpsfTheta,gpsfCore,gpsfLikelihood,gpsfQf,gpsfQfPerfect,gpsfChiSq,gmomentXX,gmomentXY,gmomentYY,gmomentR1,gmomentRH,gPSFFlux,gPSFFluxErr,gApFlux,gApFluxErr,gApFillFac,gApRadius,gKronFlux,gKronFluxErr,gKronRad,gexpTime,gExtNSigma,gsky,gskyErr,gzp,gPlateScale,rippDetectID,rstackDetectID,rstackImageID,rra,rdec,rraErr,rdecErr,rEpoch,rPSFMag,rPSFMagErr,rApMag,rApMagErr,rKronMag,rKronMagErr,rinfoFlag,rinfoFlag2,rinfoFlag3,rnFrames,rxPos,ryPos,rxPosErr,ryPosErr,rpsfMajorFWHM,rpsfMinorFWHM,rpsfTheta,rpsfCore,rpsfLikelihood,rpsfQf,rpsfQfPerfect,rpsfChiSq,rmomentXX,rmomentXY,rmomentYY,rmomentR1,rmomentRH,rPSFFlux,rPSFFluxErr,rApFlux,rApFluxErr,rApFillFac,rApRadius,rKronFlux,rKronFluxErr,rKronRad,rexpTime,rExtNSigma,rsky,rskyErr,rzp,rPlateScale,iippDetectID,istackDetectID,istackImageID,ira,idec,iraErr,idecErr,iEpoch,iPSFMag,iPSFMagErr,iApMag,iApMagErr,iKronMag,iKronMagErr,iinfoFlag,iinfoFlag2,iinfoFlag3,inFrames,ixPos,iyPos,ixPosErr,iyPosErr,ipsfMajorFWHM,ipsfMinorFWHM,ipsfTheta,ipsfCore,ipsfLikelihood,ipsfQf,ipsfQfPerfect,ipsfChiSq,imomentXX,imomentXY,imomentYY,imomentR1,imomentRH,iPSFFlux,iPSFFluxErr,iApFlux,iApFluxErr,iApFillFac,iApRadius,iKronFlux,iKronFluxErr,iKronRad,iexpTime,iExtNSigma,isky,iskyErr,izp,iPlateScale,zippDetectID,zstackDetectID,zstackImageID,zra,zdec,zraErr,zdecErr,zEpoch,zPSFMag,zPSFMagErr,zApMag,zApMagErr,zKronMag,zKronMagErr,zinfoFlag,zinfoFlag2,zinfoFlag3,znFrames,zxPos,zyPos,zxPosErr,zyPosErr,zpsfMajorFWHM,zpsfMinorFWHM,zpsfTheta,zpsfCore,zpsfLikelihood,zpsfQf,zpsfQfPerfect,zpsfChiSq,zmomentXX,zmomentXY,zmomentYY,zmomentR1,zmomentRH,zPSFFlux,zPSFFluxErr,zApFlux,zApFluxErr,zApFillFac,zApRadius,zKronFlux,zKronFluxErr,zKronRad,zexpTime,zExtNSigma,zsky,zskyErr,zzp,zPlateScale,yippDetectID,ystackDetectID,ystackImageID,yra,ydec,yraErr,ydecErr,yEpoch,yPSFMag,yPSFMagErr,yApMag,yApMagErr,yKronMag,yKronMagErr,yinfoFlag,yinfoFlag2,yinfoFlag3,ynFrames,yxPos,yyPos,yxPosErr,yyPosErr,ypsfMajorFWHM,ypsfMinorFWHM,ypsfTheta,ypsfCore,ypsfLikelihood,ypsfQf,ypsfQfPerfect,ypsfChiSq,ymomentXX,ymomentXY,ymomentYY,ymomentR1,ymomentRH,yPSFFlux,yPSFFluxErr,yApFlux,yApFluxErr,yApFillFac,yApRadius,yKronFlux,yKronFluxErr,yKronRad,yexpTime,yExtNSigma,ysky,yskyErr,yzp,yPlateScale,distance,SkyMapper_StarClass,g_elong,g_a,g_b,g_pa,r_elong,r_a,r_b,r_pa,i_elong,i_a,i_b,i_pa,z_elong,z_a,z_b,z_pa,NED_name,NED_type,NED_vel,NED_redshift,NED_mag,NED_redshift_flag,g-r,r-i,i-z,z-y,g-rErr,r-iErr,i-zErr,z-yErr,gApMag_gKronMag,rApMag_rKronMag,iApMag_iKronMag,zApMag_zKronMag,yApMag_yKronMag,7DCD,hasSimbad
468668814,,,,468668814,,,,,,,,,,,,,,0,,,,,112.867344,-54.576459,,,,,,,,,,266.42438,-16.375433,,,1,0,0,0,1,1,,1,1,,,,,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,112.8673444,-54.5764593,36,36,,18.4917,0.0284,,,18.5529,0.2877,,,,,,,,,,,,,,,,0.1709,,,,,,,12.84178,,,,,524.1568,94.08865,,,,,,,0.5,,,,112.867344,-54.576459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,148.35,,,,,,,,,,,,,,1.683,0.758,0.45,-18.16,WISEA J073128.20-543434.9,IrS,,,,,,,,,,,,,,,,,,,0
468668815,,,,468668815,,,,,,,,,,,,,,0,,,,,112.868946,-54.563572,,,,,,,,,,266.41248,-16.369343,,,6,0,0,2,4,1,,1,1,,,,,,70,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,70,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,112.8689158,-54.5635994,70,36,,18.0965,0.0361,,,18.4019,0.1124,,,,,,,,,,,,,,,,1.472,,,,,,,,,,,,748.5804,33.85128,3.5,,,,,,0.5,,,,112.8690131,-54.563577,70,36,,17.4794,0.0157,,,17.3458,0.1368,,,,,,,,,,,,,,,,1.25,,,,,,,36.96114,,,,,1258.378,140.4957,3.5,,,,,,0.5,,,,112.868946,-54.563572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,128.29,,,,,,,,,,1.061,1.016,0.958,-14.67,1.171,1.369,1.169,-66.63,WISEA J073128.56-543348.8,IrS,,,,,,,,,,,,,,,,,,,0
468668816,,,,468668816,,,,,,,,,,,,,,0,,,,,112.85623,-54.566257,,,,,,,,,,266.41193,-16.377169,,,16,4,2,3,4,1,,1,1,,,,112.856266,-54.5662499,100,41,,15.9767,0.0205,,,16.0165,0.0277,,,,,,,,,,,,,,,,2.422,,,,,,6739.831,64.64575,,,,,6804.968,160.519,3.5,,,,,,0.5,,,,112.8563157,-54.5662545,100,41,,15.6561,0.0076,,,15.6708,0.0203,,,,,,,,,,,,,,,,1.024,,,,,,7352.042,,,,,,6851.857,42.5926,3.5,,,,,,0.5,,,,112.8563164,-54.566262,100,41,,15.4659,0.0063,,,15.4151,0.0646,,,,,,,,,,,,,,,,0.7219,,,,,,,,,,,,9181.164,38.88298,3.5,,,,,,0.5,,,,112.8563229,-54.5662619,100,41,,15.3601,0.0088,,,15.3418,0.072,,,,,,,,,,,,,,,,0.261,,,,,,,24.74018,,,,,9012.381,159.2849,3.5,,,,,,0.5,,,,112.85623,-54.566257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,108.42,0.982,1.053,2.197,2.087,-44.0,1.056,1.934,1.832,-5.71,1.09,1.949,1.789,-8.92,1.086,1.885,1.736,-12.6,WISEA J073125.52-543358.5,IrS,,,,,,,,,,,,,,,,,,,0
468668817,,,,468668817,,,,,,,,,,,,,,0,,,,,112.878938,-54.551072,,,,,,,,,,266.40305,-16.358963,,,13,2,3,3,5,1,,1,1,,,,112.8789369,-54.5510866,19,23,,17.5622,0.0125,,,17.698,0.0995,,,,,,,,,,,,,,,,0.3089,,,,,,1594.482,17.18521,,,,,1561.669,107.3365,3.58,,,,,,0.5,,,,112.8789543,-54.551082,19,23,,17.1477,0.0296,,,17.1619,0.0967,,,,,,,,,,,,,,,,1.153,,,,,,2038.216,,,,,,1857.737,33.60471,3.5,,,,,,0.5,,,,112.8789214,-54.5510621,19,23,,16.7964,0.0173,,,16.7934,0.0359,,,,,,,,,,,,,,,,0.626,,,,,,,,,,,,3359.493,25.62638,3.96,,,,,,0.5,,,,112.8789331,-54.5510714,19,23,,16.7281,0.0272,,,16.7273,0.0757,,,,,,,,,,,,,,,,0.2533,,,,,,,18.35066,,,,,3891.761,169.4885,3.96,,,,,,0.5,,,,112.878938,-54.551072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,140.95,0.96,1.188,1.666,1.402,-51.7,1.035,1.579,1.525,13.64,1.108,2.075,1.872,-77.21,1.03,2.02,1.962,73.38,WISEA J073130.89-543303.7,IrS,,,,,,,,,,,,,,,,,,,0
468668818,,,,468668818,,,,,,,,,,,,,,0,,,,,112.863336,-54.541737,,,,,,,,,,266.39032,-16.36343,,,5,0,1,2,2,1,,1,1,,,,,,33,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,112.8633321,-54.5417795,33,83,,17.9031,0.0227,,,18.0647,0.1466,,,,,,,,,,,,,,,,0.4213,,,,,,972.736,,,,,,824.1287,18.25025,4.43,,,,,,0.5,,,,112.863402,-54.5417139,33,83,,17.6915,0.01,,,17.8384,0.0825,,,,,,,,,,,,,,,,2.158,,,,,,,,,,,,1510.532,40.84597,4.51,,,,,,0.5,,,,112.8633099,-54.5417123,33,83,,17.656,0.0238,,,17.6157,0.0987,,,,,,,,,,,,,,,,1.696,,,,,,,42.28092,,,,,1075.749,155.4406,4.51,,,,,,0.5,,,,112.863336,-54.541737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,113.42,0.662,,,,,1.182,1.306,1.105,-4.36,1.07,1.533,1.434,78.3,1.203,1.219,1.014,0.57,WISEA J073127.10-543231.2,IrS,,,,,,,,,,,,,,,,,,,0
468668819,,,,468668819,,,,,,,,,,,,,,0,,,,,112.861364,-54.54337,,,,,,,,,,266.3914,-16.365139,,,5,0,1,2,2,1,,1,1,,,,,,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,112.8613571,-54.5433707,34,34,,18.2658,0.0556,,,18.2902,0.1521,,,,,,,,,,,,,,,,1.715,,,,,,696.4944,,,,,,705.0543,35.11222,6.76,,,,,,0.5,,,,112.861482,-54.5433317,34,34,,18.2513,0.0195,,,18.2796,0.1376,,,,,,,,,,,,,,,,0.3957,,,,,,,,,,,,914.0791,16.46524,4.12,,,,,,0.5,,,,112.8614021,-54.543336,34,34,,18.0821,0.0594,,,18.2837,0.2526,,,,,,,,,,,,,,,,0.3224,,,,,,,17.99785,,,,,807.0122,109.6922,4.12,,,,,,0.5,,,,112.861364,-54.54337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,107.84,0.53,,,,,1.359,1.024,0.754,-15.48,1.027,1.223,1.191,-88.49,1.146,1.027,0.897,-41.65,,,,,,,,,,,,,,,,,,,,,0
468668820,,,,468668820,,,,,,,,,,,,,,0,,,,,112.852176,-54.54624,,,,,,,,,,266.39188,-16.371174,,,2,0,0,0,2,1,,1,1,,,,,,374,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,374,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,374,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,112.8520497,-54.5462521,374,60,,18.2209,0.033,,,18.3709,0.1202,,,,,,,,,,,,,,,,0.1452,,,,,,,11.89745,,,,,659.4026,99.88867,,,,,,,0.5,,,,112.852176,-54.54624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,86.8,,,,,,,,,,,,,,1.603,0.801,0.5,1.74,,,,,,,,,,,,,,,,,,,,,0
468668821,,,,468668821,,,,,,,,,,,,,,0,,,,,112.845559,-54.551419,,,,,,,,,,266.39517,-16.376787,,,1,0,0,1,0,1,,1,1,,,,,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,112.8455588,-54.5514186,36,36,,18.3147,0.0414,,,18.4721,0.1452,,,,,,,,,,,,,,,,0.7438,,,,,,,,,,,,640.4486,23.7399,4.35,,,,,,0.5,,,,,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35,,,,,,0.5,,,,112.845559,-54.551419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,71.27,,,,,,,,,,1.025,1.027,1.002,-1.56,,,,,,,,,,,,,,,,,,,,,,,,,0
468668822,,,,468668822,,,,,,,,,,,,,,0,,,,,112.845474,-54.550453,,,,,,,,,,266.39423,-16.37644,,,18,3,4,5,6,1,,1,1,,,,112.8454121,-54.5504358,22,85,,17.1029,0.0126,,,16.8513,0.0408,,,,,,,,,,,,,,,,1.274,,,,,,2439.572,37.3532,,,,,2670.15,174.9927,5.07,,,,,,0.5,,,,112.8454763,-54.5504204,22,85,,16.7486,0.0119,,,16.5771,0.0349,,,,,,,,,,,,,,,,1.59,,,,,,3782.236,,,,,,3986.794,41.28965,4.23,,,,,,0.5,,,,112.8454426,-54.5503915,22,85,,16.5174,0.0096,,,16.4317,0.0492,,,,,,,,,,,,,,,,0.9032,,,,,,,,,,,,3352.898,33.08482,4.14,,,,,,0.5,,,,112.8454506,-54.5504176,22,85,,16.3981,0.0195,,,16.3221,0.0526,,,,,,,,,,,,,,,,1.261,,,,,,,43.24058,,,,,3911.988,137.3141,4.14,,,,,,0.5,,,,112.845474,-54.550453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,71.11,0.912,1.142,1.888,1.653,-12.83,1.114,2.351,2.11,-5.16,1.156,1.842,1.594,-4.89,1.051,1.757,1.672,0.83,WISEA J073122.90-543301.7,IrS,,,,,,,,,,,,,,,,,,,0
468668833,,,,468668833,,,,,,,,,,,,,,0,,,,,112.842848,-54.588339,,,,,,,,,,266.42966,-16.393234,,,10,0,2,4,4,1,,1,1,,,,,,37,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,112.842902,-54.5883401,37,52,,18.1665,0.1137,,,18.5455,0.1228,,,,,,,,,,,,,,,,2.013,,,,,,763.0072,,,,,,629.2211,38.87669,3.5,,,,,,0.5,,,,112.8428364,-54.5883413,37,52,,17.6043,0.0207,,,17.7011,0.0934,,,,,,,,,,,,,,,,1.098,,,,,,,,,,,,1117.765,30.53731,4.59,,,,,,0.5,,,,112.8428587,-54.5883254,37,52,,17.4633,0.0217,,,17.6446,0.0615,,,,,,,,,,,,,,,,0.8076,,,,,,,29.5532,,,,,1520.376,113.9444,4.59,,,,,,0.5,,,,112.842848,-54.588339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,149.49,0.633,,,,,1.094,1.111,1.016,29.18,1.125,1.279,1.137,1.96,1.081,1.373,1.27,25.01,WISEA J073122.28-543517.8,IrS,,,,,,,,,,,,,,,,,,,0
