2024jz 0.0093 233.270125 -1.625161
filter ATgr
60708.653486 20.902 0.84
60708.666224 21.35 1.338
60708.670337 21.451 2.517
60712.607576 21.287 1.342
60712.611913 21.443 1.232
60712.612822 22.344 2.613
60712.628286 22.403 4.862
filter ATri
60696.627029 20.588 1.086
60700.635395 22.188 2.692
60705.113272 20.979 1.01
60714.594989 22.167 2.571
60714.600221 21.899 2.286
60716.59018 21.157 3.929
60716.592938 21.273 2.034
60718.589361 20.997 1.685
60718.606944 21.408 2.468
60720.586966 21.21 1.73
60721.090045 20.573 1.362
