2005hc 0.0459 29.19975 -0.21372200000000008
filter B
53662.72 17.513 0.013
53663.69 17.476 0.009
53665.66 17.413 0.007
53666.72 17.398 0.007
53669.65 17.442 0.006
53671.74 17.514 0.007
53673.72 17.624 0.008
53675.7 17.736 0.008
53682.75 18.382 0.045
53684.7 18.555 0.011
53687.71 18.873 0.02
53690.73 19.141 0.041
53695.75 19.583 0.03
53699.65 19.91 0.021
53703.69 20.193 0.027
53713.55 20.459 0.047
53722.63 20.675 0.062
53726.63 20.706 0.04
53730.66 20.759 0.043
53737.59 20.896 0.037
53739.63 20.876 0.045
53740.61 20.968 0.054
53755.61 21.066 0.105
filter V0
53662.72 17.557 0.012
53663.69 17.499 0.009
53665.66 17.411 0.008
53666.72 17.396 0.008
53669.65 17.401 0.007
53671.74 17.416 0.008
53673.72 17.456 0.009
53675.7 17.528 0.01
53682.75 17.919 0.016
53684.7 18.005 0.01
53687.71 18.164 0.012
53690.73 18.358 0.02
53695.75 18.639 0.015
53699.65 18.869 0.014
53703.69 19.132 0.017
53713.55 19.559 0.021
53722.63 19.796 0.03
53726.63 19.892 0.023
53730.66 20.026 0.024
53737.59 20.161 0.03
53739.63 20.192 0.032
53740.61 20.126 0.034
53746.58 20.29 0.066
filter g
53662.72 17.431 0.009
53663.69 17.386 0.007
53665.66 17.31 0.006
53666.72 17.292 0.007
53669.65 17.325 0.006
53671.74 17.378 0.007
53673.72 17.456 0.007
53675.7 17.564 0.007
53682.75 18.089 0.029
53684.7 18.277 0.012
53687.71 18.552 0.02
53690.73 18.83 0.025
53695.75 19.194 0.018
53699.65 19.545 0.012
53703.69 19.809 0.016
53713.55 20.166 0.025
53730.66 20.388 0.026
53737.59 20.555 0.026
53739.63 20.545 0.028
53740.61 20.579 0.027
53746.58 20.578 0.059
53751.62 20.719 0.15
53755.61 20.666 0.037
filter i
53662.72 17.966 0.017
53663.69 17.949 0.011
53665.66 17.982 0.011
53666.72 17.97 0.011
53669.65 18.031 0.009
53671.74 18.06 0.013
53673.72 18.103 0.015
53675.7 18.205 0.014
53682.75 18.596 0.083
53684.7 18.75 0.017
53687.71 18.714 0.023
53690.73 18.656 0.021
53695.75 18.598 0.015
53699.65 18.557 0.019
53703.69 18.75 0.018
53713.55 19.328 0.024
53722.63 19.642 0.031
53726.63 19.935 0.034
53730.66 19.98 0.039
53737.59 20.29 0.045
53739.63 20.267 0.054
53740.61 20.36 0.05
filter r
53662.72 17.573 0.009
53663.69 17.511 0.009
53665.66 17.421 0.009
53666.72 17.395 0.008
53669.65 17.368 0.006
53671.74 17.377 0.008
53673.72 17.441 0.009
53675.7 17.517 0.009
53682.75 17.89 0.018
53684.7 17.971 0.011
53687.71 18.046 0.015
53690.73 18.081 0.014
53695.75 18.218 0.01
53699.65 18.374 0.01
53703.69 18.621 0.013
53713.55 19.108 0.014
53730.66 19.594 0.018
53737.59 19.811 0.019
53739.63 19.858 0.02
53740.61 19.834 0.025
53746.58 19.991 0.032
53751.62 20.186 0.082
53755.61 20.279 0.03
