2007bd 0.0309 127.88866699999998 -1.199444
filter B
54197.53 17.743 0.01
54199.54 17.235 0.009
54206.61 16.651 0.021
54207.55 16.651 0.007
54213.5 16.954 0.007
54218.53 17.416 0.01
54224.5 18.164 0.015
54227.56 18.49 0.02
54235.49 19.299 0.022
54239.49 19.593 0.033
54245.49 19.859 0.062
54259.46 20.113 0.049
filter V
54197.53 17.718 0.01
54199.54 17.248 0.009
54206.61 16.659 0.011
54207.55 16.611 0.012
54213.5 16.809 0.006
54218.53 17.112 0.009
54224.5 17.479 0.01
54227.56 17.636 0.01
54235.49 18.292 0.012
54239.49 18.61 0.02
54245.49 18.89 0.031
54259.46 19.304 0.027
filter g
54197.53 17.634 0.008
54199.54 17.124 0.009
54206.61 16.603 0.073
54207.55 16.544 0.008
54213.5 16.789 0.005
54218.53 17.16 0.007
54224.5 17.768 0.009
54227.56 18.085 0.011
54235.49 18.89 0.014
54239.49 19.174 0.015
54245.49 19.373 0.031
54259.46 19.726 0.054
filter i
54197.53 17.799 0.015
54199.54 17.377 0.019
54206.61 17.247 0.047
54207.55 17.264 0.014
54213.5 17.491 0.011
54218.53 18.037 0.019
54224.5 18.022 0.016
54227.56 17.849 0.015
54235.49 17.936 0.015
54239.49 18.212 0.022
54245.49 18.56 0.026
54259.46 19.25 0.047
filter r
54197.53 17.685 0.009
54199.54 17.181 0.011
54206.61 16.659 0.016
54207.55 16.623 0.006
54213.5 16.807 0.006
54218.53 17.224 0.007
54224.5 17.42 0.009
54227.56 17.449 0.009
54235.49 17.858 0.012
54239.49 18.149 0.011
54245.49 18.433 0.016
54259.46 18.944 0.025
