2008fp 0.0057 109.13583300000002 -29.3255
filter B
54724.84 14.874 0.007
54725.83 14.769 0.007
54726.83 14.7 0.006
54728.82 14.639 0.008
54732.83 14.646 0.007
54740.81 15.031 0.005
54744.83 15.411 0.006
54747.81 15.744 0.007
54749.81 15.945 0.006
54751.8 16.181 0.024
54752.87 16.253 0.007
54753.88 16.36 0.008
54759.85 16.955 0.009
54760.81 16.997 0.009
54765.84 17.3 0.007
54768.82 17.434 0.011
54770.8 17.489 0.009
54779.83 17.664 0.009
54781.83 17.677 0.009
54783.81 17.705 0.011
54790.84 17.815 0.01
54792.77 17.852 0.011
54795.77 17.847 0.011
54797.86 17.918 0.009
54803.83 18.017 0.009
54809.73 18.087 0.01
54813.83 18.148 0.015
54814.72 18.18 0.015
54820.73 18.245 0.011
filter V
54724.84 14.257 0.007
54725.83 14.205 0.006
54726.83 14.145 0.006
54728.82 14.03 0.007
54729.81 13.996 0.006
54732.83 14.013 0.006
54740.81 14.22 0.004
54744.83 14.518 0.006
54747.81 14.693 0.006
54749.81 14.801 0.005
54751.8 14.912 0.013
54752.87 14.953 0.005
54753.88 14.943 0.006
54759.85 15.318 0.006
54760.81 15.38 0.007
54765.84 15.676 0.004
54768.82 15.827 0.008
54770.8 15.939 0.005
54779.83 16.157 0.009
54781.83 16.218 0.009
54783.81 16.279 0.008
54790.84 16.465 0.008
54792.77 16.511 0.01
54795.77 16.582 0.011
54797.86 16.666 0.009
54803.83 16.799 0.008
54809.73 16.959 0.009
54813.83 17.054 0.009
54814.72 17.073 0.009
54820.73 17.218 0.01
filter g
54725.83 14.507 0.005
54726.83 14.449 0.006
54728.82 14.314 0.006
54729.81 14.352 0.006
54732.83 14.365 0.005
54740.81 14.621 0.004
54744.83 14.906 0.005
54747.81 15.189 0.005
54749.81 15.323 0.004
54751.8 15.485 0.007
54752.87 15.589 0.005
54753.88 15.63 0.006
54759.85 16.126 0.008
54760.81 16.249 0.007
54765.84 16.613 0.006
54768.82 16.651 0.008
54770.8 16.785 0.006
54779.83 16.951 0.01
54781.83 16.977 0.007
54783.81 17.011 0.009
54790.84 17.145 0.009
54792.77 17.166 0.01
54795.77 17.274 0.011
54797.86 17.332 0.007
54803.83 17.373 0.007
54809.73 17.478 0.008
54813.83 17.518 0.009
54814.72 17.579 0.011
54820.73 17.661 0.01
filter i
54725.83 14.018 0.006
54726.83 13.984 0.006
54728.82 13.973 0.006
54729.81 14.014 0.006
54732.83 14.104 0.006
54740.81 14.541 0.005
54744.83 14.844 0.007
54747.81 14.851 0.006
54749.81 14.793 0.006
54751.8 14.732 0.007
54752.87 14.712 0.007
54753.88 14.653 0.006
54759.85 14.588 0.009
54760.81 14.609 0.008
54765.84 14.932 0.006
54768.82 15.116 0.01
54770.8 15.224 0.006
54779.83 15.624 0.01
54781.83 15.699 0.009
54783.81 15.778 0.008
54790.84 16.056 0.01
54792.77 16.134 0.011
54795.77 16.277 0.013
54797.86 16.32 0.008
54803.83 16.566 0.007
54809.73 16.761 0.01
54813.83 16.945 0.009
54814.72 16.95 0.011
54820.73 17.138 0.013
filter r
54725.83 14.04 0.004
54726.83 13.968 0.005
54728.82 13.897 0.006
54729.81 13.849 0.006
54732.83 13.836 0.006
54740.81 14.145 0.004
54744.83 14.455 0.006
54747.81 14.564 0.005
54749.81 14.591 0.004
54751.8 14.608 0.006
54752.87 14.578 0.007
54753.88 14.627 0.005
54759.85 14.804 0.008
54760.81 14.85 0.007
54765.84 15.159 0.004
54768.82 15.378 0.01
54770.8 15.427 0.004
54779.83 15.764 0.009
54781.83 15.831 0.008
54783.81 15.905 0.008
54790.84 16.153 0.009
54792.77 16.206 0.009
54795.77 16.311 0.014
54803.83 16.634 0.006
54809.73 16.755 0.009
54813.83 16.96 0.008
54814.72 16.906 0.009
54820.73 17.084 0.011
