2009Y 0.0094 220.599375 -17.246778000000003
filter B
54869.84 14.669 0.006
54871.87 14.469 0.004
54872.87 14.393 0.004
54873.85 14.357 0.007
54874.81 14.341 0.007
54878.87 14.379 0.008
54879.87 14.413 0.004
54884.85 14.705 0.007
54885.81 14.797 0.008
54888.77 15.087 0.004
54896.87 15.93 0.005
54898.82 16.131 0.007
54900.82 16.297 0.009
54902.77 16.468 0.009
54908.8 16.873 0.009
54911.89 17.018 0.009
54914.81 17.112 0.009
54915.83 17.142 0.009
54920.83 17.204 0.01
54927.79 17.287 0.009
54928.81 17.28 0.009
54930.72 17.32 0.013
54933.73 17.315 0.017
54937.82 17.373 0.01
54938.81 17.384 0.009
54947.7 17.494 0.01
54964.66 17.74 0.01
54966.66 17.781 0.011
54968.77 17.806 0.01
54976.65 17.929 0.009
filter V
54869.84 14.599 0.006
54871.87 14.399 0.005
54872.87 14.288 0.006
54873.85 14.224 0.009
54874.81 14.181 0.007
54879.87 14.096 0.004
54884.85 14.209 0.007
54885.81 14.284 0.009
54888.77 14.472 0.005
54896.87 14.897 0.008
54898.82 14.989 0.006
54900.82 15.098 0.009
54902.77 15.194 0.009
54908.8 15.627 0.009
54911.89 15.827 0.009
54914.81 15.964 0.007
54915.83 16.014 0.009
54920.83 16.166 0.01
54927.79 16.347 0.008
54928.81 16.378 0.008
54930.72 16.432 0.009
54933.73 16.482 0.015
54937.82 16.604 0.01
54938.81 16.634 0.008
54947.7 16.855 0.011
54959.67 17.119 0.032
54964.66 17.26 0.009
54966.66 17.278 0.009
54968.77 17.336 0.009
54976.65 17.496 0.009
filter g
54871.87 14.421 0.006
54872.87 14.334 0.005
54873.85 14.284 0.007
54879.87 14.26 0.004
54884.85 14.47 0.007
54888.77 14.746 0.007
54896.87 15.405 0.008
54898.82 15.568 0.007
54900.82 15.741 0.008
54902.77 15.915 0.008
54908.8 16.379 0.008
54911.89 16.547 0.009
54914.81 16.654 0.006
54915.83 16.679 0.007
54920.83 16.789 0.009
54927.79 16.892 0.008
54928.81 16.9 0.007
54930.72 16.917 0.009
54933.73 16.945 0.01
54937.82 17.012 0.009
54938.81 17.031 0.009
54947.7 17.152 0.008
54963.67 17.392 0.011
54964.66 17.401 0.009
54966.66 17.45 0.008
54968.77 17.466 0.009
54976.65 17.595 0.009
filter i
54869.84 14.936 0.008
54871.87 14.79 0.007
54872.87 14.739 0.006
54873.85 14.723 0.009
54874.81 14.724 0.008
54878.87 14.803 0.009
54879.87 14.827 0.006
54884.85 15.025 0.009
54885.81 15.117 0.009
54888.77 15.391 0.008
54896.87 15.335 0.008
54898.82 15.261 0.009
54900.82 15.212 0.009
54902.77 15.141 0.009
54908.8 15.337 0.009
54911.89 15.58 0.01
54914.81 15.788 0.007
54915.83 15.832 0.009
54920.83 16.083 0.01
54927.79 16.36 0.009
54928.81 16.405 0.008
54930.72 16.462 0.011
54933.73 16.583 0.019
54937.82 16.733 0.011
54938.81 16.794 0.011
54947.7 17.091 0.01
54963.67 17.547 0.042
54964.66 17.637 0.012
54966.66 17.71 0.013
54968.77 17.776 0.013
54976.65 18.022 0.015
filter r
54871.87 14.371 0.005
54872.87 14.275 0.006
54873.85 14.218 0.008
54878.87 14.079 0.009
54879.87 14.079 0.004
54884.85 14.264 0.008
54888.77 14.576 0.005
54896.87 14.769 0.007
54898.82 14.779 0.005
54900.82 14.792 0.009
54902.77 14.852 0.008
54908.8 15.206 0.009
54911.89 15.412 0.01
54914.81 15.583 0.006
54915.83 15.635 0.008
54920.83 15.818 0.009
54927.79 16.056 0.007
54928.81 16.1 0.005
54930.72 16.161 0.008
54933.73 16.261 0.011
54937.82 16.373 0.01
54938.81 16.4 0.009
54947.7 16.7 0.009
54963.67 17.188 0.018
54964.66 17.226 0.008
54966.66 17.291 0.009
54968.77 17.345 0.009
54976.65 17.601 0.01
