2009ad 0.0284 75.88908300000001 6.659917000000001
filter B
54878.6 17.083 0.008
54879.61 16.925 0.008
54883.59 16.591 0.006
54884.58 16.554 0.006
54885.55 16.535 0.006
54888.56 16.582 0.006
54898.52 17.169 0.01
54902.55 17.629 0.019
54908.54 18.314 0.014
54911.55 18.628 0.015
54914.46 18.872 0.016
54915.45 18.966 0.016
filter V
54878.6 17.034 0.006
54879.61 16.916 0.006
54883.59 16.555 0.007
54884.58 16.521 0.006
54885.55 16.497 0.006
54888.56 16.497 0.005
54898.52 16.83 0.007
54902.55 17.101 0.01
54908.54 17.452 0.009
54911.55 17.649 0.01
54914.46 17.817 0.01
54915.45 17.869 0.011
filter g
54878.6 16.988 0.007
54879.61 16.858 0.007
54883.59 16.505 0.007
54884.58 16.474 0.005
54885.55 16.447 0.005
54888.56 16.465 0.005
54898.52 16.941 0.008
54902.55 17.274 0.01
54908.54 17.873 0.009
54911.55 18.178 0.011
54914.46 18.387 0.02
54915.45 18.48 0.035
filter i
54878.6 17.223 0.009
54879.61 17.088 0.009
54883.59 16.912 0.009
54884.58 16.906 0.009
54885.55 16.962 0.009
54888.56 17.024 0.007
54898.52 17.537 0.01
54902.55 17.736 0.013
54908.54 17.613 0.012
54911.55 17.564 0.009
54914.46 17.532 0.009
54915.45 17.512 0.009
filter r
54878.6 17.029 0.007
54879.61 16.886 0.007
54883.59 16.554 0.008
54884.58 16.501 0.008
54885.55 16.476 0.006
54888.56 16.453 0.005
54898.52 16.867 0.006
54902.55 17.079 0.008
54908.54 17.228 0.01
54911.55 17.285 0.007
54914.46 17.353 0.007
54915.45 17.378 0.009
