2021cad 0.041546 163.93943265432074 24.027656460905384
filter g
58837.5167824002 19.836822695858814 0.10956870396570574
59249.42251159996 19.021862660020844 0.060086420967612963
59250.45347219985 18.80081751710091 0.041801407920834546
59250.45394679997 18.789703289506654 0.04136967853407508
59251.40167819988 18.78036971649881 0.028660375180059074
59253.361516200006 18.905851223708986 0.03109731838810685
59255.36260419991 19.217877441958716 0.03505510414230372
59257.37554399995 19.800728423542886 0.10147953164183358
59262.408819399774 20.30137421840255 0.10188612714893433
59264.353761599865 20.4795589575132 0.0990956222513867
filter i
59248.34439809993 19.40091118330218 0.10805010641340228
59251.34891200019 18.606886328667656 0.04750007447586407
59254.360960599966 18.68347365311105 0.042512047254123816
59257.42211809987 19.03244687875729 0.1211421950445753
59260.33824069984 18.94283378507138 0.07118229532511106
59264.38302080007 18.938135566563595 0.05393336190330086
59291.268900500145 20.035338687468165 0.1301872554858492
filter r
59249.3802546002 18.65574911199593 0.07610313108388075
59250.4478703998 18.52383734875948 0.03161696991973803
59250.448333300184 18.51585315220936 0.032926602545495544
59251.44556709984 18.474293304575493 0.02587377109967776
59253.35057870019 18.525736903206536 0.026561759533363604
59255.40241899993 18.3987441751981 0.02081908554665112
59256.35075230012 18.389925347418792 0.024111072806633983
59256.35122689977 18.383741290615625 0.023116411257724293
59257.41530090012 18.91633588392489 0.05793891017345329
59262.34733799985 18.90243827442216 0.03432800735737184
59264.305937500205 19.19002974488995 0.05580870906119581
59266.33158560004 19.71851451181546 0.12943231371451114
59267.30884259986 19.56807846715635 0.08441747144285174
59268.27616900019 19.50169338703423 0.08135227900418111
59268.353460600134 19.437652418463756 0.06784488271411648
59268.35740739992 19.502675530240893 0.0809083328175464
59269.270312500186 19.527775706476973 0.11303989293936445
59269.27077550022 19.60209599404343 0.10760036959859452
59269.3099769 19.739566232433447 0.10613802124704594
59269.35871529998 19.474214788217516 0.09003928882492115
59270.337789400015 19.389885077857507 0.13436852957779832
59281.25410880009 20.56750448970966 0.13708050217616655
59291.23929399997 20.338477340095622 0.10340810521496395
59293.23630789993 20.413312353533463 0.13742602259293338
59996.32768520014 20.52576804791686 0.12343180687220891
60410.15662040003 21.335702918614622 0.1370320190583014
filter ATgr
59253.470896 18.929 0.086
59253.494669 18.717 0.072
59253.496511 18.821 0.079
59253.499743 18.944 0.083
59255.425328 18.977 0.088
59255.429125 18.748 0.077
59255.434242 19.01 0.102
59255.439283 18.891 0.085
59261.411658 19.527 0.125
filter ATri
59267.424784 19.185 0.169
59267.426613 18.986 0.164
