2022ihz 0.006 145.700917 -3.607069
filter ATgr
60685.004846 -21.964 -21.964
60685.015705 -24.225 -24.225
60703.300832 -21.631 -21.631
60704.48748 -20.206 -20.206
60704.520444 -18.493 -18.493
60704.523623 -20.325 -20.325
60704.529506 -17.014 -17.014
60707.218146 -22.613 -22.613
60707.221304 -20.774 -20.774
60708.478724 -21.471 -21.471
60708.523155 -21.657 -21.657
60711.246442 -21.206 -21.206
60711.249608 -20.521 -20.521
60711.273618 -23.342 -23.342
filter ATri
60684.440812 -21.054 -21.054
60684.477842 -22.97 -22.97
60687.216941 -18.363 -18.363
60688.948148 -23.276 -23.276
60688.951307 -21.746 -21.746
60688.956756 -20.198 -20.198
60694.511089 -20.893 -20.893
60694.525212 -21.437 -21.437
60694.531984 -20.847 -20.847
60695.286817 -25.522 -25.522
60695.302203 -21.303 -21.303
60696.526692 -19.292 -19.292
60696.533052 -21.139 -21.139
60698.499467 -21.147 -21.147
60698.505894 -21.088 -21.088
60698.515662 -20.502 -20.502
60699.278921 -21.709 -21.709
60701.009708 -21.262 -21.262
60701.018298 -21.429 -21.429
60705.018816 -22.003 -22.003
60705.054212 -21.702 -21.702
60709.061757 -20.957 -20.957
60712.429358 -21.391 -21.391
60712.435241 -20.171 -20.171
60713.035822 -22.048 -22.048
60713.049725 -20.493 -20.493
60713.124423 -22.61 -22.61
60713.166965 -23.887 -23.887
