2022omn 0.05 341.862998320707 -25.66481865656566
filter g
59781.39663190022 19.8977865243178 0.35103708865675554
59784.40974539984 20.059078946317495 0.11656724570827935
59786.43953699991 20.1570652671194 0.11957866203423838
59788.43988429988 20.08673956231376 0.14455075847693455
59797.39729169989 20.66370697793998 0.20032444991595785
59812.42158559989 20.551312774777685 0.2514732369197913
59814.313750000205 20.870201441009193 0.27952635559722233
59821.356608800124 20.795596726064133 0.2643906506777834
59824.335486100055 21.20520996478085 0.34405922307165193
59826.314710599836 21.12860088096297 0.32334481462355463
59839.259398099966 21.03469778815232 0.340641315488794
59839.29458330013 21.321017109219156 0.4321365607757341
59841.31312499987 21.5942296223034 0.5207837221111492
59845.22980319988 21.451338117298874 0.44954471916566546
59847.27281250013 21.283980599096868 0.4635279759329965
59851.22428240022 20.935980410782907 0.2567588813347082
59854.252141200006 20.95256513117993 0.2057581444028627
59878.18167820014 21.569159666587982 0.5845302920703321
filter r
59784.41925929999 19.254779921679862 0.0564072014079136
59786.37619209988 19.30948638073351 0.06403753424378589
59788.3973495001 19.38240078726339 0.07666934787333761
59794.439722199924 19.761717758716024 0.33233133642599044
59800.41773150023 19.845490059256587 0.11036047674090928
59810.31390050007 20.402077820942743 0.29254970640965794
59812.34983799979 20.228861585354224 0.12933505204389664
59814.37739579985 20.40969922654649 0.15444685433010072
59816.33472219994 20.736270723242775 0.2974900970828286
59818.30767360004 20.518197865441753 0.2130955519673834
59821.31480319984 20.631396934575292 0.18357895578615832
59824.31383100012 20.91341660598116 0.2559158998894839
59826.29310189979 20.838507929517906 0.28598331767326723
59843.28395830002 21.90792476545127 0.6435164905714701
59847.25140050007 21.233000004682687 0.36014511335384286
59849.294421299826 20.768304567757234 0.2702802863166953
59851.30923609994 21.67687643535595 0.6358876362411242
59854.27334489999 21.18712187326799 0.30193669859567884
filter ATgr
59789.256862 19.636 0.151
59789.262113 19.942 0.257
59789.266604 20.518 0.383
59789.277389 19.811 0.246
59792.001566 20.414 0.305
59792.005488 20.276 0.271
59792.011293 20.168 0.273
59792.022284 20.048 0.245
59792.502071 19.871 0.301
59792.503885 19.803 0.284
59792.507063 20.164 0.387
59792.542486 19.826 0.274
59793.292065 19.859 0.224
59793.298905 20.255 0.298
59793.302289 20.35 0.339
59793.3145 20.209 0.362
59796.021532 20.365 0.256
59796.025406 20.222 0.255
59796.031758 20.004 0.226
59796.042052 20.628 0.27
59810.184566 20.894 0.358
59810.186368 20.386 0.248
59810.190863 20.423 0.29
59810.195965 20.73 0.385
59813.17209 21.336 0.758
59813.17483 20.606 0.342
59813.178059 21.169 0.58
59813.183699 21.053 0.48
59814.231618 20.597 0.34
59814.238536 20.455 0.324
59814.244937 20.633 0.34
59814.254737 20.528 0.384
59818.175935 20.222 0.301
59818.179846 20.495 0.429
59818.18345 21.208 0.725
59821.108657 20.638 0.407
59821.111373 20.16 0.274
59821.117642 20.935 0.446
59821.129063 23.866 8.667
59822.210034 21.046 0.643
59822.213206 20.484 0.418
59822.218825 20.891 0.614
59822.231715 21.718 1.286
59825.217977 20.174 0.254
59825.221581 21.656 0.932
59825.22699 20.669 0.417
59825.237066 20.785 0.549
59843.943701 20.519 0.675
59843.946859 21.557 1.552
59850.92371 21.803 1.261
59850.927314 22.78 2.6
59850.968635 20.432 0.543
filter ATri
59741.361109 21.608 1.301
59741.367611 22.766 3.69
59745.392905 19.811 0.481
59745.396631 19.702 0.436
59767.042872 18.205 0.065
59767.045574 18.234 0.064
59767.050979 18.272 0.072
59767.061101 18.157 0.061
59768.059867 18.401 0.073
59768.063588 18.304 0.072
59768.068203 18.204 0.065
59768.079845 18.373 0.072
59769.371955 18.306 0.081
59769.399212 18.293 0.085
59769.427233 18.121 0.067
59781.295371 19.197 0.211
59781.301248 19.371 0.205
59782.334142 18.802 0.132
59782.337227 19.29 0.204
59782.343357 19.125 0.152
59782.377291 19.069 0.166
59785.310019 19.091 0.293
59785.313302 19.245 2.846
59785.319667 19.443 0.356
59785.332328 19.159 0.165
59786.274701 19.602 0.209
59786.278359 19.2 0.2
59786.286904 19.207 0.172
59786.29524 19.197 0.209
59797.198324 19.978 0.408
59797.20122 20.146 0.498
59797.206616 19.66 0.307
59797.213489 20.226 0.336
59799.934632 19.291 0.512
59799.936883 18.916 0.29
59799.948546 18.26 0.373
59801.175178 20.838 1.616
59801.178442 19.442 0.482
59807.051968 19.65 1.867
59807.063512 21.492 4.233
59807.077663 20.48 1.008
59807.970681 20.882 0.921
59807.973217 20.415 0.609
59807.977274 20.076 0.428
59807.983237 20.052 0.458
59809.254328 19.839 0.278
59809.25703 19.799 0.234
59809.26324 19.959 0.274
