2022skw 0.07 28.936111178148085 -25.248743513616056
filter g
59815.438240699936 20.05255981978639 0.12312020125316801
59819.43982640002 20.234327644427143 0.11119305520739306
59822.439988399856 20.298316530904323 0.17179241787240188
59824.4177778 20.559833061264953 0.21828760693928792
59841.37645829981 21.707740322526167 0.4643581235902011
59841.441689800005 21.535454511437173 0.4375130175372072
59843.37726850016 21.88176525511224 0.6280084472788308
59848.37626159983 21.785924115008253 0.5440946312591916
59852.355463000014 21.840496039323135 0.517710271935677
59856.41987269977 23.393869354574502 2.789753832044235
59876.29313659994 22.768859747046296 2.0309088674288076
59882.37859949982 19.2239335170512 0.608384649040126
59898.29408559995 21.977069793911205 1.531792442811788
filter r
59905.252476899885 22.627686076789033 3.6228097476138337
filter ATgr
59789.316736 22.807 3.357
59789.320425 21.044 0.667
59792.048054 21.525 0.973
59792.110222 22.022 1.22
59792.116451 21.008 0.545
59793.355977 23.437 6.0
59793.378285 22.42 1.719
59796.101203 22.549 2.286
59796.10822 21.591 0.957
59796.113504 21.096 0.547
59796.124919 21.71 1.333
59796.127943 21.579 1.056
59813.255347 19.733 0.159
59813.257603 19.742 0.148
59813.261232 19.693 0.157
59813.281989 19.785 0.169
59814.314572 19.57 0.145
59814.316373 19.75 0.152
59814.319527 19.699 0.141
59814.345771 20.064 0.232
59814.425912 20.764 0.85
59818.2759 19.909 0.187
59818.286832 19.651 0.145
59818.289686 19.948 0.226
59818.293105 19.472 0.122
59844.016087 20.733 0.712
59844.024746 21.282 1.316
59844.035103 19.949 0.307
59844.148134 19.697 0.796
59850.944538 21.565 0.681
59850.947696 22.107 1.882
59850.950852 20.971 1.422
59850.960974 20.394 0.538
59869.132288 21.254 0.707
59869.134088 21.04 0.584
59869.137707 20.556 0.396
59869.143121 23.212 3.857
59870.211655 21.789 1.283
59870.231996 22.24 1.581
59873.202797 20.439 0.451
59873.213781 22.784 3.05
59873.223675 22.074 1.667
59874.139887 22.151 1.939
59874.148442 21.212 0.709
59877.137389 21.357 0.909
59877.141386 21.357 1.037
59877.170572 21.279 0.87
59878.197415 20.63 0.583
59878.217318 20.892 0.671
59881.175488 20.934 0.371
59881.178642 20.706 0.351
59881.191488 21.698 0.825
59881.19717 21.067 0.395
59898.863628 21.44 0.862
59898.866374 21.241 0.579
59898.876284 23.887 8.333
59899.895963 22.178 2.069
59899.908225 22.028 1.4
59902.903019 20.787 0.688
59902.906632 21.014 1.0
59902.912497 21.618 0.765
59902.922892 22.473 2.5
59903.877479 20.968 0.538
59903.911075 22.018 1.675
59903.914273 21.65 1.107
59903.927104 20.61 0.436
59906.859719 22.332 1.833
59906.897703 20.863 0.613
59907.899149 20.85 0.556
59907.921268 23.041 4.9
59910.87673 23.01 3.812
59910.879885 21.063 0.659
59910.885305 22.716 3.0
59910.895262 22.278 1.889
filter ATri
59785.42324 22.303 2.522
59785.437344 21.283 2.0
59786.364436 22.756 4.562
59800.042146 22.278 3.081
59800.044534 22.145 3.045
59800.048528 21.295 1.828
59801.323896 20.09 1.065
59801.326878 19.757 0.561
59801.333827 22.419 5.966
59802.272489 18.596 0.796
59805.242702 20.194 1.061
59805.249142 19.053 0.335
59805.258782 19.876 0.774
59808.024445 20.086 0.527
