2022vxf 0.028 317.8155814612512 37.88565
filter ATgr
59817.401323 23.319 7.0
59818.531798 22.286 3.739
59821.419133 21.117 1.072
59822.426731 21.9 2.128
59839.319901 22.594 0.889
59839.347755 22.942 0.625
59839.363215 22.489 0.966
59843.343866 19.962 0.34
59843.347559 21.765 1.702
59843.361322 21.361 1.155
59843.367785 20.203 0.361
59844.349983 22.329 2.1
59844.353678 21.372 1.0
59844.370511 19.574 0.201
59844.376058 21.014 0.687
59847.31347 18.672 0.092
59847.316703 18.78 0.098
59847.328132 18.772 0.106
59847.334661 19.017 0.112
59848.343251 18.494 0.072
59848.346485 18.445 0.065
59848.355057 18.473 0.084
59848.368011 18.612 0.084
59851.312335 17.887 0.048
59851.330511 17.946 0.049
59851.333743 17.966 0.053
59851.345701 17.852 0.049
59852.289695 17.843 0.049
59852.293473 17.848 0.045
59852.299072 17.871 0.046
59852.309845 17.84 0.047
59870.23628 18.671 0.111
59870.24136 18.615 0.123
59870.276982 18.425 0.085
59870.302021 18.44 0.075
59871.320468 18.65 0.082
59871.323633 18.43 0.079
59871.330489 18.468 0.084
59871.340553 18.577 0.092
59881.247588 19.511 0.245
59881.25761 19.549 0.304
59881.260775 18.833 0.146
59881.266272 19.056 0.211
59881.268081 19.105 0.173
59882.331331 19.174 0.173
59882.33451 19.316 0.19
59882.339977 19.547 0.236
59882.361186 19.389 0.228
59897.197026 21.778 1.358
59897.207225 21.217 0.92
59897.217861 19.468 0.174
59899.255341 20.729 0.514
59899.258573 20.316 0.364
59899.279901 19.808 0.268
59899.29312 22.936 4.529
59900.274833 20.561 0.49
59900.281375 19.738 0.236
59900.28461 20.738 0.603
59900.296279 21.419 1.217
59903.213266 19.779 0.231
59903.261301 20.845 0.661
59905.339986 20.709 0.797
59909.23318 20.952 0.686
59909.237829 22.543 2.96
59909.253143 20.279 0.429
filter ATri
59816.438392 20.81 0.906
59817.422035 20.926 1.014
59817.439377 22.252 3.476
59819.394072 21.29 1.509
59819.409499 20.576 0.796
59819.416787 20.433 0.584
59820.390002 20.685 0.763
59820.439175 20.392 0.593
59821.442687 20.529 0.713
59821.45182 20.677 0.789
59824.452575 22.101 2.828
59824.472024 20.196 0.503
59827.364118 22.837 7.083
59827.375277 20.357 0.713
59827.387646 21.993 2.966
59828.364496 18.852 0.583
59828.367686 22.216 4.4
59831.428467 19.836 0.561
59832.475252 22.365 6.161
59833.388581 19.673 1.098
59833.398489 18.719 0.869
59833.424052 22.169 6.0
59836.423074 21.727 2.141
59837.37684 20.756 1.125
59837.378226 21.228 1.291
59838.450704 20.841 1.276
59839.369106 20.081 0.486
59841.392305 21.171 1.12
59841.395468 20.653 0.994
59841.402771 21.154 1.778
59841.413248 20.498 0.589
59842.377079 20.451 0.504
59842.380244 20.252 0.599
59842.397625 20.551 0.694
59843.380365 21.054 1.402
59843.383544 20.764 0.987
59843.389434 19.855 0.317
59843.404441 19.733 0.311
59845.379396 19.291 0.234
59845.38301 18.917 0.167
59845.3889 18.897 0.165
59845.399386 20.015 0.574
59846.33572 18.911 0.219
59846.338885 19.031 0.241
59846.34521 18.771 0.158
59846.364462 18.618 0.165
59847.32489 18.375 0.121
59847.328522 18.297 0.103
59847.333958 18.406 0.134
59847.343915 18.438 0.095
59849.30632 17.93 0.069
59849.311322 17.948 0.061
59849.315301 18.067 0.062
59849.327257 18.037 0.062
59850.362257 17.797 0.058
59850.365062 17.849 0.071
59850.370525 17.812 0.06
59850.380426 17.865 0.07
59851.340609 17.726 0.052
59851.343778 17.702 0.059
59851.349676 17.703 0.047
59851.361904 17.747 0.05
59853.349886 17.555 0.045
59853.363845 17.539 0.045
59853.367045 17.53 0.049
59853.375122 17.525 0.052
59854.288306 17.46 0.046
59854.291469 17.499 0.052
59854.300749 17.475 0.043
59854.321537 17.426 0.042
59855.278661 17.432 0.046
59855.283774 17.442 0.049
59855.287517 17.52 0.047
59855.299149 17.501 0.056
59856.30082 17.519 0.044
59856.303593 17.496 0.042
59856.309137 17.538 0.045
59856.331902 17.644 0.047
59857.439631 17.577 0.064
59857.44523 17.555 0.062
59857.447998 17.613 0.057
59857.46696 17.55 0.053
59858.342939 17.534 0.072
59858.353444 17.607 0.082
59858.356665 17.366 0.067
59858.363124 17.617 0.09
59859.355844 17.508 0.06
59859.37625 17.517 0.06
59859.389575 17.559 0.071
59859.4044 17.575 0.057
59860.274688 17.661 0.067
59860.278384 17.611 0.06
59860.29905 17.593 0.059
59860.304591 17.579 0.06
59861.306584 18.521 0.505
59861.309356 17.524 0.146
59861.314897 17.558 0.138
59861.3269 17.838 0.227
59861.37878 17.564 0.337
59861.383991 17.464 0.177
59861.387177 17.142 0.344
59861.399326 18.044 1.325
59862.353354 17.839 0.492
59862.356585 17.77 0.298
59862.378126 18.073 1.081
59863.289975 17.285 0.201
59863.293139 17.683 0.095
59863.32336 17.818 0.061
59863.336179 17.862 0.081
59863.339414 17.815 0.07
59863.348655 17.763 0.074
59864.3494 17.825 0.069
59864.352634 17.803 0.063
59864.358836 17.901 0.069
59864.38084 18.052 0.088
59866.41595 17.823 0.071
59866.428904 17.91 0.09
59866.433017 17.965 0.106
59866.438533 18.161 0.118
59867.336601 17.916 0.069
59867.339771 17.782 0.073
59867.345242 17.824 0.07
59867.357079 18.054 0.079
59867.375059 17.96 0.069
59867.378753 17.952 0.081
59867.393292 18.235 0.104
59867.407256 18.113 0.101
59868.265191 18.128 0.073
59868.280582 18.01 0.078
59868.283814 18.142 0.079
59868.299524 18.169 0.076
59869.27978 18.03 0.061
59869.283017 18.041 0.063
59869.289485 18.085 0.062
59869.299651 18.163 0.068
59871.217817 18.119 0.086
59871.222917 18.157 0.069
59871.224764 18.154 0.067
59871.229846 18.107 0.07
59873.310933 18.284 0.086
59873.315095 18.199 0.08
59873.320651 18.265 0.09
59873.34336 18.29 0.129
59875.294601 18.257 0.073
59875.298315 18.406 0.098
59875.319567 18.323 0.071
59875.338138 18.43 0.092
59876.244541 18.308 0.083
59876.247325 18.281 0.075
59876.269129 18.162 0.07
59876.287588 18.378 0.076
59877.270875 18.4 0.092
59877.274111 18.287 0.081
59877.28034 18.226 0.08
59877.290516 18.503 0.1
59879.234452 18.234 0.097
59879.241001 18.472 0.107
59879.244236 18.638 0.098
59879.253999 18.633 0.118
59881.326248 18.651 0.114
59881.337351 18.957 0.162
59881.35457 18.847 0.173
59881.368069 18.877 0.139
59882.309019 18.955 0.189
59882.312196 18.699 0.151
59882.317681 18.868 0.159
59882.320847 18.67 0.19
59883.276758 18.961 0.157
59883.28279 18.515 0.129
59883.29496 19.006 0.214
59883.297736 18.977 0.163
59885.239485 19.534 0.346
59885.249261 18.048 0.33
59885.252494 18.963 0.71
59885.263589 19.181 0.503
59885.31679 18.989 0.305
59885.322278 18.813 0.255
59885.325928 18.389 0.124
59885.330951 18.762 0.201
59885.336552 19.003 0.259
59885.337913 18.554 0.181
59885.339768 19.17 0.25
59885.351194 19.284 0.435
59886.248321 19.126 0.227
59886.25835 19.246 0.299
59886.26128 18.691 0.185
59886.269411 19.004 0.223
59886.288684 19.045 0.219
59887.230359 19.581 0.517
59887.240454 19.369 0.588
59887.252943 19.151 0.423
59887.256331 19.909 0.762
59889.257974 19.239 0.276
59889.258913 19.008 0.292
59889.261178 19.057 0.275
59889.262533 19.656 0.511
59889.275007 19.124 0.353
59889.276391 19.787 0.615
59889.280921 21.14 1.911
59889.282289 19.436 0.449
59890.367552 19.277 0.464
59890.372714 18.486 0.263
59890.375893 18.887 0.311
59890.388269 18.741 0.304
59891.262992 19.447 0.701
59891.274658 18.93 0.553
59892.278048 19.537 0.504
59893.237999 19.164 0.215
59893.240773 19.622 0.34
59893.25103 19.409 0.305
59893.256694 19.635 0.377
59893.350831 19.681 0.45
59893.354034 19.124 0.31
59893.37194 18.987 0.316
59893.382755 18.941 0.349
59895.21959 20.094 0.35
59895.240706 19.489 0.255
59896.268756 19.422 0.175
59896.271531 20.048 0.41
59896.27849 19.303 0.214
59896.296638 19.799 0.323
59899.266882 18.778 0.19
59899.272419 19.682 0.372
59899.282434 19.047 0.167
59899.290652 19.314 0.26
59906.269717 19.323 0.256
