2022yv 0.035426 170.4280700309597 34.35833002063985
filter g
58206.28158560023 21.1356870885568 0.5481472260817576
58487.47664349992 22.885414561983172 0.9350671946536423
58539.26578699984 22.313666337847767 0.8535156388880715
58601.24849539995 22.88883580419461 0.9111507267401437
59629.43746529985 20.382973229856532 0.3203095412270631
filter r
58439.55403940007 21.671234014683534 0.5856274182871821
58468.518368099816 22.389871587415545 0.7528510789213324
58492.452731499914 20.376618667615023 0.4266965366663808
58574.21355320001 21.26021056854679 0.9963125953682829
58970.207071799785 22.047683014358206 0.8966576226664652
59216.36972220009 20.292850782706758 0.890191167464994
59641.25349539984 19.79813762803196 0.13378292819398027
filter ATgr
59587.608598 21.263 0.961
59587.636013 20.363 0.414
59587.65441 21.153 0.869
59613.505235 18.795 0.096
59613.507072 18.983 0.109
59613.510727 19.114 0.142
59613.532056 19.019 0.139
59614.483465 18.934 0.136
59614.486208 19.199 0.128
59614.488961 19.169 0.125
59614.494076 19.041 0.135
59617.458717 19.364 0.169
59617.462603 19.187 0.133
59617.48688 19.335 0.152
59617.503465 19.167 0.141
59618.554499 19.154 0.122
59618.558648 19.648 0.187
59618.582159 19.412 0.131
59618.587679 19.65 0.187
59619.549273 19.282 0.144
59619.552528 19.412 0.141
59619.5599 19.316 0.14
59619.595965 19.138 0.131
59635.478644 19.816 0.228
59635.485993 19.496 0.208
59635.497039 19.903 0.278
59635.502633 20.451 0.429
59637.478205 20.477 0.558
59637.482203 19.692 0.226
59637.488205 19.888 0.295
59637.499658 19.889 0.317
59638.358224 19.904 0.298
59638.36143 20.499 0.536
59638.366532 20.34 0.422
59638.402049 21.08 0.864
59639.408399 20.292 0.418
59639.412532 20.508 0.456
59639.419096 19.761 0.248
59639.435984 20.675 0.557
59641.424799 20.332 0.444
59641.432957 20.423 0.411
59641.434996 19.829 0.257
59641.470665 19.948 0.279
59642.533922 20.58 0.954
59642.542055 20.171 0.692
59642.553668 20.067 0.649
59642.558235 20.497 0.952
59645.399249 19.314 0.492
59645.410041 19.718 0.504
59645.414994 17.924 0.874
59646.41814 18.58 0.584
59646.425227 19.404 0.351
59646.431144 19.956 0.503
59662.434764 18.318 0.581
59665.395794 20.816 0.704
59665.402394 20.15 0.423
59665.433961 19.989 0.231
