2024pjl 0.012129 67.058881461 -6.79115139821
filter ATgr
60696.361927 18.541 0.587
60696.375139 20.183 0.519
60699.086917 19.97 0.275
60699.09008 20.506 0.374
60699.095958 20.097 0.305
60699.112373 19.925 0.246
60703.082818 20.794 0.615
60703.1066 20.843 0.587
60704.345591 17.467 0.712
60704.365167 -20.247 0.647
60707.07112 20.034 0.374
60707.07429 20.813 0.735
60707.080195 20.683 0.603
60707.082451 20.531 0.539
60707.085253 20.328 0.493
60707.090668 20.132 0.48
60707.102519 19.935 0.435
60708.315647 20.469 0.653
60708.316551 19.958 0.348
60708.33539 20.783 0.649
filter ATri
60695.162091 20.762 0.623
60696.885441 -20.447 0.615
60698.348242 20.403 0.438
60700.841655 20.988 0.862
60700.857046 21.206 0.972
60700.863433 21.11 0.907
60708.800123 19.857 0.314
60708.816504 20.901 0.7
60711.067561 -21.077 0.944
60711.088481 -20.508 0.76
60712.294041 20.305 0.861
60712.297225 -19.634 0.534
60712.303159 20.162 0.771
60712.798018 20.045 0.639
60712.803079 -19.4 0.543
60714.274494 19.855 0.38
60714.28464 -20.593 0.839
60714.294581 19.844 0.517
60714.297801 19.706 0.444
60715.091737 -17.33 0.287
60715.106559 -19.104 0.9
60716.333823 -19.698 0.51
60716.336539 -20.103 0.93
60716.336992 -20.211 0.891
60716.816051 -20.284 0.881
60716.820579 19.644 0.394
60716.829637 -20.085 0.629
60716.847477 19.002 0.274
60718.361503 20.042 0.703
60718.36333 19.969 0.648
60719.095218 19.669 0.826
60720.317361 -20.167 0.571
60720.345372 -20.442 0.845
