2024xdl 0.0213 307.58792972972964 -1.0063603603603604
filter g
60591.16601849999 18.631057582235595 0.040385968857129695
60593.143402799964 18.623334463561747 0.050524046911080256
60596.18983800011 19.14754195289241 0.11118975343101029
60598.172951399814 19.38287764099547 0.13728809790970234
60607.12439810019 20.17178954515549 0.1373390288806137
filter r
60593.166909699794 17.89146888420569 0.0223084758021166
60596.1337036998 18.00043668691215 0.02858752200492513
60598.12994210003 18.191905093679168 0.04099974866053072
60603.1774420999 18.810099389841362 0.0640290596414733
60607.14797449997 19.093336114179085 0.06268794283874034
60609.14557870012 19.23040927825784 0.06015273109937993
60619.0933681 19.966976893532983 0.1551393612392017
filter ATgr
60587.051388 18.848 0.131
60588.305267 18.608 0.102
60588.308433 18.585 0.111
60588.313876 18.353 0.088
60588.332952 18.557 0.098
filter ATri
60584.799649 18.873 0.157
60586.287299 18.966 0.139
60588.792828 18.376 0.145
60588.825562 18.137 0.153
60592.309067 18.023 0.071
60592.31223 18.037 0.079
60596.325591 18.066 0.129
60598.321547 18.309 0.123
60598.32478 18.177 0.123
60598.33032 18.596 0.199
60598.340985 18.007 0.116
60599.081296 18.144 0.153
60599.094535 18.05 0.178
60600.311611 18.176 0.158
60600.333459 18.222 0.196
60602.335093 18.484 0.167
60604.299559 18.904 0.218
60607.017447 18.866 0.19
60608.262756 18.937 0.213
60611.002067 18.585 0.163
