2024yc 0.1 178.143316667 -45.78175
filter ATgr
60704.27398 -20.538 0.433
60708.256999 20.874 0.618
60712.20323 21.179 0.946
60712.208317 21.215 0.67
filter ATri
60696.260661 -20.39 0.701
60696.282997 -20.039 0.548
60698.018864 20.709 0.587
60698.02067 -20.512 0.524
60705.99245 -20.499 0.539
60705.99562 -20.719 0.645
60709.936108 -20.7 0.667
60709.974874 20.684 0.602
60717.969757 -20.219 0.7
60720.198894 -19.471 0.513
60721.951783 -19.697 0.457
60721.957404 20.178 0.654
60721.962642 -20.437 0.951
60724.234524 -20.304 0.631
