2025xi 0.08 18.671265 21.8183975
filter ATgr
60697.257697 19.149 0.144
60697.26087 18.917 0.143
60697.266806 18.827 0.11
filter ATri
60695.26629 19.369 0.24
60695.269511 19.278 0.2
60695.275496 19.365 0.223
60695.288451 18.973 0.16
60696.239046 19.315 0.192
60696.242248 19.117 0.165
60696.247872 18.875 0.127
60696.257643 19.192 0.21
60699.239118 19.141 0.179
60699.242338 19.08 0.168
60699.247908 18.874 0.137
60699.258052 19.384 0.21
60703.293519 18.954 0.178
60703.296797 18.521 0.113
60703.304677 18.97 0.159
60703.316326 18.844 0.163
60704.232805 19.125 0.145
60704.236558 18.979 0.127
60704.241714 19.367 0.225
60704.251933 19.182 0.218
60708.217062 18.943 0.198
60708.222735 19.228 0.193
60712.232023 18.817 0.187
60712.235331 18.976 0.208
60712.240889 18.913 0.211
60712.251072 19.18 0.267
60713.249411 19.769 0.484
60713.253077 18.74 0.183
60713.259035 18.893 0.229
60713.271181 19.988 0.798
60714.243542 19.054 0.318
60714.246735 18.862 0.241
60714.253101 19.579 0.464
60714.263181 19.524 0.388
60715.237161 19.31 0.402
60715.240865 19.96 1.341
60715.246379 17.822 0.673
60716.243568 19.652 0.42
60716.247292 19.306 0.362
60716.252864 18.957 0.277
60716.263456 19.026 0.361
60718.226343 19.741 0.466
60718.231827 20.257 1.118
60718.235025 19.675 0.59
60718.245974 20.962 1.826
60719.219712 19.671 0.586
60719.222941 20.097 0.84
60719.230938 19.561 0.416
60719.241677 19.306 0.318
60721.227076 19.561 0.338
60721.23073 19.931 0.439
60721.237085 19.855 0.464
60721.252206 19.574 0.352
60722.227053 21.476 1.944
60722.230717 20.499 0.709
60722.236158 19.276 0.234
