MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60546.27309,20.721,0.911,19,17,o,0,2.12,10.79441,-9.0564,4961.43,8324.55,2.59,2.05,-70.6,-0.421,18.84,19.74,04a60546o0602o
60546.274892,21.654,2.509,8,20,o,0,1.88,10.79441,-9.0564,4942.46,8285.7,2.34,2.0,-64.8,-0.392,18.87,19.71,04a60546o0606o
60546.278047,20.735,1.075,18,20,o,0,2.25,10.79441,-9.0564,5002.43,8363.1,2.32,2.01,-57.2,-0.391,18.8,19.63,04a60546o0613o
60546.284356,21.478,2.318,9,22,o,0,1.88,10.79441,-9.0564,5026.67,8245.9,2.36,1.91,-66.3,-0.417,18.84,19.58,04a60546o0627o
60548.09517,-19.782,0.874,-44,39,o,0,1.03,10.79441,-9.0564,5692.95,2294.99,4.43,3.7,-15.6,-0.34,18.11,19.57,03a60548o0752o
60548.125407,-18.854,0.481,-104,50,o,0,1.05,10.79441,-9.0564,5694.86,2298.06,5.68,4.46,-34.8,-0.408,17.81,19.64,03a60548o0808o
60548.142365,20.111,1.783,33,58,o,0,1.07,10.79441,-9.0564,5714.49,2338.43,8.82,6.01,8.2,-0.187,17.34,19.43,03a60548o0842o
60548.158323,-16.853,0.404,-659,266,o,0,1.06,10.79441,-9.0564,5662.5,2261.09,3.88,2.44,1.5,-0.762,16.62,17.76,03a60548o0874o
60548.161425,-17.176,0.136,-489,67,o,0,1.21,10.79441,-9.0564,5639.29,2376.39,8.48,5.37,7.0,-0.349,17.26,19.24,03a60548o0880o
60549.339219,-20.377,0.586,-26,15,o,0,1.63,10.79441,-9.0564,5763.52,2263.64,2.2,2.07,-37.6,-0.453,19.18,20.39,04a60549o0746o
60549.342641,-20.235,0.473,-29,14,o,0,2.43,10.79441,-9.0564,5783.97,2300.12,2.3,2.12,-27.3,-0.437,19.13,20.36,04a60549o0753o
60549.3513,-20.502,0.607,-23,14,o,0,1.81,10.79441,-9.0564,5727.66,2217.16,2.13,1.97,-23.9,-0.464,19.25,20.39,04a60549o0772o
60549.379777,20.858,0.962,16,16,o,0,1.52,10.79441,-9.0564,5712.14,2318.01,2.01,1.91,82.8,-0.467,19.21,20.2,04a60549o0824o
