MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60301.003863,21.056,1.109,14,15,o,0,0.91,144.2946,-1.30622,2703.9,2871.21,2.16,1.99,-62.9,-0.415,19.21,20.12,03a60301o0449o
60301.005677,22.138,2.25,5,11,o,0,1.94,144.2946,-1.30622,2687.63,2831.92,2.16,1.99,-67.1,-0.414,19.21,20.14,03a60301o0453o
60301.011916,-21.098,1.125,-13,15,o,0,1.03,144.2946,-1.30622,2745.34,2909.29,2.24,2.1,-70.7,-0.416,19.21,20.28,03a60301o0466o
60301.018261,19.782,0.285,44,13,o,0,1.15,144.2946,-1.30622,2764.39,2792.94,2.17,2.04,-63.6,-0.423,19.36,20.43,03a60301o0480o
60303.227767,19.539,0.678,56,38,o,0,1.19,144.2946,-1.30622,4299.18,9013.13,2.03,1.77,-62.0,-0.413,18.09,18.73,04a60303o0442o
60303.248402,21.964,3.745,6,22,o,0,1.03,144.2946,-1.30622,4284.94,8974.47,2.05,1.8,-52.8,-0.421,18.79,19.58,04a60303o0485o
60303.251561,0.0,20.755,0,18,o,0,1.92,144.2946,-1.30622,4342.85,9052.21,2.05,1.79,-50.2,-0.431,18.83,19.62,04a60303o0492o
60303.265,-20.63,1.111,-20,23,o,0,1.13,144.2946,-1.30622,4363.56,8934.59,2.14,1.83,-54.9,-0.417,18.75,19.49,04a60303o0521o
60304.462381,-22.73,8.704,-3,26,o,0,1.0,144.2946,-1.30622,2394.91,7683.79,2.16,1.91,22.7,-0.427,18.64,18.85,02a60304o0597o
60304.483984,19.428,0.389,62,24,o,0,1.06,144.2946,-1.30622,2407.6,7721.7,2.23,1.97,29.1,-0.411,18.62,18.95,02a60304o0637o
60304.487146,-19.573,0.441,-54,24,o,0,0.86,144.2946,-1.30622,2348.95,7644.14,2.27,2.04,25.0,-0.416,18.63,18.96,02a60304o0644o
60304.491762,21.985,3.963,6,23,o,0,1.17,144.2946,-1.30622,2329.12,7761.09,2.14,1.91,24.9,-0.431,18.71,18.99,02a60304o0654o
60306.464049,-21.889,4.488,-6,29,o,0,0.86,144.2946,-1.30622,9043.26,8911.15,2.78,2.6,-64.6,-0.457,18.64,18.98,01a60306o0378o
60306.471989,-20.6,1.392,-21,29,o,0,1.03,144.2946,-1.30622,9028.08,8870.58,2.84,2.79,-72.5,-0.445,18.59,19.01,01a60306o0392o
60306.486229,-20.965,1.495,-15,22,o,0,1.76,144.2946,-1.30622,9090.92,8948.22,2.74,2.69,-80.5,-0.453,18.68,19.08,01a60306o0420o
