MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60387.606574,22.027,3.795,6,21,o,0,1.0,314.22652,54.66789,2758.37,8691.03,2.12,1.96,20.7,-0.437,18.9,19.84,02a60387o0811o
60387.632109,-20.671,0.803,-20,16,o,0,1.58,314.22652,54.66789,2785.78,8725.64,2.19,1.97,26.0,-0.433,18.96,19.97,02a60387o0864o
60387.6358,-20.639,0.83,-20,17,o,0,1.07,314.22652,54.66789,2731.06,8644.19,2.1,1.94,30.8,-0.442,18.99,19.83,02a60387o0870o
60387.646224,-22.866,10.19,-3,26,o,0,0.9,314.22652,54.66789,2712.33,8760.47,2.16,1.98,28.7,-0.427,18.76,19.42,02a60387o0890o
60389.621002,-19.887,1.623,-40,65,o,0,0.94,314.22652,54.66789,6534.59,5400.6,3.29,2.91,40.0,-0.34,17.53,18.86,01a60389o0800o
60389.634421,22.245,4.444,5,20,o,0,1.47,314.22652,54.66789,6592.91,5474.88,3.05,2.51,37.3,-0.338,18.62,19.74,01a60389o0827o
60389.643315,-21.421,2.34,-10,23,o,0,1.03,314.22652,54.66789,6613.25,5359.37,2.84,2.49,40.9,-0.358,18.61,19.4,01a60389o0845o
60393.61654,13.46,0.26,15002,3894,o,0,1.13,314.22652,54.66789,8998.75,9420.6,2.87,2.66,56.5,-0.49,12.67,12.55,01a60393o0720o
60393.62176,15.193,0.88,3040,2674,o,0,1.01,314.22652,54.66789,8982.23,9380.06,2.93,2.72,55.8,-0.472,13.36,13.21,01a60393o0731o
60393.634575,-20.753,3.535,-18,64,o,0,0.91,314.22652,54.66789,9042.17,9454.33,2.73,2.56,55.7,-0.429,17.57,17.72,01a60393o0758o
60393.640241,19.361,1.883,65,123,o,0,1.1,314.22652,54.66789,9061.55,9336.63,2.65,2.55,-87.0,-0.452,17.34,17.64,01a60393o0770o
60399.617231,22.179,3.892,5,19,o,0,0.81,314.22652,54.66789,7166.06,3901.7,2.64,2.43,42.2,-0.382,19.0,19.8,01a60399o0816o
60399.63705,-20.428,0.794,-24,19,o,0,1.06,314.22652,54.66789,7142.62,3862.07,2.58,2.29,44.6,-0.379,18.87,19.46,01a60399o0853o
60399.639645,-22.239,4.972,-5,23,o,0,0.84,314.22652,54.66789,7199.54,3940.07,2.67,2.37,46.8,-0.378,18.64,19.08,01a60399o0858o
60399.644291,20.002,1.124,36,41,o,0,1.8,314.22652,54.66789,7218.2,3823.38,2.55,2.32,46.6,-0.391,18.0,17.93,01a60399o0867o
60401.613474,22.645,4.857,3,15,o,0,1.08,314.22652,54.66789,1618.95,9772.01,2.72,2.58,87.1,-0.424,19.11,20.15,01a60401o0824o
60401.619221,-21.11,1.072,-13,14,o,0,1.41,314.22652,54.66789,1600.48,9736.71,2.6,2.38,-87.8,-0.435,19.17,20.17,01a60401o0836o
60401.637818,21.913,3.452,6,22,o,0,1.35,314.22652,54.66789,1653.73,9817.45,2.91,2.48,72.0,-0.389,18.72,19.36,01a60401o0875o
60401.641219,19.701,0.771,48,37,o,0,0.91,314.22652,54.66789,1672.11,9697.34,2.67,2.39,81.2,-0.429,18.32,18.55,01a60401o0882o
60403.555399,15.084,3.404,3361,11443,o,0,1.04,314.22652,54.66789,3271.43,3599.48,3.06,2.71,38.3,-0.364,13.44,13.61,01a60403o0254o
60403.567953,-20.565,1.914,-22,41,o,0,0.66,314.22652,54.66789,3255.34,3568.07,3.1,2.68,39.3,-0.353,18.17,18.32,01a60403o0263o
60403.580451,-19.755,0.741,-46,34,o,0,0.91,314.22652,54.66789,3312.98,3642.32,3.31,2.77,41.9,-0.342,18.42,18.68,01a60403o0272o
60406.578104,-21.468,0.935,-9,9,o,0,1.03,314.22652,54.66789,3270.96,3596.69,2.89,2.58,41.4,-0.393,19.73,20.14,01a60406o0251o
60406.591065,-21.343,0.75,-10,8,o,0,1.05,314.22652,54.66789,3248.94,3558.81,2.8,2.52,40.6,-0.4,19.82,20.26,01a60406o0260o
60406.598005,-20.858,0.443,-16,7,o,0,1.01,314.22652,54.66789,3305.42,3636.24,2.84,2.55,41.2,-0.396,19.87,20.33,01a60406o0265o
60409.560153,-21.565,0.984,-9,8,o,0,1.08,314.22652,54.66789,2143.8,7699.16,3.0,2.77,55.7,-0.379,19.74,20.23,01a60409o0236o
60409.570004,-21.929,1.312,-6,8,o,0,0.96,314.22652,54.66789,2128.45,7661.57,2.74,2.45,53.3,-0.396,19.83,20.32,01a60409o0243o
60409.576988,-21.251,0.642,-12,7,o,0,1.16,314.22652,54.66789,2185.7,7739.74,2.95,2.6,58.8,-0.372,19.84,20.47,01a60409o0248o
60417.576557,20.25,0.795,29,23,o,0,1.16,314.22652,54.66789,7800.92,7404.48,2.77,2.68,71.2,-0.427,18.66,19.84,01a60417o0672o
60417.582119,-19.468,0.352,-59,21,o,0,1.01,314.22652,54.66789,7781.03,7364.85,2.58,2.43,63.0,-0.434,18.76,19.85,01a60417o0683o
60417.585137,-20.401,0.851,-25,21,o,0,0.99,314.22652,54.66789,7838.37,7446.93,2.61,2.42,70.3,-0.442,18.74,19.94,01a60417o0689o
60417.599918,22.192,4.833,5,23,o,0,1.15,314.22652,54.66789,7856.77,7330.8,3.06,2.77,47.3,-0.405,18.59,19.82,01a60417o0717o
60419.581541,21.424,1.453,10,14,o,0,1.17,314.22652,54.66789,1481.58,6691.3,2.23,2.02,33.3,-0.455,19.21,20.31,02a60419o0739o
60419.584285,22.198,3.054,5,15,o,0,1.02,314.22652,54.66789,1500.74,6730.16,2.25,1.99,35.4,-0.456,19.22,20.33,02a60419o0745o
60419.595192,21.029,1.073,14,15,o,0,1.0,314.22652,54.66789,1451.87,6649.9,2.29,1.95,36.8,-0.456,19.22,20.29,02a60419o0767o
60419.600854,-20.283,0.487,-28,14,o,0,1.26,314.22652,54.66789,1436.46,6766.33,2.11,1.98,40.5,-0.46,19.21,20.29,02a60419o0778o
60427.559626,-20.142,0.718,-32,23,o,0,1.09,314.22652,54.66789,8815.38,8827.04,2.31,1.96,-48.9,-0.46,18.88,19.41,02a60427o0710o
60427.569906,-20.403,0.946,-25,24,o,0,0.9,314.22652,54.66789,8835.1,8864.13,2.32,2.03,-50.8,-0.455,18.89,19.42,02a60427o0731o
60427.58241,20.186,0.587,31,18,o,0,1.34,314.22652,54.66789,8786.07,8793.51,2.28,2.09,-52.6,-0.455,18.91,19.49,02a60427o0758o
60427.591652,20.523,1.05,22,24,o,0,0.87,314.22652,54.66789,8761.68,8908.37,2.32,2.09,-53.8,-0.452,18.94,19.49,02a60427o0777o
60431.574095,21.468,1.918,9,18,o,0,0.61,314.22652,54.66789,9360.07,6758.22,2.16,2.05,-62.8,-0.465,19.18,20.03,02a60431o0734o
60431.581902,21.178,1.411,12,17,o,0,0.89,314.22652,54.66789,9387.49,6800.79,2.16,2.07,32.5,-0.466,19.13,20.05,02a60431o0750o
60431.597014,-20.356,0.623,-26,16,o,0,0.86,314.22652,54.66789,9331.63,6722.62,2.16,2.12,71.9,-0.461,19.11,19.96,02a60431o0781o
60431.606133,-20.59,0.819,-21,17,o,0,0.92,314.22652,54.66789,9324.87,6846.15,2.13,2.06,76.1,-0.47,19.12,19.95,02a60431o0800o
60435.562003,17.308,0.54,433,234,o,0,1.29,314.22652,54.66789,8480.22,2824.69,2.15,1.99,-53.1,-0.426,15.31,16.17,02a60435o0708o
60435.587835,-18.855,0.515,-104,54,o,0,1.22,314.22652,54.66789,8431.66,2907.47,2.08,2.01,-49.2,-0.434,18.05,19.16,02a60435o0762o
60439.586617,20.06,0.391,34,13,o,0,0.9,314.22652,54.66789,4102.65,5126.75,2.4,1.84,41.8,-0.464,19.35,20.42,02a60439o0762o
60439.589803,23.068,6.056,2,13,o,0,1.21,314.22652,54.66789,4120.38,5164.63,2.37,1.82,41.7,-0.467,19.34,20.43,02a60439o0769o
60439.607533,22.358,2.829,4,12,o,0,1.32,314.22652,54.66789,4077.77,5093.78,2.37,1.8,42.6,-0.465,19.34,20.4,02a60439o0805o
60439.613423,-20.915,0.833,-16,13,o,0,0.99,314.22652,54.66789,4058.42,5207.75,2.33,1.76,42.4,-0.47,19.32,20.25,02a60439o0818o
60439.623254,-19.714,0.567,-47,27,o,0,1.17,314.22652,54.66789,4101.43,5147.7,2.41,1.77,40.4,-0.452,18.6,18.84,02a60439o0838o
60451.53841,17.476,1.026,371,381,o,0,1.54,314.22652,54.66789,9014.11,754.03,2.17,1.6,-60.0,-0.579,15.72,15.57,02a60451o0636o
60451.541577,-17.554,0.927,-346,320,o,0,1.03,314.22652,54.66789,9034.03,792.41,2.06,1.52,-59.3,-0.611,16.27,16.18,02a60451o0643o
60451.546751,17.819,0.599,271,162,o,0,0.51,314.22652,54.66789,8977.31,717.16,2.08,1.51,-58.8,-0.575,16.85,16.78,02a60451o0653o
60451.56676,20.936,6.632,15,102,o,0,0.69,314.22652,54.66789,8971.78,838.78,1.99,1.53,-60.0,-0.589,17.34,17.48,02a60451o0695o
60453.571177,-22.65,7.824,-3,25,o,0,0.98,314.22652,54.66789,4569.09,5523.28,3.52,2.77,46.7,-0.313,18.59,19.31,01a60453o0697o
60453.574492,21.798,2.902,7,20,o,0,1.32,314.22652,54.66789,4544.26,5486.4,2.81,2.33,43.5,-0.4,18.74,19.31,01a60453o0704o
60453.59628,-22.336,3.969,-4,17,o,0,1.66,314.22652,54.66789,4575.24,5562.5,2.76,2.32,43.4,-0.394,18.83,19.38,01a60453o0748o
60453.611609,-20.446,1.107,-24,27,o,0,0.8,314.22652,54.66789,4576.28,5448.76,3.09,2.59,41.9,-0.37,18.63,19.24,01a60453o0779o
60455.493464,-21.565,2.923,-9,25,o,0,1.0,314.22652,54.66789,3450.53,1131.86,1.99,1.85,-70.3,-0.495,18.71,19.21,02a60455o0541o
60455.496663,-20.574,1.286,-21,28,o,0,0.77,314.22652,54.66789,3467.36,1169.54,1.96,1.87,-82.8,-0.497,18.73,19.21,02a60455o0548o
60455.50652,-21.247,1.591,-12,18,o,0,1.71,314.22652,54.66789,3416.09,1092.12,1.94,1.84,-73.1,-0.499,18.77,19.26,02a60455o0568o
60455.521303,22.422,5.289,4,21,o,0,1.09,314.22652,54.66789,3410.98,1211.54,1.91,1.84,82.9,-0.5,18.82,19.28,02a60455o0599o
60457.545426,22.251,3.63,5,17,o,0,1.01,314.22652,54.66789,704.78,5848.99,3.31,2.78,44.7,-0.309,18.99,20.12,01a60457o0633o
60457.549006,21.015,0.932,14,13,o,0,1.52,314.22652,54.66789,683.37,5816.93,2.51,2.36,51.6,-0.406,19.16,20.13,01a60457o0640o
60457.554901,20.46,0.676,24,16,o,0,1.28,314.22652,54.66789,735.15,5888.31,3.29,2.82,53.2,-0.313,18.96,20.12,01a60457o0651o
60457.565043,21.503,1.815,9,16,o,0,0.92,314.22652,54.66789,741.82,5773.42,3.33,2.78,48.3,-0.303,18.99,20.1,01a60457o0671o
60461.545332,20.015,0.443,36,16,o,0,0.9,314.22652,54.66789,5766.02,1932.25,2.79,2.48,44.8,-0.401,19.06,20.18,01a60461o0633o
60461.548102,19.219,0.164,74,12,o,0,1.17,314.22652,54.66789,5741.08,1894.55,2.53,2.19,39.9,-0.436,19.21,20.31,01a60461o0639o
60461.553602,19.858,0.3,41,12,o,0,1.34,314.22652,54.66789,5793.72,1971.42,2.56,2.24,41.0,-0.425,19.24,20.34,01a60461o0650o
60461.563872,19.639,0.363,51,18,o,0,0.92,314.22652,54.66789,5805.51,1853.85,2.7,2.28,40.5,-0.407,18.94,19.92,01a60461o0672o
60463.560533,18.787,0.11,111,12,o,0,1.29,314.22652,54.66789,6633.87,2996.57,2.13,1.91,45.5,-0.462,19.37,20.52,02a60463o0687o
60463.583235,18.79,0.114,111,13,o,0,0.99,314.22652,54.66789,6668.6,3039.13,2.13,1.88,39.0,-0.464,19.41,20.53,02a60463o0735o
60463.594971,18.967,0.13,94,12,o,0,1.15,314.22652,54.66789,6617.14,2964.32,2.22,1.94,38.7,-0.454,19.35,20.54,02a60463o0758o
60463.602377,18.939,0.134,96,13,o,0,1.03,314.22652,54.66789,6603.1,3088.66,2.18,1.91,39.3,-0.452,19.38,20.47,02a60463o0773o
60465.554563,18.709,0.119,119,14,o,0,1.31,314.22652,54.66789,5159.63,3485.58,3.05,2.45,40.6,-0.36,19.27,20.45,01a60465o0644o
60465.556413,18.581,0.085,134,11,o,0,1.43,314.22652,54.66789,5134.73,3446.0,2.53,2.22,41.5,-0.405,19.36,20.46,01a60465o0648o
60465.561853,18.599,0.087,132,12,o,0,1.32,314.22652,54.66789,5186.46,3523.97,2.48,2.22,40.9,-0.407,19.37,20.45,01a60465o0659o
60465.572069,18.644,0.099,127,12,o,0,1.36,314.22652,54.66789,5193.33,3407.77,2.84,2.35,38.3,-0.379,19.3,20.49,01a60465o0680o
60467.541561,18.541,0.11,139,15,o,0,0.8,314.22652,54.66789,2855.73,3166.51,2.54,1.91,40.2,-0.477,19.36,20.68,02a60467o0645o
60467.544748,18.642,0.105,127,13,o,0,1.05,314.22652,54.66789,2877.89,3206.25,2.48,1.87,39.6,-0.492,19.39,20.69,02a60467o0652o
60467.565034,18.781,0.127,112,14,o,0,0.85,314.22652,54.66789,2829.99,3129.35,2.52,1.85,38.4,-0.488,19.41,20.69,02a60467o0694o
60467.570469,18.7,0.094,120,11,o,0,1.62,314.22652,54.66789,2815.91,3245.58,2.23,1.79,37.7,-0.499,19.42,20.7,02a60467o0706o
60471.543926,18.498,0.09,145,13,o,0,1.58,314.22652,54.66789,7192.89,942.66,2.31,1.99,-63.4,-0.468,19.31,20.6,02a60471o0642o
60471.546187,18.435,0.096,154,15,o,0,1.1,314.22652,54.66789,7212.3,982.55,2.43,2.01,-78.0,-0.451,19.29,20.59,02a60471o0647o
60471.548965,18.546,0.085,138,12,o,0,1.13,314.22652,54.66789,7158.53,905.74,2.34,1.92,-72.0,-0.464,19.34,20.61,02a60471o0653o
60471.564077,18.487,0.086,146,13,o,0,1.43,314.22652,54.66789,7150.78,1026.35,2.36,2.02,-71.5,-0.472,19.32,20.68,02a60471o0685o
60473.47059,18.683,0.109,122,13,o,0,0.98,314.22652,54.66789,5307.48,9490.17,3.24,2.5,53.0,-0.333,19.24,20.53,01a60473o0482o
60473.493877,18.502,0.079,144,11,o,0,1.4,314.22652,54.66789,5274.45,9450.33,2.68,2.41,61.4,-0.39,19.4,20.6,01a60473o0529o
60473.501185,18.659,0.093,125,12,o,0,1.3,314.22652,54.66789,5328.85,9528.27,2.6,2.3,59.1,-0.395,19.43,20.59,01a60473o0544o
60473.506218,18.651,0.095,126,12,o,0,1.42,314.22652,54.66789,5343.53,9409.96,3.21,2.49,52.9,-0.325,19.27,20.59,01a60473o0553o
60475.51825,18.791,0.131,111,14,o,0,0.9,314.22652,54.66789,4743.39,3107.99,2.24,1.93,45.9,-0.472,19.37,20.46,02a60475o0593o
60475.520057,18.667,0.121,124,15,o,0,1.01,314.22652,54.66789,4764.93,3147.73,2.36,2.05,45.9,-0.47,19.27,20.45,02a60475o0597o
60475.525357,18.54,0.102,139,14,o,0,1.31,314.22652,54.66789,4707.7,3070.03,2.27,1.91,42.7,-0.472,19.36,20.47,02a60475o0608o
60475.549399,18.62,0.076,129,10,o,0,2.08,314.22652,54.66789,4704.64,3188.18,2.18,1.84,39.3,-0.482,19.4,20.55,02a60475o0659o
60477.498839,19.773,0.288,45,13,o,0,1.19,314.22652,54.66789,1753.78,1712.62,3.17,2.59,49.8,-0.351,19.24,20.64,01a60477o0543o
60477.500825,18.807,0.106,109,12,o,0,1.55,314.22652,54.66789,1730.49,1675.68,2.76,2.39,51.9,-0.408,19.36,20.66,01a60477o0547o
60477.503601,19.187,0.167,77,13,o,0,1.11,314.22652,54.66789,1788.2,1751.38,2.7,2.29,47.0,-0.423,19.36,20.67,01a60477o0553o
60477.518021,18.822,0.133,107,14,o,0,0.76,314.22652,54.66789,1783.23,1635.64,2.86,2.42,50.1,-0.402,19.31,20.66,01a60477o0581o
60479.568966,19.156,0.188,79,15,o,0,0.76,314.22652,54.66789,2634.57,5666.73,2.4,1.78,29.0,-0.479,19.42,20.67,02a60479o0697o
60479.572777,19.376,0.218,64,14,o,0,0.83,314.22652,54.66789,2614.58,5627.08,2.34,1.77,29.6,-0.484,19.46,20.65,02a60479o0704o
60479.601134,19.189,0.188,77,14,o,0,0.75,314.22652,54.66789,2664.84,5699.52,2.35,1.79,30.5,-0.483,19.47,20.69,02a60479o0763o
60481.522907,19.055,0.229,87,20,o,0,1.08,314.22652,54.66789,1161.98,3790.35,2.87,2.48,45.5,-0.355,18.86,19.65,01a60481o0557o
60481.526145,18.902,0.188,100,19,o,0,1.32,314.22652,54.66789,1138.74,3753.7,3.14,2.65,42.0,-0.329,18.83,19.65,01a60481o0564o
60481.528918,19.159,0.251,79,20,o,0,0.89,314.22652,54.66789,1196.36,3828.67,3.0,2.49,45.7,-0.346,18.84,19.65,01a60481o0570o
60481.537369,19.009,0.184,90,17,o,0,1.67,314.22652,54.66789,1203.34,3712.32,2.77,2.41,41.1,-0.369,18.93,19.66,01a60481o0587o
60485.43796,19.417,0.371,62,23,o,0,1.27,314.22652,54.66789,2127.87,7704.46,3.36,2.89,48.5,-0.362,18.68,19.52,01a60485o0413o
60485.439811,19.338,0.296,67,20,o,0,0.94,314.22652,54.66789,2105.71,7666.52,2.62,2.38,61.8,-0.405,18.87,19.53,01a60485o0417o
60485.458634,19.164,0.263,78,21,o,0,0.75,314.22652,54.66789,2151.46,7746.81,2.72,2.49,55.1,-0.403,18.86,19.58,01a60485o0456o
60485.481446,18.976,0.204,93,19,o,0,1.12,314.22652,54.66789,2144.43,7632.54,2.6,2.32,55.6,-0.419,18.95,19.62,01a60485o0502o
60487.515353,19.394,0.251,63,16,o,0,1.19,314.22652,54.66789,2835.91,8699.86,2.26,1.95,39.2,-0.426,19.17,20.01,02a60487o0586o
60487.518301,19.038,0.203,88,18,o,0,0.97,314.22652,54.66789,2856.61,8740.08,2.31,1.97,39.5,-0.419,19.14,20.02,02a60487o0592o
60487.524264,19.163,0.226,78,18,o,0,0.88,314.22652,54.66789,2794.06,8660.51,2.26,1.97,37.8,-0.422,19.12,20.02,02a60487o0605o
60487.53891,19.28,0.212,70,15,o,0,0.85,314.22652,54.66789,7857.98,1798.81,1.92,1.83,-67.5,-0.475,19.25,20.02,02a60487o0636o
60489.497319,19.293,0.181,70,13,o,0,0.93,314.22652,54.66789,6464.03,5423.89,2.73,2.28,38.3,-0.382,19.27,20.29,01a60489o0536o
60489.500224,19.47,0.214,59,13,o,0,1.12,314.22652,54.66789,6441.36,5385.43,2.61,2.24,40.1,-0.39,19.29,20.28,01a60489o0542o
60489.505269,19.127,0.167,81,14,o,0,0.98,314.22652,54.66789,6492.6,5463.34,2.68,2.27,37.1,-0.378,19.29,20.28,01a60489o0552o
60489.523922,19.188,0.149,77,11,o,0,1.25,314.22652,54.66789,6485.68,5346.62,2.72,2.33,35.0,-0.377,19.29,20.36,01a60489o0589o
60491.503443,19.208,0.182,75,14,o,0,0.84,314.22652,54.66789,6838.67,9011.82,2.25,1.95,46.3,-0.475,19.49,20.72,02a60491o0550o
60491.528238,19.108,0.169,82,14,o,0,0.81,314.22652,54.66789,6872.75,9060.53,2.51,1.95,39.3,-0.456,19.44,20.73,02a60491o0601o
60491.543473,19.01,0.106,90,10,o,0,1.34,314.22652,54.66789,3834.79,1597.37,1.96,1.68,33.6,-0.493,19.56,20.74,02a60491o0633o
60491.56827,19.397,0.181,63,11,o,0,0.86,314.22652,54.66789,3848.04,1475.6,2.04,1.75,36.6,-0.485,19.49,20.71,02a60491o0685o
60493.489523,19.224,0.169,74,12,o,0,0.92,314.22652,54.66789,1652.62,1173.23,1.91,1.75,47.6,-0.53,19.44,20.74,02a60493o0528o
60493.515179,20.241,0.778,29,23,o,0,0.77,314.22652,54.66789,1685.75,1218.82,2.03,1.78,38.1,-0.5,18.86,20.09,02a60493o0582o
