# Combination of '2023fot' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 185.44815, 10.59142, 59953.027194, 20.016, 0.894, 36.0, 32.0, ATLAS
o, 23.9, 185.44815, 10.59142, 59953.04234, 19.501, 0.546, 58.0, 31.0, ATLAS
o, 23.9, 185.44815, 10.59142, 59963.302478, 20.789, 0.809, 18.0, 14.0, ATLAS
o, 23.9, 185.44815, 10.59142, 59963.305633, 20.549, 0.517, 22.0, 11.0, ATLAS
o, 23.9, 185.44815, 10.59142, 59964.647504, 20.729, 0.642, 19.0, 12.0, ATLAS
o, 23.9, 185.44815, 10.59142, 59971.373494, 20.903, 0.913, 16.0, 14.0, ATLAS
o, 23.9, 185.44815, 10.59142, 59976.982985, 20.343, 0.734, 26.0, 19.0, ATLAS
o, 23.9, 185.44815, 10.59142, 59977.008452, 20.358, 0.637, 26.0, 17.0, ATLAS
o, 23.9, 185.44815, 10.59142, 59979.292949, 20.233, 0.805, 29.0, 24.0, ATLAS
o, 23.9, 185.44815, 10.59142, 59979.29611, 20.11, 0.931, 33.0, 30.0, ATLAS
o, 23.9, 185.44815, 10.59142, 59986.370692, 19.296, 0.804, 69.0, 56.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60004.898921, 20.088, 0.932, 34.0, 31.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60007.952989, 19.355, 0.734, 66.0, 48.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60007.962926, 19.931, 0.678, 39.0, 26.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60018.247033, 20.621, 0.836, 20.0, 17.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60018.252489, 20.579, 0.805, 21.0, 17.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60018.527689, 19.204, 0.683, 76.0, 52.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60020.427829, 19.387, 0.819, 64.0, 52.0, ATLAS
c, 23.9, 185.44815, 10.59142, 60020.955074, 21.227, 0.895, 12.0, 10.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60021.10095, 20.851, 0.928, 17.0, 15.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60021.47511, 20.799, 0.535, 17.0, 9.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60021.485209, 20.637, 0.541, 20.0, 11.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60022.379345, 20.447, 0.567, 24.0, 14.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60025.292755, 20.787, 0.577, 18.0, 10.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60026.187072, 20.539, 0.55, 22.0, 12.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60026.189814, 20.987, 0.93, 15.0, 14.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60028.418821, 20.389, 0.77, 25.0, 20.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60029.262149, 19.93, 0.347, 39.0, 13.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60030.181831, 21.155, 0.911, 12.0, 11.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60030.418706, 20.109, 0.385, 33.0, 13.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60030.443503, 20.827, 0.689, 17.0, 12.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60033.236225, 21.127, 0.795, 13.0, 10.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60034.196993, 20.819, 0.857, 17.0, 15.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60034.202134, 19.879, 0.328, 41.0, 13.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60034.205496, 20.63, 0.767, 20.0, 16.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60034.881373, 20.697, 0.985, 19.0, 19.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60034.892482, 20.288, 0.697, 28.0, 19.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60034.897971, 20.035, 0.565, 35.0, 20.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60036.120496, 20.046, 0.79, 35.0, 28.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60045.16189, 19.464, 0.289, 60.0, 17.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60045.16509, 20.06, 0.486, 34.0, 17.0, ATLAS
