MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60012.380656,20.076,0.918,34,31,o,0,0.91,307.78865,-44.26244,5812.81,8961.93,2.23,1.76,-72.4,-0.46,18.5,18.99,04a60012o0804o
60012.385217,-22.065,6.122,-5,33,o,0,0.88,307.78865,-44.26244,5789.93,8924.09,2.15,1.9,-48.0,-0.393,18.44,18.96,04a60012o0814o
60012.396836,20.028,0.876,35,31,o,0,0.78,307.78865,-44.26244,5846.92,9003.65,2.08,1.73,-69.7,-0.416,18.4,18.76,04a60012o0839o
60012.401811,19.871,0.781,41,32,o,0,1.96,307.78865,-44.26244,5865.13,8887.57,2.06,1.71,-72.8,-0.417,18.09,18.19,04a60012o0850o
60028.310635,-21.002,1.034,-14,15,o,0,0.62,307.78865,-44.26244,4228.86,1020.35,1.98,1.83,51.7,-0.447,19.08,20.19,04a60028o0532o
60028.313478,-22.831,4.8,-3,13,o,0,1.61,307.78865,-44.26244,4210.38,980.52,2.09,1.89,44.5,-0.441,19.06,20.24,04a60028o0538o
60028.333704,-23.461,8.846,-2,13,o,0,1.43,307.78865,-44.26244,4257.65,1063.92,1.92,1.82,55.3,-0.448,19.16,20.24,04a60028o0580o
60028.34205,20.093,0.413,33,14,o,0,1.08,307.78865,-44.26244,4274.01,950.05,1.98,1.81,54.7,-0.45,19.18,20.26,04a60028o0596o
60035.281136,-21.927,2.643,-6,16,o,0,1.15,307.78865,-44.26244,6102.91,911.06,2.1,2.07,62.9,-0.425,18.94,20.02,04a60035o0659o
60035.283978,-20.806,0.991,-17,17,o,0,1.11,307.78865,-44.26244,6082.7,874.05,2.08,2.07,-40.6,-0.428,18.94,20.01,04a60035o0665o
60035.304372,18.968,0.539,94,51,o,0,1.44,307.78865,-44.26244,6128.53,953.36,2.14,2.07,-79.3,-0.423,17.74,18.88,04a60035o0708o
60035.321374,21.902,3.677,6,23,o,0,1.24,307.78865,-44.26244,6141.99,843.69,2.13,2.07,-69.2,-0.43,18.72,19.82,04a60035o0743o
60037.394462,21.456,1.5,10,14,o,0,0.78,307.78865,-44.26244,6084.37,936.83,1.92,1.83,-47.7,-0.476,19.36,20.65,04a60037o0873o
