# Combination of '2019amo' data from 'ATLAS', 'ZTF' (sourced from HSF)
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
c, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58518.625223, 19.47286997089464, 0.1472184684420339, 59.0, 8.0, ATLAS
c, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58518.634146, 19.894850021680092, 0.21714724095200003, 40.0, 8.0, ATLAS
c, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58518.642372, 19.334812993247933, 0.14584516183343285, 67.0, 9.0, ATLAS
c, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58518.651189, 19.287254899964356, 0.13959465489771428, 70.0, 9.0, ATLAS
c, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58578.496367, 21.115141619232908, 0.7516635263723077, 13.0, 9.0, ATLAS
c, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58578.505763, 20.405149978319905, 0.39086503371360004, 25.0, 9.0, ATLAS
c, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58578.51513, 20.959771852360795, 0.5790593092053333, 15.0, 8.0, ATLAS
c, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58578.524456, 20.889700043360186, 0.6107266151775, 16.0, 9.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58498.631186, inf, inf, 0.0, 13.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58498.639442, nan, 1.395946548977143, -7.0, 9.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58500.640882, nan, 1.2063735608444446, -18.0, 20.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58500.649037, 21.296518287104437, 1.5792526614690912, 11.0, 16.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58500.657405, 21.296518287104437, 1.5792526614690912, 11.0, 16.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58500.665789, nan, 0.9047801706333335, -24.0, 20.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58504.607139, nan, 2.5333844777733336, -12.0, 28.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58504.620041, 19.97949568983251, 0.7922939872572974, 37.0, 27.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58504.624737, 20.207196863200842, 0.9409713774586668, 30.0, 26.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58504.639021, nan, 1.321765814490435, -23.0, 28.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58506.58454, 20.889700043360186, 1.221453230355, 16.0, 18.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58506.592496, 20.32159058960253, 0.8444614925911113, 27.0, 21.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58506.600504, nan, 1.809560341266667, -12.0, 20.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58506.608386, nan, 0.5253562281096775, -31.0, 15.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58508.591323, nan, 16.2860430714, -2.0, 30.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58508.599364, 21.202046884880936, 2.8952965460266666, 12.0, 32.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58508.607365, nan, 1.5743174969020002, -20.0, 29.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58508.615392, nan, 0.463034557912353, -68.0, 29.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58512.604031, nan, 2.44290646071, -8.0, 18.0, ATLAS
o, 23.9, 0.05508811032197481, 211.841303027, -1.09237162209, 58512.612155, 21.64227503252014, 2.44290646071, 8.0, 18.0, ATLAS
