# Combination of '2019bse' data from 'ATLAS', 'ZTF' (sourced from HSF)
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58575.372948, 16.45112906323976, 0.017071323974213837, 954.0, 15.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58575.3858, 16.453407629038814, 0.015966708893529413, 952.0, 14.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58575.394641, 16.442062319905467, 0.015800734788607072, 962.0, 14.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58575.403969, 16.477625797546644, 0.016326860221954887, 931.0, 14.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58579.376265, 16.6642098432889, 0.01661841129734694, 784.0, 12.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58579.382822, 16.678147598292767, 0.01683311945364341, 774.0, 12.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58579.383279, 16.703695511246984, 0.018670067013068784, 756.0, 13.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58579.392532, 16.693688655112798, 0.019921765224954133, 763.0, 14.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58583.348917, 16.919020776254364, 0.026267811405483874, 620.0, 15.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58583.359825, 16.945611563368825, 0.023329868862611573, 605.0, 13.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58603.324863, 18.120615347360612, 0.06355529003473172, 205.0, 12.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58603.333881, 17.98628003777275, 0.05615876921172414, 232.0, 12.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58603.342912, 17.927084789088667, 0.05317891615151021, 245.0, 12.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58603.352165, 18.029237842379597, 0.05355649440520179, 223.0, 11.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58607.318256, 18.2986268792935, 0.08111822219471265, 174.0, 13.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58607.32754, 18.186106727480563, 0.06750691428559585, 193.0, 12.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58607.336576, 18.203115997617928, 0.06857281293221054, 190.0, 12.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58607.345561, 17.95855760735872, 0.059304918747394963, 238.0, 13.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58611.311429, 18.286218330464624, 0.0678585127975, 176.0, 11.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58611.313351, 18.255803562827037, 0.05998542567734807, 181.0, 10.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58611.318332, 18.34972977989986, 0.06540579546746988, 166.0, 10.0, ATLAS
c, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58611.332584, 18.19741658188068, 0.07389827571664923, 191.0, 13.0, ATLAS
o, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58537.434436, 22.707196863200842, 5.790593092053333, 3.0, 16.0, ATLAS
o, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58537.439573, 22.394850021680092, 3.8000767166600005, 4.0, 14.0, ATLAS
o, 23.9, 0.0284264, 141.51045898333, 18.940155716667, 58537.440034, 21.787254899964356, 2.481682753737143, 7.0, 16.0, ATLAS
