# Combination of '2020ndv' data from 'ATLAS', 'ZTF' (sourced from HSF)
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59023.542966, 18.00041129415028, 0.27498995579074237, 229.0, 58.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59023.550334, 17.797727294836953, 1.0660670706157973, 276.0, 271.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59023.554501, 18.511659906337343, 0.33407267838769233, 143.0, 44.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59023.560292, 17.373349592275297, 0.42577890382745104, 408.0, 160.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59027.537386, 17.283990684442323, 0.026959589734446954, 443.0, 11.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59027.540598, 17.24074768652588, 0.023551761491540132, 461.0, 10.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59027.555712, 17.19689690656103, 0.022619504265833333, 480.0, 10.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59027.57186, 17.264558645305097, 0.026481370847804882, 451.0, 11.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59031.544199, 17.01795892202932, 0.023019142150388697, 566.0, 12.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59031.546028, 16.987692538375278, 0.020520787375189004, 582.0, 11.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59031.549251, 16.987692538375278, 0.022386313500206187, 582.0, 12.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59031.558462, 16.985828613102463, 0.022347915020789026, 583.0, 12.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59047.533212, 17.50023343740972, 0.035892105942479345, 363.0, 12.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59047.535042, 17.52749184493553, 0.039871668536384186, 354.0, 13.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59047.566631, 17.590633832971086, 0.0325070719988024, 334.0, 10.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59047.572218, 17.53364334130467, 0.03392925639875, 352.0, 11.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59047.626164, 17.53982988912431, 0.08065468949645715, 350.0, 26.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59051.530664, 17.829663014928027, 0.03646129045835821, 268.0, 9.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59051.532517, 17.74400500525261, 0.03743917947448276, 290.0, 10.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59051.556702, 17.83372184658856, 0.036597849598651686, 267.0, 9.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59051.585414, 17.78210492164445, 0.042653922329857145, 280.0, 11.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59059.562696, 18.237955442476157, 0.04720592194608696, 184.0, 8.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59059.566355, 18.152867308975733, 0.049103647451457295, 199.0, 9.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59059.57244, 18.232070678992464, 0.04695075480043244, 185.0, 8.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59059.573845, 18.311178882731127, 0.05681177815604652, 172.0, 9.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59059.607679, 18.191746928241123, 0.05089388459812501, 192.0, 9.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59059.608135, 18.356290139465234, 0.059221974805090914, 165.0, 9.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59059.625171, 18.37621246364342, 0.10723320540839507, 162.0, 16.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59059.628448, 18.317509724019615, 0.1650826977997661, 171.0, 26.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59079.450479, 19.38455006504028, 0.186610910193125, 64.0, 11.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59079.45231, 19.226920700672558, 0.13204899787621624, 74.0, 9.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59079.455552, 19.089301784845293, 0.1292543100904762, 84.0, 10.0, ATLAS
c, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59079.48139, 19.051201868453454, 0.11231753842344828, 87.0, 9.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59001.59194, 20.959771852360795, 0.7238241365066667, 15.0, 10.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59001.602111, nan, 0.4222307462955556, -18.0, 7.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59001.605728, nan, 13.028834457120002, -1.0, 12.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59001.611325, 21.95462187404089, 2.3524284436466667, 6.0, 13.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59007.564281, 21.296518287104437, 1.5792526614690912, 11.0, 16.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59007.568006, nan, 1.0254175267177779, -18.0, 17.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59007.577862, 20.889700043360186, 1.08573620476, 16.0, 16.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59007.592708, nan, 0.678585127975, -24.0, 15.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59013.592645, nan, 0.5629743283940741, -27.0, 14.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59013.602496, inf, inf, 0.0, 11.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59013.614029, nan, 0.7487835894896553, -29.0, 20.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59013.616255, 19.79136830878453, 0.54286810238, 44.0, 22.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59017.569453, 20.28210492164445, 0.34898663724428575, 28.0, 9.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59017.57268, 19.79136830878453, 0.1974065826836364, 44.0, 8.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59017.592758, 20.449471895720983, 0.40715107678500007, 24.0, 9.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59017.602717, 20.10371515030528, 0.2632087769115152, 33.0, 8.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59021.531036, 18.534679910804403, 0.07755258605428572, 140.0, 10.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59021.544113, 18.69303657420887, 0.0987032913418182, 121.0, 11.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59021.552587, 18.410250868976917, 0.06915517227770701, 157.0, 10.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59021.559294, 18.496579994412564, 0.06739052305406897, 145.0, 9.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59025.553995, 17.56176469989307, 0.031654116756851314, 343.0, 10.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59025.55722, 17.593889416234198, 0.03912562900036037, 333.0, 12.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59025.563203, 17.57770824930586, 0.03854684750627219, 338.0, 12.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59025.579254, 17.568114052518755, 0.03820772568070382, 341.0, 12.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59029.56945, 17.27909997254767, 0.024398566399101124, 445.0, 10.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59029.587879, 17.254971508357215, 0.023862334170549455, 455.0, 10.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59029.590183, 17.205982618198767, 0.025090542546974792, 476.0, 11.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59029.608442, 17.247836304990326, 0.028447236805938865, 458.0, 12.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59033.556285, 17.170087243081596, 0.0331017135597561, 492.0, 15.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59033.574775, 17.174509799928714, 0.03323682259469388, 490.0, 15.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59033.576619, 17.156926643100704, 0.028342511369236947, 498.0, 13.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59033.579378, 17.21284714815547, 0.029840529940549684, 473.0, 13.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59035.481597, 17.163487002666077, 0.061415381279353545, 495.0, 28.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59035.506283, 17.181177596963412, 0.05573594480287475, 487.0, 25.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59035.530428, 17.178950444993223, 0.055621731801229514, 488.0, 25.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59035.543966, 17.231367617775113, 0.056037997665032264, 465.0, 24.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59035.622128, 17.039267542193308, 0.056732162050522526, 555.0, 29.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59036.477359, 17.133205544158102, 0.04692769450829077, 509.0, 22.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59036.481982, 17.190132173121217, 0.05170172403619048, 483.0, 23.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59036.492981, 17.311290632962717, 0.04775228678342593, 432.0, 19.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59036.501749, 17.19463730906542, 0.04288770871193348, 481.0, 19.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59037.530181, 17.254971508357215, 0.03817973467287913, 455.0, 16.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59037.53204, 17.192382404402874, 0.036041035842655604, 482.0, 16.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59037.534818, 17.276662853219644, 0.041384563858565024, 446.0, 17.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59037.550163, 17.21514500341478, 0.04370548281872881, 472.0, 19.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59039.533845, 17.22670779858472, 0.041848504680256964, 467.0, 18.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59039.535675, 17.178950444993223, 0.03782277762483607, 488.0, 17.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59039.557443, 17.252587893338912, 0.047620008980701754, 456.0, 20.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59039.572849, 17.296314723739748, 0.049576995651141556, 438.0, 20.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59041.526001, 17.456270500406934, 0.03734013402613757, 378.0, 13.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59041.529402, 17.373349592275297, 0.05322236297843138, 408.0, 20.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59041.558012, 17.397567760783126, 0.0380960071845614, 399.0, 14.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59041.562911, 17.41955810651033, 0.036098646194066504, 391.0, 13.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59043.574452, 17.524429117362263, 0.042817765821521137, 355.0, 14.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59043.577653, 17.57130270739436, 0.04151344312317648, 340.0, 13.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59043.583181, 17.49724654087736, 0.04175908479846154, 364.0, 14.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59043.608032, 17.462030387680848, 0.04331394433882979, 376.0, 15.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59045.513627, 17.36804035820066, 0.222443515121561, 410.0, 84.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59045.516516, nan, 2.996082185287089, -79.0, 218.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59053.499517, 18.06386562212267, 0.050265565035185186, 216.0, 10.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59053.505036, 18.0341175638734, 0.0537977398754955, 222.0, 11.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59053.508015, 17.949471895720983, 0.054286810238000006, 240.0, 12.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59053.513309, 18.02437995416459, 0.0678585127975, 224.0, 14.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59061.495815, 17.892198697060454, 0.042914474496442694, 253.0, 10.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59061.497657, 18.029237842379597, 0.048687722186547086, 223.0, 10.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59061.523014, 18.07396556662702, 0.055808870338130846, 214.0, 11.0, ATLAS
o, 23.9, 0.037415884558376716, 347.408741833, 12.8300018913, 59061.540896, 17.96312913497474, 0.0458116542092827, 237.0, 10.0, ATLAS
