# Combination of '2021mim' data from 'ATLAS', 'ZTF' (sourced from HSF)
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
c, 23.9, 0.0382314487711362, 235.089020072, 7.28152761418, 59346.399028, 20.703115997617928, 0.6285841185452632, 19.0, 11.0, ATLAS
c, 23.9, 0.0382314487711362, 235.089020072, 7.28152761418, 59346.40224, inf, inf, 0.0, 9.0, ATLAS
c, 23.9, 0.0382314487711362, 235.089020072, 7.28152761418, 59346.404983, 20.543943297944484, 0.49351645670909094, 22.0, 10.0, ATLAS
c, 23.9, 0.0382314487711362, 235.089020072, 7.28152761418, 59346.440506, nan, 1.4476482730133333, -6.0, 8.0, ATLAS
c, 23.9, 0.0382314487711362, 235.089020072, 7.28152761418, 59347.489921, 20.495680409956016, 0.5192651414069566, 23.0, 11.0, ATLAS
c, 23.9, 0.0382314487711362, 235.089020072, 7.28152761418, 59347.501364, 23.147425010840045, 4.88581292142, 2.0, 9.0, ATLAS
c, 23.9, 0.0382314487711362, 235.089020072, 7.28152761418, 59347.507501, 20.761818737241732, 0.54286810238, 18.0, 9.0, ATLAS
c, 23.9, 0.0382314487711362, 235.089020072, 7.28152761418, 59347.511097, 20.03982988912431, 0.27918930979542855, 35.0, 9.0, ATLAS
c, 23.9, 0.0382314487711362, 235.089020072, 7.28152761418, 59350.401191, 19.419020776254364, 0.1926306169735484, 62.0, 11.0, ATLAS
c, 23.9, 0.0382314487711362, 235.089020072, 7.28152761418, 59350.410162, 20.03982988912431, 0.34123137863885716, 35.0, 11.0, ATLAS
c, 23.9, 0.0382314487711362, 235.089020072, 7.28152761418, 59350.436851, 19.69689690656103, 0.20357553839250003, 48.0, 9.0, ATLAS
c, 23.9, 0.0382314487711362, 235.089020072, 7.28152761418, 59350.451332, 19.419020776254364, 0.1926306169735484, 62.0, 11.0, ATLAS
c, 23.9, 0.0382314487711362, 235.089020072, 7.28152761418, 59351.397054, 19.226920700672558, 0.1613932196264865, 74.0, 11.0, ATLAS
c, 23.9, 0.0382314487711362, 235.089020072, 7.28152761418, 59351.399797, 19.115465369040706, 0.14564753966292684, 82.0, 11.0, ATLAS
c, 23.9, 0.0382314487711362, 235.089020072, 7.28152761418, 59351.402555, 19.334812993247933, 0.19446021577791045, 67.0, 12.0, ATLAS
c, 23.9, 0.0382314487711362, 235.089020072, 7.28152761418, 59351.414465, 19.27185412820231, 0.16821265144169015, 71.0, 11.0, ATLAS
c, 23.9, 0.0382314487711362, 235.089020072, 7.28152761418, 59372.408606, 18.255803562827037, 0.05398688310961326, 181.0, 9.0, ATLAS
