# Combination of '2022yuj' data from 'ATLAS', 'ZTF' (sourced from HSF)
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59881.573835, 18.776954943324544, 0.09694073256785715, 112.0, 10.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59881.576618, 18.738855026932704, 0.10295774355482759, 116.0, 11.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59881.585211, 18.675237221401503, 0.09709835977528457, 123.0, 11.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59882.601299, 18.738855026932704, 0.08423815381758622, 116.0, 9.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59882.603108, 18.9, 0.10857362047600001, 100.0, 10.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59882.606274, 18.382935309920374, 0.07418073448670809, 161.0, 11.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59882.648251, 19.051201868453454, 0.19967562386390805, 87.0, 16.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59883.607444, 18.44539103013807, 0.0785730148181579, 152.0, 11.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59883.609252, 18.786692553033355, 0.107595479750991, 111.0, 11.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59883.614731, 18.311178882731127, 0.08206145733651163, 172.0, 13.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59883.635801, 18.574165578762482, 0.08846739446192595, 135.0, 11.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59885.567036, 18.64907363720609, 0.08616954006031746, 126.0, 10.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59885.570199, 18.511659906337343, 0.09111073046937064, 143.0, 12.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59885.585299, 18.542462999364762, 0.08592157016086331, 139.0, 11.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59903.593573, 19.86804035820066, 0.21185096678243906, 41.0, 8.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59903.599603, 19.026524983387716, 0.10979354879595506, 89.0, 9.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59903.607536, 19.14227503252014, 0.10857362047600001, 80.0, 8.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59903.63034, 19.609991640913, 0.18791588159307693, 52.0, 9.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59903.653771, 20.32159058960253, 0.7640365885348149, 27.0, 19.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59905.564817, 19.79136830878453, 0.1974065826836364, 44.0, 8.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59905.566665, 20.362566630072955, 0.37583176318615386, 26.0, 9.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59905.569438, 19.950541008457975, 0.2571480484957895, 38.0, 9.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59905.583541, 19.841876774005247, 0.18095603412666666, 42.0, 7.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59907.563499, 19.79136830878453, 0.1974065826836364, 44.0, 8.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59907.5663, 21.034679910804403, 0.6204206884342858, 14.0, 8.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59907.569072, 20.761818737241732, 0.4825494243377778, 18.0, 8.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59907.603626, 20.543943297944484, 0.3948131653672728, 22.0, 8.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59907.653259, 20.959771852360795, 1.08573620476, 15.0, 15.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59908.516718, 19.92233848243375, 0.2227151189251282, 39.0, 8.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59908.519027, 20.32159058960253, 0.32169961622518517, 27.0, 8.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59908.521798, 20.362566630072955, 0.33407267838769233, 26.0, 8.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59908.526879, 20.5944517631652, 0.46531551632571433, 21.0, 9.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59909.479683, 19.719755355160704, 0.207906932826383, 47.0, 9.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59909.481531, 19.743105420796063, 0.21242664875739134, 46.0, 9.0, ATLAS
c, 23.9, 0.076128, 117.546603333, 37.4478583333, 59909.495409, 20.543943297944484, 0.4441648110381819, 22.0, 9.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59859.599223, 19.318727718234406, 0.8302688624635294, 68.0, 52.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59859.602387, nan, 1.6286043071400003, -46.0, 69.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59859.628204, 21.95462187404089, 3.2572086142800005, 6.0, 18.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59859.639763, 20.449471895720983, 1.7190823242033335, 24.0, 38.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59860.573898, nan, 0.6829630965425807, -124.0, 78.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59860.577128, 21.115141619232908, 5.345162854203077, 13.0, 64.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59860.580599, 20.5944517631652, 3.102103442171429, 21.0, 60.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59860.60362, 20.28210492164445, 4.265392232985715, 28.0, 110.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59861.591574, 20.959771852360795, 3.4743558552320004, 15.0, 48.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59861.595641, 20.889700043360186, 5.15724697261, 16.0, 76.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59861.600748, 20.543943297944484, 1.5792526614690912, 22.0, 32.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59861.618423, 20.24400500525261, 0.9734186663365518, 29.0, 26.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59861.621646, nan, 37.45789906422, -2.0, 69.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59861.631417, 19.69689690656103, 1.0178776919625, 48.0, 45.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59861.635601, inf, inf, 0.0, 33.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59862.509001, 20.449471895720983, 1.673843315671667, 24.0, 37.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59862.511767, 21.787254899964356, 28.384246495868574, 7.0, 183.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59862.518827, 18.702046884880936, 1.3390746525373336, 120.0, 148.0, ATLAS
o, 23.9, 0.076128, 117.546603333, 37.4478583333, 59862.528852, 20.28210492164445, 4.498049991148572, 28.0, 116.0, ATLAS
