ra,dec,z,z_err,discdate,mjd,mag,dmag,flux,dflux,zp,filter
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58702.394607,20.889700043360186,0.678585127975,16.0,10.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58702.403667,21.202046884880936,0.9047801706333335,12.0,10.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58702.417453,21.115141619232908,0.6681453567753847,13.0,8.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58726.369368,18.467034328969312,0.08744184199409397,149.0,12.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58726.372573,18.42417075457427,0.07004749708129032,155.0,10.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58726.378811,18.459771852360795,0.0651441722856,150.0,9.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58726.388804,18.42417075457427,0.07004749708129032,155.0,10.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58730.354784,18.311178882731127,0.05681177815604652,172.0,9.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58730.359893,18.37621246364342,0.06702075338024692,162.0,10.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58730.363102,18.481706663129557,0.08124556634258503,147.0,11.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58730.3745,18.496579994412564,0.06739052305406897,145.0,9.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58750.387448,19.51031286081877,0.1714320323305263,57.0,9.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58750.390796,19.841876774005247,0.2585086201809524,42.0,10.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58750.396675,19.69689690656103,0.24881454692416669,48.0,11.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58750.409325,19.894850021680092,0.27143405119,40.0,10.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58778.247883,20.543943297944484,0.54286810238,22.0,11.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58778.25109,20.495680409956016,0.5192651414069566,23.0,11.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58778.256682,20.449471895720983,0.49762909384833337,24.0,11.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58778.270083,21.034679910804403,0.7755258605428572,14.0,10.0,23.9,c
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58700.424979,20.24400500525261,0.4867093331682759,29.0,13.0,23.9,o
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58718.427128,19.30287727315686,0.1730883804689855,69.0,11.0,23.9,o
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58718.429976,19.30287727315686,0.18882368778434783,69.0,12.0,23.9,o
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58718.435453,19.1697634932738,0.15311664426102564,78.0,11.0,23.9,o
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58718.446544,19.014393726401686,0.12063735608444445,90.0,10.0,23.9,o
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58720.535219,18.97879262861516,0.12842041131569895,93.0,11.0,23.9,o
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58720.53821,18.97879262861516,0.1634441598563441,93.0,14.0,23.9,o
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58720.543497,19.089301784845293,0.20680689614476191,84.0,16.0,23.9,o
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58720.553449,18.889196565543394,0.15049808778851487,101.0,14.0,23.9,o
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58724.42533,18.675237221401503,0.09709835977528457,123.0,11.0,23.9,o
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58724.428168,18.675237221401503,0.07944411254341463,123.0,9.0,23.9,o
316.564780499,-7.41986978638,0.06934130410979185,6.671281903963041e-06,2019-08-23 10:19:12.000,58724.43343,18.786692553033355,0.08803266525081083,111.0,9.0,23.9,o
