ra,dec,z,z_err,discdate,mjd,mag,dmag,flux,dflux,zp,filter
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58871.627943,21.4,0.8685889638080001,10.0,8.0,23.9,c
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58871.662246,20.959771852360795,0.651441722856,15.0,9.0,23.9,c
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58875.547956,20.889700043360186,0.54286810238,16.0,8.0,23.9,c
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58875.550787,21.4,0.8685889638080001,10.0,8.0,23.9,c
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58875.570487,nan,0.760015343332,-10.0,7.0,23.9,c
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58879.410187,19.841876774005247,0.646271550452381,42.0,25.0,23.9,c
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58879.430897,nan,0.46950754800432437,-74.0,32.0,23.9,c
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58903.46473,17.620291597552814,0.04008872140652309,325.0,12.0,23.9,c
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58903.500032,17.518329459719517,0.036495334613781516,357.0,12.0,23.9,c
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58903.500947,17.83779590842233,0.06122572583233083,266.0,15.0,23.9,c
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58903.514498,17.685696433796046,0.046126047914640526,306.0,13.0,23.9,c
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58931.451278,18.767303891291448,0.09608284997876107,113.0,10.0,23.9,c
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58931.454381,19.038793319624578,0.12337911417727274,88.0,10.0,23.9,c
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58931.460733,18.847026752325153,0.09306310326514286,105.0,9.0,23.9,c
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58931.478442,19.051201868453454,0.12479726491494254,87.0,10.0,23.9,c
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58873.524423,nan,0.4885812921420001,-20.0,9.0,23.9,o
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58873.533415,20.5944517631652,0.41361379228952383,21.0,8.0,23.9,o
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58873.543689,nan,0.6031867804222223,-18.0,10.0,23.9,o
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58877.466093,20.495680409956016,0.4720592194608696,23.0,10.0,23.9,o
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58877.477903,nan,0.43429448190400005,-30.0,12.0,23.9,o
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58881.482397,nan,0.8883296220763638,-11.0,9.0,23.9,o
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58881.485691,nan,0.5170172403619048,-21.0,10.0,23.9,o
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58881.496057,21.115141619232908,0.8351816959692309,13.0,10.0,23.9,o
160.961382879,18.658406394,0.030226911178666143,1.1674743331935322e-05,2020-02-12 07:04:08.000,58885.451962,19.609991640913,0.8769407807676924,52.0,42.0,23.9,o
