ra,dec,z,z_err,discdate,mjd,mag,dmag,flux,dflux,zp,filter
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59103.37291,20.32159058960253,0.4021245202814815,27.0,10.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59103.377111,20.32159058960253,0.36191206825333333,27.0,9.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59103.400891,20.703115997617928,0.514296096991579,19.0,9.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59106.379546,19.950541008457975,0.3142920592726316,38.0,11.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59106.382763,20.07130270739436,0.2554673422964706,34.0,8.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59106.389198,20.07130270739436,0.28740076008352944,34.0,9.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59106.400863,19.950541008457975,0.22857604310736843,38.0,8.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59110.342373,19.014393726401686,0.09650988486755557,90.0,8.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59110.345593,19.038793319624578,0.11104120275954547,88.0,9.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59110.381112,19.014393726401686,0.12063735608444445,90.0,10.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59110.387127,18.910912013506124,0.12063735608444445,99.0,11.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59115.397806,18.33672679568534,0.07108987054976192,168.0,11.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59115.40381,18.459771852360795,0.07238241365066667,150.0,10.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59115.407953,18.232070678992464,0.058688443500540546,185.0,10.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59115.444088,18.382935309920374,0.08092443762186337,161.0,12.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59131.30853,18.566152729074453,0.07983354446764707,136.0,10.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59131.314618,18.58223800408798,0.08102508990746268,134.0,10.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59131.318349,18.566152729074453,0.08781689891441177,136.0,11.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59131.328527,18.558198582108982,0.07925081786569343,137.0,10.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59135.365523,19.21234684152075,0.27505317187253336,75.0,19.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59135.371023,18.767303891291448,0.09608284997876107,113.0,10.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59135.406888,18.99053043163611,0.12981628535173914,92.0,11.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59138.333011,19.06375387189108,0.11362355631209305,86.0,9.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59138.336227,18.847026752325153,0.13442448249409525,105.0,13.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59138.346329,19.226920700672558,0.13204899787621624,74.0,9.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59138.353679,19.002396519197266,0.131242837938022,91.0,11.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59142.276397,19.287254899964356,0.12408413768685715,70.0,8.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59142.279608,19.419020776254364,0.15760686843290325,62.0,9.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59142.285176,19.27185412820231,0.1376285329977465,71.0,9.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59142.29805,19.197966019298022,0.14286002694210526,76.0,10.0,23.9,c
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59087.401664,20.959771852360795,0.8685889638080001,15.0,12.0,23.9,o
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59088.436513,20.28210492164445,0.46531551632571433,28.0,12.0,23.9,o
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59089.416668,nan,0.8530784465971429,-14.0,11.0,23.9,o
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59090.413338,20.137125054200233,0.71251438437375,32.0,21.0,23.9,o
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59090.416544,nan,0.4732696277158975,-39.0,17.0,23.9,o
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59090.423907,nan,0.8272275845790477,-21.0,16.0,23.9,o
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59095.390533,nan,0.8846739446192593,-27.0,22.0,23.9,o
316.257473949,8.27390283353,0.06803,5.9999999999999995e-05,2020-09-14 06:38:37.000,59096.442419,19.950541008457975,0.514296096991579,38.0,18.0,23.9,o
