ra,dec,z,z_err,discdate,mjd,mag,dmag,flux,dflux,zp,filter
115.752875,31.386389,0.03512763486531739,1.3342563807926082e-05,2021-10-11 14:51:21.600,59523.578274,17.696393428744237,0.03583287804488449,303.0,10.0,23.9,c
115.752875,31.386389,0.03512763486531739,1.3342563807926082e-05,2021-10-11 14:51:21.600,59523.580104,17.854246771700637,0.04972837579053436,262.0,12.0,23.9,c
115.752875,31.386389,0.03512763486531739,1.3342563807926082e-05,2021-10-11 14:51:21.600,59523.583305,17.825619299993978,0.052470522906617106,269.0,13.0,23.9,c
115.752875,31.386389,0.03512763486531739,1.3342563807926082e-05,2021-10-11 14:51:21.600,59523.607787,17.689250401633032,0.03915769918806558,305.0,11.0,23.9,c
115.752875,31.386389,0.03512763486531739,1.3342563807926082e-05,2021-10-11 14:51:21.600,59527.496103,18.06386562212267,0.060318678042222226,216.0,12.0,23.9,c
115.752875,31.386389,0.03512763486531739,1.3342563807926082e-05,2021-10-11 14:51:21.600,59527.499803,17.98628003777275,0.06083866664603449,232.0,13.0,23.9,c
115.752875,31.386389,0.03512763486531739,1.3342563807926082e-05,2021-10-11 14:51:21.600,59527.50984,18.014728902131495,0.06245385248619469,226.0,13.0,23.9,c
115.752875,31.386389,0.03512763486531739,1.3342563807926082e-05,2021-10-11 14:51:21.600,59527.516035,18.07396556662702,0.06088240400523365,214.0,12.0,23.9,c
115.752875,31.386389,0.03512763486531739,1.3342563807926082e-05,2021-10-11 14:51:21.600,59479.588049,nan,0.7516635263723077,-26.0,18.0,23.9,o
115.752875,31.386389,0.03512763486531739,1.3342563807926082e-05,2021-10-11 14:51:21.600,59479.591269,20.28210492164445,0.9306310326514287,28.0,24.0,23.9,o
115.752875,31.386389,0.03512763486531739,1.3342563807926082e-05,2021-10-11 14:51:21.600,59484.636715,19.97949568983251,0.645572878505946,37.0,22.0,23.9,o
115.752875,31.386389,0.03512763486531739,1.3342563807926082e-05,2021-10-11 14:51:21.600,59484.643139,nan,0.4037861918528926,-121.0,45.0,23.9,o
115.752875,31.386389,0.03512763486531739,1.3342563807926082e-05,2021-10-11 14:51:21.600,59485.575792,19.743105420796063,0.5664710633530435,46.0,24.0,23.9,o
115.752875,31.386389,0.03512763486531739,1.3342563807926082e-05,2021-10-11 14:51:21.600,59485.579935,19.54909327626439,0.49351645670909094,55.0,25.0,23.9,o
115.752875,31.386389,0.03512763486531739,1.3342563807926082e-05,2021-10-11 14:51:21.600,59491.618066,20.647425010840045,0.651441722856,20.0,12.0,23.9,o
115.752875,31.386389,0.03512763486531739,1.3342563807926082e-05,2021-10-11 14:51:21.600,59491.630787,19.743105420796063,0.3068384926495652,46.0,13.0,23.9,o
115.752875,31.386389,0.03512763486531739,1.3342563807926082e-05,2021-10-11 14:51:21.600,59491.638375,20.03982988912431,0.4963365507474286,35.0,16.0,23.9,o
115.752875,31.386389,0.03512763486531739,1.3342563807926082e-05,2021-10-11 14:51:21.600,59493.57933,18.878499570595203,0.13837814374392157,102.0,13.0,23.9,o
