ra,dec,z,z_err,discdate,mjd,mag,dmag,flux,dflux,zp,filter
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59226.487046,20.647425010840045,0.4885812921420001,20.0,9.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59227.618319,nan,0.571440107768421,-19.0,10.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59227.625804,20.889700043360186,0.678585127975,16.0,10.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59231.492321,21.115141619232908,0.7516635263723077,13.0,9.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59233.46316,nan,0.7428721400989474,-19.0,13.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59233.507415,17.000830388275922,0.651441722856,575.0,345.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59250.453511,17.19689690656103,0.024881454692416666,480.0,11.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59250.459344,17.18788659588897,0.02467582283545455,484.0,11.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59250.462164,17.22438536731469,0.025519440710170944,468.0,11.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59250.469968,17.172296269692577,0.024324029027209777,491.0,11.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59251.495877,17.053048603789076,0.02377524535970803,548.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59251.512694,17.109991640913,0.025055450879076926,520.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59251.517054,17.109991640913,0.02296749663915385,520.0,11.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59251.52474,17.077088025768074,0.024307526972238806,536.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59252.448972,17.031470480283943,0.02524967918046512,559.0,13.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59252.452184,16.98025595995477,0.022233505899522187,586.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59252.458152,17.002720269005064,0.02080679138041812,574.0,11.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59252.469665,17.01412916072245,0.022938088832957747,568.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59253.392417,16.924287089916895,0.02111642537620746,617.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59253.417832,16.926048219588935,0.01938814651357143,616.0,11.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59253.421071,16.95462187404089,0.019905163753933336,600.0,11.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59253.444183,16.97103129779686,0.02204540517279188,591.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59254.442594,16.92252881227796,0.021082256403106795,618.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59254.449527,16.901648626366043,0.020680689614476194,630.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59254.452762,16.908564166973925,0.02081283459603834,626.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59254.462986,16.91029995663981,0.020846135131392,625.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59255.375115,16.893065686770058,0.02393749112856693,635.0,14.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59255.399845,16.891357210878965,0.020485588769056606,636.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59255.401685,16.927812210561456,0.021185096678243906,615.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59255.419832,16.933121444636093,0.02128894519137255,612.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59256.338693,16.924287089916895,0.02287612749089141,617.0,13.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59256.350212,16.929579072147078,0.026524500116286646,614.0,15.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59256.355738,16.913779883352074,0.02265581165630819,623.0,13.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59256.357593,16.908564166973925,0.022547237479041533,626.0,13.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59257.466224,16.931348813703963,0.019483031406786297,613.0,11.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59257.474978,16.924287089916895,0.02111642537620746,617.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59257.481082,16.927812210561456,0.021185096678243906,615.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59257.491431,16.881162429827867,0.020294134668411214,642.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59258.447387,16.93667541247308,0.021358745011672134,610.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59258.450622,16.919020776254364,0.0210142491243871,620.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59258.456168,16.886247854603997,0.020389412295962445,639.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59258.468627,16.933121444636093,0.02128894519137255,612.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59262.381976,17.231367617775113,0.028018998832516132,465.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59262.384738,17.172296269692577,0.02874657975942974,491.0,13.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59262.388435,17.11837574593197,0.02524967918046512,516.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59262.393998,17.156926643100704,0.026162318186987957,498.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59263.432842,17.580925247821654,0.4800436038849852,337.0,149.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59263.436042,16.847855026400747,0.9594496673483385,662.0,585.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59263.444562,17.21744773217776,0.3204189648867091,471.0,139.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59278.397333,18.438271422956,0.07805946570169935,153.0,11.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59278.401505,18.615141619232908,0.1002218035163077,130.0,12.0,23.9,c
142.973665807,35.5517484652,0.026890936662589425,1.1007615141539018e-05,2021-01-31 12:00:00.000,59278.417517,18.37621246364342,0.22787056149283952,162.0,34.0,23.9,c
