ra,dec,z,z_err,discdate,mjd,mag,dmag,flux,dflux,zp,filter
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59233.490268,nan,0.6629716648534514,-226.0,138.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59233.49395,nan,0.7690631450383334,-144.0,102.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59235.537282,nan,0.9952581876966667,-24.0,22.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59235.542883,nan,0.7383006192368001,-25.0,17.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59237.618285,17.875167191671764,0.8069090082068483,257.0,191.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59237.621963,15.215917682815396,0.5067498616974597,2976.0,1389.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59253.502057,19.65257498915995,0.15200306866640004,50.0,7.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59253.503908,20.207196863200842,0.28952965460266666,30.0,8.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59253.528453,20.207196863200842,0.2533384477773334,30.0,7.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59253.53375,20.449471895720983,0.36191206825333333,24.0,8.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59255.484156,19.334812993247933,0.14584516183343285,67.0,9.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59255.485987,19.743105420796063,0.18882368778434783,46.0,8.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59255.48873,19.47286997089464,0.16562077699728817,59.0,9.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59255.497662,19.30287727315686,0.1573530731536232,69.0,10.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59257.534538,18.92193481076876,0.08863152691918368,98.0,8.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59257.539735,18.826540555786973,0.08117653867364485,107.0,8.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59257.544021,18.889196565543394,0.08599890730772278,101.0,8.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59257.573691,18.767303891291448,0.08647456498088496,113.0,9.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59261.46661,17.98628003777275,0.03743917947448276,232.0,8.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59261.468455,18.0944517631652,0.03619120682533333,210.0,7.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59261.471216,17.954005247629656,0.03634263446895398,239.0,8.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59261.487347,18.00041129415028,0.0426708552089083,229.0,9.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59263.531681,17.88364954891511,0.5024191065163922,255.0,118.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59263.534509,17.247836304990326,0.4812324226337992,458.0,203.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59287.382746,18.558198582108982,0.5230553979135767,137.0,66.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59291.39086,18.489117860538904,0.05949239478136987,146.0,8.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59291.393741,18.550302283996906,0.07080888291913044,138.0,9.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59291.396485,18.684100423313126,0.07119581670557378,122.0,8.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59291.431811,18.496579994412564,0.08236619484386208,145.0,11.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59309.445343,19.97949568983251,0.2640979957524325,37.0,9.0,23.9,c
178.648712033,25.3834358597,0.0530867257507859,1.0006922855944561e-05,2021-02-07 11:45:38.998,59309.44826,19.43667541247308,0.17798954176393442,61.0,10.0,23.9,c
