ra,dec,z,z_err,discdate,mjd,mag,dmag,flux,dflux,zp,filter
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53472.67,15.936,0.006,0.46773514128719845,0.002584799913113681,15.111,g
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53473.65,15.96,0.008,0.4575093773298475,0.0033710536708630237,15.111,g
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53474.65,16.022,0.007,0.4321156544702999,0.0027859525804115005,15.111,g
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53475.68,16.075,0.009,0.4115285784355107,0.0034112864521678964,15.111,g
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53476.67,16.084,0.012,0.4081313915969725,0.004510834839715701,15.111,g
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53477.69,16.082,0.011,0.4088838902676976,0.004142555782181581,15.111,g
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53478.71,16.243,0.01,0.35253318119588684,0.0032469505912296717,15.111,g
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53479.7,16.329,0.013,0.3256866822016699,0.0038995907570061224,15.111,g
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53480.7,16.32,0.009,0.32839761925048006,0.002722188465579203,15.111,g
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53481.66,16.402,0.008,0.30450890669742214,0.002243704541585277,15.111,g
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53483.68,16.569,0.009,0.2610958686585936,0.002164303638056192,15.111,g
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53489.64,17.114,0.008,0.15805200152842572,0.0011645701844391206,15.111,g
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53490.65,17.208,0.01,0.1449439191287789,0.0013349828300242435,15.111,g
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53491.62,17.243,0.013,0.1403459872921179,0.0016804246066418848,15.111,g
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53512.61,18.764,0.026,0.03457801035323063,0.0008280356363213234,15.111,g
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53472.67,16.005,0.011,0.36240985589974467,0.0036717099396950384,14.903,r
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53473.65,15.941,0.008,0.38441471175957775,0.0028324722714406616,14.903,r
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53474.65,15.989,0.008,0.3677900704223862,0.002709977387218614,14.903,r
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53475.68,16.04,0.008,0.35091343835855293,0.002585625766706205,14.903,r
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53476.67,16.049,0.011,0.3480166322150043,0.0035258868015899457,14.903,r
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53477.69,16.205,0.014,0.30143938842794743,0.003886903116518429,14.903,r
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53478.71,16.156,0.011,0.31535520245507215,0.0031949816279531413,14.903,r
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53479.7,16.244,0.011,0.2908037482735316,0.002946241653350279,14.903,r
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53480.7,16.331,0.011,0.2684108083545232,0.0027193703949086705,14.903,r
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53481.66,16.454,0.011,0.2396624529408638,0.002428110042564888,14.903,r
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53483.68,16.586,0.011,0.21222668969007855,0.0021501480528697313,14.903,r
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53489.64,16.764,0.008,0.18013578646691425,0.001327289525227121,14.903,r
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53490.65,16.756,0.011,0.1814679779396929,0.0018385200277827207,14.903,r
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53491.62,16.732,0.012,0.18552395755492868,0.0020504865554843467,14.903,r
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53512.61,17.668,0.011,0.07834296427662128,0.0007937219034109782,14.903,r
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53472.67,16.685,0.013,0.13931568029453045,0.001668088285065853,14.545,i
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53473.65,16.688,0.011,0.1389312681736757,0.0014075646950088409,14.545,i
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53474.65,16.749,0.013,0.13134090365327353,0.001572602755632453,14.545,i
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53475.68,16.797,0.012,0.12566085200763308,0.0013888550621073928,14.545,i
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53476.67,16.798,0.017,0.12554516736871404,0.001965733329988376,14.545,i
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53477.69,16.938,0.016,0.11035702899640157,0.001626281279195046,14.545,i
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53478.71,17.023,0.014,0.10204694319421995,0.0013158419130338782,14.545,i
184.321583,16.371556,0.023100,None,2005-03-28 00:00:00.000,53479.7,17.074,0.013,0.09736435697988848,0.0011657865282483782,14.545,i
