ra,dec,z,z_err,discdate,mjd,mag,dmag,flux,dflux,zp,filter
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54493.63,15.4,0.005,0.7663020722739196,0.0035289514566967466,15.111,g
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54494.59,15.372,0.008,0.7863212274584187,0.005793828917281713,15.111,g
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54497.59,15.41,0.005,0.759276572646526,0.0034965978352710036,15.111,g
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54499.58,15.543,0.004,0.6717381285473816,0.0024747747219022705,15.111,g
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54508.58,16.665,0.006,0.239001155148473,0.0013207691929277546,15.111,g
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54512.55,17.164,0.008,0.1509384896654951,0.001112155892040976,15.111,g
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54515.57,17.455,0.011,0.11545161169214328,0.0011696835041956515,15.111,g
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54519.56,17.787,0.015,0.08503544719998031,0.0011748081185925417,15.111,g
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54521.55,17.887,0.009,0.0775532495758591,0.000642862642991832,15.111,g
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54523.52,17.97,0.013,0.0718455708792598,0.0008602388106219999,15.111,g
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54527.51,18.137,0.021,0.06160273583272378,0.0011915025462150715,15.111,g
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54493.63,15.361,0.006,0.6558431698067275,0.0036243232947334413,14.903,r
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54494.59,15.333,0.009,0.6729766562843179,0.005578509660095693,14.903,r
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54497.59,15.287,0.007,0.7021016602403143,0.004526616686580011,14.903,r
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54499.58,15.36,0.004,0.6564475019517001,0.0024184419717234633,14.903,r
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54508.58,15.873,0.006,0.4092606597300113,0.0022616579861837586,14.903,r
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54512.55,16.068,0.005,0.3419794425137086,0.0015748735328849595,14.903,r
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54515.57,16.35,0.008,0.26375457408893416,0.001943415521619755,14.903,r
45.97375,-11.994278,0.013500,None,2008-01-27 00:00:00.000,54519.56,16.739,0.008,0.1843316879505754,0.0013582060698925603,14.903,r
