MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59842.596414,-22.802,3.524,-3,10,o,0,1.42,74.75937,-0.44191,3852.3,6955.38,2.72,2.44,24.8,-0.377,19.48,20.67,01a59842o0822o
59842.599187,21.513,1.286,9,12,o,0,0.85,74.75937,-0.44191,3833.7,6915.95,2.56,2.3,38.9,-0.386,19.52,20.66,01a59842o0828o
59842.615884,22.372,2.606,4,11,o,0,1.08,74.75937,-0.44191,3892.09,6989.88,2.6,2.38,32.4,-0.388,19.5,20.69,01a59842o0863o
59842.627012,21.988,2.061,6,12,o,0,0.76,74.75937,-0.44191,3914.37,6872.62,2.56,2.32,39.8,-0.387,19.45,20.53,01a59842o0887o
59844.588189,-21.086,0.867,-13,12,o,0,1.21,74.75937,-0.44191,3098.47,1834.87,2.82,2.11,34.4,-0.42,19.24,20.64,02a59844o0830o
59844.590447,22.118,2.163,5,11,o,0,1.2,74.75937,-0.44191,3121.59,1872.96,2.16,1.88,31.6,-0.448,19.5,20.66,02a59844o0835o
59844.610935,-21.892,1.797,-6,11,o,0,1.44,74.75937,-0.44191,3063.84,1794.9,2.2,1.88,32.0,-0.455,19.43,20.63,02a59844o0880o
59844.620005,-20.461,0.492,-24,12,o,0,1.52,74.75937,-0.44191,3047.25,1911.42,2.3,2.06,37.3,-0.44,19.37,20.69,02a59844o0900o
59846.629414,-22.361,16.5,-4,68,c,0,0.96,74.75937,-0.44191,6692.51,3771.71,3.25,2.92,37.8,-0.291,17.48,19.25,01a59846o0895c
59846.632305,20.044,2.139,35,75,c,0,1.45,74.75937,-0.44191,6713.35,3810.85,3.26,2.93,38.4,-0.289,17.48,19.13,01a59846o0901c
59846.63628,21.845,7.2,7,48,c,0,1.02,74.75937,-0.44191,3885.09,6983.8,3.14,2.88,44.9,-0.295,17.71,19.07,01a59846o0909c
59846.63946,-19.859,1.8,-41,74,c,0,1.15,74.75937,-0.44191,6636.37,3847.01,3.37,2.98,38.5,-0.27,17.16,18.18,01a59846o0915c
59848.597746,24.202,14.857,1,11,o,0,1.32,74.75937,-0.44191,3104.49,1835.23,2.2,1.86,31.1,-0.453,19.37,20.49,02a59848o0843o
59848.606986,-24.259,17.833,-1,13,o,0,1.17,74.75937,-0.44191,3127.06,1873.57,2.29,1.95,31.3,-0.451,19.33,20.52,02a59848o0863o
59848.610604,-23.322,7.933,-2,14,o,0,0.66,74.75937,-0.44191,3069.87,1794.33,2.2,1.87,29.7,-0.455,19.38,20.49,02a59848o0871o
59848.630643,-21.281,1.722,-11,19,o,0,0.87,74.75937,-0.44191,7520.39,8641.67,2.64,2.17,37.7,-0.43,19.22,20.36,02a59848o0913o
59849.099079,21.885,1.231,6,8,c,0,1.24,74.75937,-0.44191,3463.51,8807.87,2.4,2.19,-49.8,-0.389,19.83,21.69,03a59849o0798c
59849.102695,23.04,4.111,2,9,c,0,0.84,74.75937,-0.44191,3443.8,8769.33,2.39,2.19,-53.4,-0.387,19.85,21.69,03a59849o0806c
59849.108112,23.07,3.706,2,8,c,0,1.16,74.75937,-0.44191,3497.87,8848.27,2.42,2.24,-44.8,-0.386,19.82,21.69,03a59849o0818c
59849.128989,22.782,3.182,3,9,c,0,0.91,74.75937,-0.44191,3515.11,8738.09,2.46,2.24,-51.3,-0.385,19.79,21.63,03a59849o0862c
59849.138816,-21.408,1.103,-10,11,c,0,1.0,74.75937,-0.44191,6971.63,1711.36,2.46,2.19,-49.8,-0.411,19.41,20.74,03a59849o0883c
