MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60294.332256,20.2,0.515,30,16,o,0,1.2,193.71366,-41.02014,4588.47,3545.85,2.02,1.97,-20.2,-0.471,19.1,20.24,04a60294o0597o
60294.34813,21.012,1.261,14,18,o,0,1.19,193.71366,-41.02014,4566.52,3511.09,1.99,1.93,-79.0,-0.452,18.96,19.89,04a60294o0631o
60294.350426,20.439,0.858,24,21,o,0,0.74,193.71366,-41.02014,4626.7,3589.14,1.95,1.88,-70.3,-0.449,18.87,19.69,04a60294o0636o
60294.355436,21.85,3.943,7,26,o,0,1.13,193.71366,-41.02014,4643.77,3473.65,2.04,1.96,-45.1,-0.453,18.51,19.11,04a60294o0646o
60298.333613,22.882,6.0,3,15,o,0,0.85,193.71366,-41.02014,8924.35,1530.44,2.41,2.13,-38.2,-0.393,19.26,20.55,04a60298o0596o
60298.336851,-23.619,12.5,-1,16,o,0,0.97,193.71366,-41.02014,8904.41,1492.16,2.55,2.21,-35.0,-0.387,19.18,20.59,04a60298o0603o
60298.341435,-20.96,1.053,-15,16,o,0,0.65,193.71366,-41.02014,8961.64,1569.24,2.5,2.21,-37.0,-0.382,19.19,20.5,04a60298o0613o
60298.35444,-20.515,1.119,-23,25,o,0,1.18,193.71366,-41.02014,8983.92,1454.79,2.7,2.37,-32.6,-0.37,18.48,19.32,04a60298o0641o
60320.189595,18.451,1.009,151,153,o,0,1.11,193.71366,-41.02014,2198.97,7274.11,2.43,2.07,-82.9,-0.361,16.75,17.96,04a60320o0358o
60320.234518,-20.007,2.143,-36,77,o,0,0.93,193.71366,-41.02014,2214.44,7325.95,2.33,2.01,-78.5,-0.392,16.75,17.99,04a60320o0452o
60320.249725,-17.755,0.992,-287,285,o,0,0.76,193.71366,-41.02014,2227.51,7213.1,2.27,1.98,-76.5,-0.403,16.21,17.45,04a60320o0484o
