MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60303.473726,-22.441,5.406,-4,21,o,0,1.23,135.21884,55.13558,7344.43,3914.9,2.25,2.03,40.1,-0.417,18.79,19.21,02a60303o0611o
60303.476513,20.589,1.03,21,22,o,0,1.32,135.21884,55.13558,7364.51,3953.07,2.39,2.03,38.7,-0.409,18.78,19.21,02a60303o0617o
60303.479678,-19.941,0.547,-38,21,o,0,1.28,135.21884,55.13558,7312.27,3877.22,2.27,2.03,41.3,-0.413,18.79,19.22,02a60303o0624o
60303.492394,-20.785,1.133,-18,20,o,0,1.13,135.21884,55.13558,7306.32,3994.18,2.3,2.04,43.3,-0.418,18.76,19.28,02a60303o0650o
60305.409543,22.102,7.577,5,40,o,0,0.98,135.21884,55.13558,5119.85,10036.93,3.59,2.94,60.6,-0.316,18.07,18.35,01a60305o0453o
60305.412317,19.888,1.085,40,44,o,0,0.82,135.21884,55.13558,5102.56,9997.44,3.58,2.84,64.2,-0.3,18.07,18.35,01a60305o0459o
60305.417637,21.642,4.314,8,34,o,0,1.18,135.21884,55.13558,5158.31,10069.82,2.96,2.7,62.5,-0.346,18.24,18.38,01a60305o0470o
60305.436779,-20.121,1.0,-32,32,o,0,0.95,135.21884,55.13558,5175.34,9955.64,2.76,2.4,64.0,-0.38,18.38,18.44,01a60305o0504o
60307.497055,20.17,0.697,31,22,o,0,1.28,135.21884,55.13558,1690.14,3637.09,2.22,1.94,40.5,-0.448,18.62,18.96,02a60307o0655o
60307.498864,-20.14,0.727,-32,23,o,0,1.41,135.21884,55.13558,1710.59,3677.31,2.24,1.94,41.1,-0.452,18.62,18.96,02a60307o0659o
60307.502034,-21.584,3.343,-8,28,o,0,0.63,135.21884,55.13558,1656.48,3597.41,2.32,2.04,38.9,-0.441,18.58,18.96,02a60307o0666o
60307.507489,-20.712,1.331,-19,25,o,0,1.27,135.21884,55.13558,1642.9,3714.38,2.31,2.03,40.1,-0.442,18.62,18.96,02a60307o0678o
60309.405809,-19.939,0.51,-38,20,o,0,1.06,135.21884,55.13558,7867.19,2428.38,2.98,2.63,42.7,-0.364,18.79,19.62,01a60309o0450o
60309.408649,-19.999,0.475,-36,17,o,0,1.32,135.21884,55.13558,7848.47,2392.55,2.95,2.57,43.6,-0.377,18.85,19.64,01a60309o0456o
60309.411427,21.581,1.982,8,17,o,0,1.36,135.21884,55.13558,7907.51,2470.71,2.92,2.55,42.2,-0.378,18.88,19.65,01a60309o0462o
60309.416509,20.922,1.289,16,20,o,0,0.98,135.21884,55.13558,7926.73,2352.17,3.02,2.8,51.7,-0.385,18.8,19.69,01a60309o0473o
60311.494574,21.167,1.273,12,16,o,0,1.41,135.21884,55.13558,6192.83,7517.26,2.6,2.04,41.8,-0.427,19.03,19.85,02a60311o0648o
60311.496381,-21.194,1.253,-12,15,o,0,1.26,135.21884,55.13558,6213.68,7556.01,2.56,2.04,43.3,-0.428,19.1,19.85,02a60311o0652o
60311.500458,21.217,1.614,12,19,o,0,1.1,135.21884,55.13558,6160.17,7479.1,2.62,2.07,38.3,-0.426,19.05,19.87,02a60311o0661o
60311.505746,-21.585,2.016,-8,17,o,0,1.34,135.21884,55.13558,6143.5,7597.23,2.57,2.04,42.3,-0.423,19.04,19.83,02a60311o0672o
60313.544846,19.556,2.0,55,109,o,0,1.03,135.21884,55.13558,3819.74,1828.11,2.6,2.3,36.4,-0.443,16.83,17.42,01a60313o0619o
60313.55485,-19.252,3.24,-72,234,o,0,1.15,135.21884,55.13558,3788.1,1788.56,2.77,2.4,35.9,-0.414,16.19,16.64,01a60313o0639o
60313.581824,23.515,7.8,1,11,o,0,1.93,135.21884,55.13558,3782.39,1904.44,2.82,2.42,38.5,-0.417,19.33,20.5,01a60313o0694o
60315.485615,-20.784,0.641,-18,11,o,0,1.87,135.21884,55.13558,1669.58,6079.7,2.3,2.01,41.6,-0.433,19.51,20.95,02a60315o0619o
60315.487875,-21.252,0.862,-12,10,o,0,1.77,135.21884,55.13558,1690.97,6117.45,2.3,1.97,38.8,-0.437,19.53,20.97,02a60315o0624o
60315.49149,21.897,1.692,6,11,o,0,1.11,135.21884,55.13558,1634.64,6039.51,2.27,1.98,39.1,-0.435,19.49,20.96,02a60315o0632o
60315.4983,-20.935,0.84,-15,13,o,0,1.46,135.21884,55.13558,1617.08,6157.04,2.3,1.98,37.5,-0.431,19.55,20.99,02a60315o0647o
60317.519964,-21.365,1.0,-10,10,o,0,1.24,135.21884,55.13558,8238.75,2376.62,2.41,2.36,2.5,-0.445,19.6,20.99,01a60317o0369o
60317.525373,-19.919,0.244,-39,10,o,0,1.71,135.21884,55.13558,8258.08,2413.46,2.43,2.36,0.6,-0.443,19.64,20.97,01a60317o0380o
60317.528286,-19.725,0.156,-47,7,o,0,2.2,135.21884,55.13558,8204.59,2338.23,2.46,2.34,2.9,-0.449,19.62,21.02,01a60317o0386o
60317.539393,-20.786,0.559,-18,10,o,0,1.33,135.21884,55.13558,8190.57,2454.48,2.44,2.31,15.1,-0.449,19.63,21.0,01a60317o0409o
60325.43506,23.651,11.571,1,15,o,0,1.09,135.21884,55.13558,54.75,8541.8,3.01,2.91,-89.9,-0.409,19.26,20.62,01a60325o0493o
60325.436909,-20.206,0.588,-30,18,o,0,1.04,135.21884,55.13558,38.22,8503.47,3.59,3.48,-77.1,-0.398,19.09,20.6,01a60325o0497o
60325.439681,-20.986,0.987,-15,14,o,0,1.18,135.21884,55.13558,90.69,8578.7,3.12,2.99,-81.8,-0.415,19.22,20.59,01a60325o0503o
