MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60327.517854,-20.432,0.406,-24,10,o,0,2.44,140.26013,49.60041,5588.67,2003.36,2.14,1.86,31.6,-0.446,19.46,20.61,02a60327o0573o
60327.521502,-20.273,0.413,-28,12,o,0,3.55,140.26013,49.60041,5569.91,1963.95,2.23,1.88,34.8,-0.445,19.45,20.6,02a60327o0581o
60327.550024,-21.297,0.99,-11,11,o,0,5.73,140.26013,49.60041,5624.92,2045.71,2.09,1.89,34.3,-0.448,19.51,20.64,02a60327o0641o
60327.578425,-23.603,8.917,-1,12,o,0,3.25,140.26013,49.60041,5640.21,1928.59,2.11,1.92,41.2,-0.442,19.48,20.7,02a60327o0702o
60329.42245,-20.163,0.424,-31,13,o,0,2.15,140.26013,49.60041,5962.61,5978.79,2.85,2.43,46.5,-0.364,19.26,20.28,01a60329o0441o
60329.424297,-20.12,0.414,-32,14,o,0,2.16,140.26013,49.60041,5942.25,5938.42,2.92,2.49,44.6,-0.363,19.25,20.28,01a60329o0445o
60329.43284,-20.088,0.422,-34,14,o,0,2.06,140.26013,49.60041,5995.14,6018.99,2.96,2.51,43.4,-0.356,19.26,20.31,01a60329o0462o
60329.462346,-20.056,0.384,-34,13,o,0,1.57,140.26013,49.60041,5983.95,5904.34,3.18,2.62,42.3,-0.341,19.24,20.38,01a60329o0522o
60331.455179,21.654,2.5,8,20,o,0,1.54,140.26013,49.60041,911.47,6411.75,2.35,2.12,40.7,-0.419,18.89,19.6,02a60331o0533o
60331.457438,21.053,1.604,14,22,o,0,1.21,140.26013,49.60041,931.79,6451.56,2.39,2.15,37.7,-0.416,18.9,19.6,02a60331o0538o
60331.476906,-24.039,25.0,-1,22,o,0,1.36,140.26013,49.60041,884.97,6374.75,2.47,2.23,38.4,-0.421,18.86,19.59,02a60331o0578o
60331.481045,-21.059,1.424,-14,20,o,0,1.84,140.26013,49.60041,864.73,6490.22,2.42,2.2,33.2,-0.407,18.86,19.62,02a60331o0587o
60332.369754,20.065,0.64,34,22,o,0,1.63,140.26013,49.60041,1875.76,3970.63,2.68,2.41,52.2,-0.411,18.68,19.02,01a60332o0362o
60332.3716,-19.644,0.396,-50,20,o,0,2.0,140.26013,49.60041,1854.08,3933.4,2.65,2.39,50.6,-0.412,18.65,19.01,01a60332o0366o
60332.37491,-20.977,1.832,-15,27,o,0,1.0,140.26013,49.60041,1910.23,4011.09,2.61,2.28,56.4,-0.414,18.69,19.04,01a60332o0373o
60332.38045,-21.374,2.493,-10,26,o,0,1.16,140.26013,49.60041,1927.78,3896.4,2.7,2.42,47.1,-0.418,18.69,19.08,01a60332o0385o
60339.642348,-19.233,0.439,-74,32,o,0,1.91,140.26013,49.60041,153.67,5891.83,2.73,2.56,-69.8,-0.364,18.18,18.9,02a60339o0038o
60339.645742,-21.156,1.819,-12,23,o,0,1.96,140.26013,49.60041,134.47,5853.06,2.71,2.43,-60.1,-0.394,18.62,19.45,02a60339o0045o
60339.646645,-19.783,0.659,-44,29,o,0,1.06,140.26013,49.60041,9794.6,5919.37,2.79,2.71,81.1,-0.456,18.72,19.57,02a60339o0047o
60341.374235,-21.332,1.163,-11,12,o,0,1.84,140.26013,49.60041,7629.8,1926.4,2.56,2.44,47.0,-0.442,19.49,20.79,01a60341o0359o
60341.376153,22.745,4.158,3,12,o,0,1.52,140.26013,49.60041,7612.13,1888.09,2.97,2.55,35.7,-0.389,19.37,20.8,01a60341o0363o
60341.3828,-19.955,0.336,-38,13,o,0,1.63,140.26013,49.60041,7664.1,1966.82,2.56,2.41,46.3,-0.439,19.51,20.82,01a60341o0377o
60341.390374,-21.093,0.89,-13,12,o,0,1.93,140.26013,49.60041,7676.22,1848.0,2.88,2.53,41.3,-0.39,19.33,20.69,01a60341o0393o
60343.448491,-19.773,0.278,-45,12,c,0,1.72,140.26013,49.60041,2612.17,9694.54,2.7,2.43,-39.7,-0.421,19.56,21.57,02a60343o0502c
60343.459545,22.357,2.857,4,12,c,0,1.86,140.26013,49.60041,2592.77,9656.67,2.51,2.28,-41.7,-0.43,19.61,21.59,02a60343o0524c
