oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
416105400000004,187025568,2459624.7613160233,59624.255682900002,19.8611507,0.131060094,0,zg,145.68928869999999,-3.6009126,0.691999972,0.0879999995,20220214255671,416,0x5,0x4,20.0799999,26.2452545,0.033282049,-0.031182684,4.78531801e-05,30,1.34800005,1
416105400000004,188223131,2459636.7369258008,59636.231319400002,20.2097511,0.161870688,0,zg,145.68932469999999,-3.6009152000000002,0.762000024,-0.101000004,20220226231308,416,0x5,0x4,21.4500008,26.2238407,0.0302949976,-0.0673611686,2.4225812e-05,30,1.31900001,1
416105400000004,188629657,2459640.80211714,59640.296574100001,20.2177486,0.162578434,0,zg,145.68920510000001,-3.6010057,0.680000007,0.0379999988,20220302296562,416,0x5,0x4,20.9400005,26.2821064,0.032736145,-0.067177698,3.0689218e-05,30,1.24399996,1
416105400000004,192018482,2459674.6888610139,59674.1848264,20.3618088,0.175000325,0,zg,145.68932280000001,-3.6008981000000002,1.42700005,-0.0469999984,20220405184815,416,0x5,0x4,21.3999996,26.2595654,0.0281084478,-0.0753547326,2.08265974e-05,30,1.23399997,1
416105400000004,192219091,2459676.6948116962,59676.190914400002,19.7195568,0.119232461,0,zg,145.6892033,-3.6009234999999999,0.91900003,0.0309999995,20220407190903,416,0x5,0x4,20.5300007,26.2112827,0.0344391949,-0.0455603786,4.00819372e-05,30,1.23800004,1
416105400000004,192417260,2459678.6763615352,59678.172604200001,20.1586304,0.157325283,0,zg,145.6892871,-3.6010157999999999,0.907000005,-0.172999993,20220409172593,416,0x5,0x4,20.9699993,26.2079773,0.0352359638,-0.0538158789,3.5298468e-05,30,1.23399997,1
416105400000004,192927461,2459683.7779965224,59683.274618099997,19.650629,0.113719299,0,zg,145.68958610000001,-3.6010068,0.499000013,0.0160000008,20220414274618,416,0x5,0x4,19.8899994,26.1993294,0.0341879502,-0.0534137115,6.54794057e-05,30,1.66499996,1
416105400000004,194519724,2459699.6992989429,59699.197245399999,19.8677464,0.131625623,0,zg,145.68933329999999,-3.6009671000000001,0.824000001,-0.0160000008,20220430197234,416,0x5,0x4,21.2000008,26.1366482,0.029109953,-0.0647846907,2.36104406e-05,30,1.42299998,1
416105400000004,194717150,2459701.6733820578,59701.171504600003,20.2947083,0.169307962,0,zg,145.6892465,-3.6009213999999998,1.33200002,0.166999996,20220502171505,416,0x5,0x4,21.5100002,26.2067318,0.0310271755,-0.0869725794,2.54238803e-05,30,1.33500004,1
416105400000004,195617483,2459710.6758913114,59710.174837999999,19.8308029,0.128473401,0,zg,145.68936790000001,-3.6009951,0.763999999,-0.312999994,20220511174826,416,0x5,0x4,20.2800007,26.2117157,0.03203623,-0.048446767,4.0350089e-05,30,1.46500003,1
416105400000089,187025568,2459624.7613157537,59624.255682900002,19.7897968,0.125021085,0,zg,145.70922440000001,-3.612438,0.272000015,0.109999999,20220214255671,416,0x5,0x4,20.0799999,26.2452545,0.033282049,-0.031182684,4.78531801e-05,30,1.34800005,1
