# Combined data from 'ATLAS-ZTF' for 'SN 2024jgw'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
258.76195, 46.04489, c, 60355.578547, 24.189, 17.0, 1, 13, 23.9, ATLAS-ZTF
258.76195, 46.04489, c, 60355.581742, 21.067, 1.0, 14, 14, 21.034679910804403, ATLAS-ZTF
258.76195, 46.04489, c, 60355.60432, -22.642, 3.85, -3, 12, nan, ATLAS-ZTF
258.76195, 46.04489, c, 60355.612038, -22.002, 1.886, -6, 11, nan, ATLAS-ZTF
258.76195, 46.04489, c, 60359.607938, 23.553, 7.889, 1, 11, 23.9, ATLAS-ZTF
258.76195, 46.04489, c, 60359.611113, -20.22, 0.382, -30, 11, nan, ATLAS-ZTF
258.76195, 46.04489, c, 60359.617042, 21.743, 1.438, 7, 10, 21.787254899964356, ATLAS-ZTF
258.76195, 46.04489, c, 60359.629409, 20.908, 0.76, 16, 12, 20.889700043360186, ATLAS-ZTF
258.76195, 46.04489, o, 60361.573171, -21.416, 1.932, -10, 19, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60361.578951, -20.419, 0.795, -25, 20, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60361.583218, -20.324, 0.696, -27, 19, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60361.605419, -20.032, 0.44, -35, 16, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60363.55801, -21.06, 2.235, -14, 31, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60363.56118, -20.879, 1.694, -16, 27, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60363.577245, -20.136, 0.826, -32, 26, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60363.593361, 20.258, 0.9, 29, 26, 20.24400500525261, ATLAS-ZTF
258.76195, 46.04489, o, 60371.571626, 22.513, 4.154, 4, 15, 22.394850021680092, ATLAS-ZTF
258.76195, 46.04489, o, 60371.57484, 24.584, 25.5, 0, 14, inf, ATLAS-ZTF
258.76195, 46.04489, o, 60371.594366, -21.188, 1.29, -12, 16, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60371.605089, -20.221, 0.409, -30, 12, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60387.498873, -22.976, 6.944, -2, 16, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60387.502037, 20.824, 0.898, 17, 15, 20.823877696554312, ATLAS-ZTF
258.76195, 46.04489, o, 60387.505202, -22.649, 5.667, -3, 18, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60387.531711, -21.976, 2.2, -6, 13, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60388.436361, 21.077, 1.835, 14, 25, 21.034679910804403, ATLAS-ZTF
258.76195, 46.04489, o, 60388.440091, -21.294, 1.824, -11, 20, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60388.464255, 20.184, 0.584, 31, 18, 20.171595765414317, ATLAS-ZTF
258.76195, 46.04489, o, 60388.476518, -20.422, 0.724, -25, 18, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60389.526879, -20.052, 0.649, -35, 22, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60389.530048, 18.445, 0.984, 152, 150, 18.44539103013807, ATLAS-ZTF
258.76195, 46.04489, o, 60389.535487, 18.191, 1.042, 192, 200, 18.191746928241123, ATLAS-ZTF
258.76195, 46.04489, o, 60389.542299, 21.917, 6.038, 6, 38, 21.95462187404089, ATLAS-ZTF
258.76195, 46.04489, o, 60390.5039, 19.925, 0.513, 39, 20, 19.92233848243375, ATLAS-ZTF
258.76195, 46.04489, o, 60390.5058, -20.165, 0.7, -31, 22, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60390.532422, 22.364, 4.64, 4, 19, 22.394850021680092, ATLAS-ZTF
258.76195, 46.04489, o, 60390.539594, -20.064, 0.57, -34, 20, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60391.552597, 21.058, 1.792, 14, 25, 21.034679910804403, ATLAS-ZTF
258.76195, 46.04489, o, 60391.558323, 21.521, 3.148, 9, 28, 21.514393726401686, ATLAS-ZTF
258.76195, 46.04489, o, 60391.560156, 22.082, 3.341, 5, 18, 22.15257498915995, ATLAS-ZTF
258.76195, 46.04489, o, 60391.565658, 21.991, 3.795, 6, 22, 21.95462187404089, ATLAS-ZTF
258.76195, 46.04489, o, 60392.47736, 20.518, 1.25, 22, 28, 20.543943297944484, ATLAS-ZTF
258.76195, 46.04489, o, 60392.480137, -20.688, 1.486, -19, 29, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60392.503408, 19.994, 0.651, 36, 24, 20.00924374808178, ATLAS-ZTF
258.76195, 46.04489, o, 60392.508654, 20.154, 0.795, 32, 25, 20.137125054200233, ATLAS-ZTF
258.76195, 46.04489, o, 60397.588893, -21.593, 1.568, -8, 13, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60397.590882, 22.824, 5.364, 3, 14, 22.707196863200842, ATLAS-ZTF
258.76195, 46.04489, o, 60397.596243, -20.976, 1.0, -15, 15, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60397.60115, 21.302, 1.495, 11, 16, 21.296518287104437, ATLAS-ZTF
258.76195, 46.04489, o, 60397.611811, -21.155, 1.453, -12, 18, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60397.618448, 21.801, 1.839, 7, 13, 21.787254899964356, ATLAS-ZTF
258.76195, 46.04489, o, 60397.629356, -20.483, 0.638, -23, 15, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60397.635427, -21.32, 1.421, -11, 15, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60399.548034, -19.592, 0.294, -53, 16, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60399.549841, -20.832, 0.84, -17, 14, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60399.552631, -21.177, 1.176, -12, 14, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60399.559477, 20.575, 0.785, 21, 17, 20.5944517631652, ATLAS-ZTF
258.76195, 46.04489, o, 60401.528651, 21.604, 1.319, 8, 11, 21.64227503252014, ATLAS-ZTF
258.76195, 46.04489, o, 60401.53148, -20.679, 0.601, -19, 12, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60401.534249, 23.941, 15.25, 1, 15, 23.9, ATLAS-ZTF
258.76195, 46.04489, o, 60401.547241, 20.992, 0.757, 15, 11, 20.959771852360795, ATLAS-ZTF
258.76195, 46.04489, o, 60402.482739, 21.703, 0.83, 8, 6, 21.64227503252014, ATLAS-ZTF
258.76195, 46.04489, o, 60402.48968, 23.915, 7.185, 1, 7, 23.9, ATLAS-ZTF
258.76195, 46.04489, o, 60402.497162, 21.186, 0.66, 12, 8, 21.202046884880936, ATLAS-ZTF
258.76195, 46.04489, o, 60405.383405, -21.344, 0.827, -10, 9, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60405.406263, -21.479, 0.779, -9, 7, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60405.429287, -21.41, 0.653, -10, 6, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60409.426676, -22.233, 1.504, -5, 7, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60409.439391, -21.224, 0.591, -12, 7, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60409.447882, -21.036, 0.436, -14, 6, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60417.510117, -20.809, 1.073, -17, 18, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60417.51224, -20.762, 1.185, -18, 21, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60417.515354, 22.464, 5.267, 4, 20, 22.394850021680092, ATLAS-ZTF
258.76195, 46.04489, o, 60417.520973, -21.146, 1.475, -13, 19, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60419.492533, 21.58, 2.302, 8, 20, 21.64227503252014, ATLAS-ZTF
258.76195, 46.04489, o, 60419.49434, 21.94, 2.936, 6, 18, 21.95462187404089, ATLAS-ZTF
258.76195, 46.04489, o, 60419.497508, 20.823, 1.022, 17, 17, 20.823877696554312, ATLAS-ZTF
258.76195, 46.04489, o, 60419.502947, -22.051, 3.674, -6, 20, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60419.51066, -21.089, 1.184, -13, 16, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60419.512468, 25.411, 68.0, 0, 17, inf, ATLAS-ZTF
258.76195, 46.04489, o, 60419.515267, -21.187, 1.296, -12, 16, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60419.520342, -23.54, 10.727, -1, 15, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60423.588567, -20.899, 1.669, -16, 26, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60423.591775, -20.959, 1.351, -15, 20, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60423.599337, -22.95, 10.762, -2, 26, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60423.608152, 20.857, 1.485, 16, 24, 20.889700043360186, ATLAS-ZTF
258.76195, 46.04489, o, 60427.44557, 20.612, 0.897, 21, 18, 20.5944517631652, ATLAS-ZTF
258.76195, 46.04489, o, 60427.47143, 22.149, 2.698, 5, 14, 22.15257498915995, ATLAS-ZTF
258.76195, 46.04489, o, 60427.477864, -21.884, 2.519, -6, 16, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60427.481038, 22.132, 3.651, 5, 19, 22.15257498915995, ATLAS-ZTF
258.76195, 46.04489, o, 60431.433122, -21.01, 0.787, -14, 11, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60431.435001, 21.632, 1.716, 8, 14, 21.64227503252014, ATLAS-ZTF
258.76195, 46.04489, o, 60431.457348, -20.424, 0.564, -25, 14, nan, ATLAS-ZTF
258.76195, 46.04489, o, 60431.480146, 21.135, 1.02, 13, 13, 21.115141619232908, ATLAS-ZTF
