# Combined data from 'ATLAS-ZTF' for 'SN 2019cp'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
163.70851, -7.381, o, 58456.621491, 20.404, 0.694, 25, 17, 20.405149978319905, ATLAS-ZTF
163.70851, -7.381, o, 58456.62967, 24.315, 23.5, 1, 16, 23.9, ATLAS-ZTF
163.70851, -7.381, o, 58456.638033, 22.166, 3.909, 5, 19, 22.15257498915995, ATLAS-ZTF
163.70851, -7.381, o, 58456.646443, 22.636, 5.556, 3, 18, 22.707196863200842, ATLAS-ZTF
163.70851, -7.381, c, 58458.635801, 21.245, 0.824, 12, 10, 21.202046884880936, ATLAS-ZTF
163.70851, -7.381, c, 58458.644667, -21.363, 0.688, -10, 7, nan, ATLAS-ZTF
163.70851, -7.381, c, 58458.653129, 22.786, 3.273, 3, 9, 22.707196863200842, ATLAS-ZTF
163.70851, -7.381, c, 58458.662056, 20.916, 1.025, 16, 16, 20.889700043360186, ATLAS-ZTF
163.70851, -7.381, o, 58460.60032, 20.387, 0.485, 25, 12, 20.405149978319905, ATLAS-ZTF
163.70851, -7.381, o, 58460.608626, -20.512, 0.487, -23, 11, nan, ATLAS-ZTF
163.70851, -7.381, o, 58460.616867, 21.659, 1.644, 8, 13, 21.64227503252014, ATLAS-ZTF
163.70851, -7.381, o, 58460.625214, 22.369, 2.818, 4, 12, 22.394850021680092, ATLAS-ZTF
163.70851, -7.381, o, 58460.627076, -21.397, 1.429, -10, 14, nan, ATLAS-ZTF
163.70851, -7.381, c, 58462.62566, 25.742, 54.0, 0, 10, inf, ATLAS-ZTF
163.70851, -7.381, c, 58462.634467, 21.229, 0.731, 12, 9, 21.202046884880936, ATLAS-ZTF
163.70851, -7.381, c, 58462.642913, 21.892, 1.436, 6, 9, 21.95462187404089, ATLAS-ZTF
163.70851, -7.381, c, 58462.651741, 21.061, 0.714, 14, 10, 21.034679910804403, ATLAS-ZTF
163.70851, -7.381, o, 58464.586508, -22.143, 3.643, -5, 18, nan, ATLAS-ZTF
163.70851, -7.381, o, 58464.594693, 22.369, 3.769, 4, 15, 22.394850021680092, ATLAS-ZTF
163.70851, -7.381, o, 58464.596178, 19.224, 0.276, 74, 20, 19.226920700672558, ATLAS-ZTF
163.70851, -7.381, o, 58468.573597, 19.631, 0.373, 51, 19, 19.631074559755156, ATLAS-ZTF
163.70851, -7.381, o, 58468.581861, 22.104, 3.75, 5, 20, 22.15257498915995, ATLAS-ZTF
163.70851, -7.381, o, 58468.589994, 21.292, 1.593, 11, 18, 21.296518287104437, ATLAS-ZTF
163.70851, -7.381, o, 58468.59814, 23.726, 15.333, 1, 18, 23.9, ATLAS-ZTF
163.70851, -7.381, o, 58470.573788, 21.839, 1.679, 7, 11, 21.787254899964356, ATLAS-ZTF
163.70851, -7.381, o, 58470.582202, 23.7, 9.0, 1, 11, 23.9, ATLAS-ZTF
163.70851, -7.381, o, 58470.590456, 21.408, 1.033, 10, 10, 21.4, ATLAS-ZTF
163.70851, -7.381, o, 58470.598568, -22.642, 3.281, -3, 10, nan, ATLAS-ZTF
163.70851, -7.381, o, 58472.561095, 21.176, 1.882, 12, 23, 21.202046884880936, ATLAS-ZTF
163.70851, -7.381, o, 58472.569529, 21.41, 2.475, 10, 24, 21.4, ATLAS-ZTF
163.70851, -7.381, o, 58472.578248, -21.021, 1.556, -14, 22, nan, ATLAS-ZTF
163.70851, -7.381, o, 58472.586758, 22.544, 6.467, 4, 23, 22.394850021680092, ATLAS-ZTF
163.70851, -7.381, o, 58474.613324, 20.084, 0.581, 34, 20, 20.07130270739436, ATLAS-ZTF
163.70851, -7.381, o, 58474.622845, -23.188, 10.722, -2, 21, nan, ATLAS-ZTF
163.70851, -7.381, o, 58474.632063, -21.451, 2.0, -10, 19, nan, ATLAS-ZTF
163.70851, -7.381, o, 58474.641718, 21.057, 1.578, 14, 22, 21.034679910804403, ATLAS-ZTF
163.70851, -7.381, o, 58475.624595, 21.465, 5.294, 9, 50, 21.514393726401686, ATLAS-ZTF
163.70851, -7.381, o, 58475.627999, 19.755, 0.561, 46, 26, 19.743105420796063, ATLAS-ZTF
163.70851, -7.381, o, 58475.637836, 20.396, 1.603, 25, 40, 20.405149978319905, ATLAS-ZTF
163.70851, -7.381, o, 58475.653589, -20.026, 1.0, -35, 35, nan, ATLAS-ZTF
163.70851, -7.381, o, 58476.564819, 20.071, 1.143, 34, 39, 20.07130270739436, ATLAS-ZTF
163.70851, -7.381, o, 58476.573008, 20.239, 1.522, 29, 44, 20.24400500525261, ATLAS-ZTF
163.70851, -7.381, o, 58476.581157, -20.093, 1.198, -33, 40, nan, ATLAS-ZTF
163.70851, -7.381, o, 58476.589279, 19.985, 0.992, 37, 36, 19.97949568983251, ATLAS-ZTF
163.70851, -7.381, o, 58478.562071, -20.039, 2.781, -35, 97, nan, ATLAS-ZTF
163.70851, -7.381, o, 58478.577477, -20.755, 1.074, -18, 19, nan, ATLAS-ZTF
163.70851, -7.381, o, 58478.578391, -22.613, 8.097, -3, 26, nan, ATLAS-ZTF
163.70851, -7.381, o, 58478.585787, -20.349, 0.702, -26, 18, nan, ATLAS-ZTF
