# Combined data from 'ATLAS-ZTF' for 'SN 2023sps'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
356.06338, -23.52914, o, 60106.338653, -19.961, 0.726, -38, 27, nan, ATLAS-ZTF
356.06338, -23.52914, o, 60106.341474, -19.394, 0.403, -63, 26, nan, ATLAS-ZTF
356.06338, -23.52914, o, 60106.346277, 20.177, 1.095, 31, 34, 20.171595765414317, ATLAS-ZTF
356.06338, -23.52914, o, 60106.358969, 19.039, 0.316, 88, 28, 19.038793319624578, ATLAS-ZTF
356.06338, -23.52914, o, 60109.377903, -20.741, 0.772, -18, 14, nan, ATLAS-ZTF
356.06338, -23.52914, o, 60109.381067, 22.141, 2.705, 5, 14, 22.15257498915995, ATLAS-ZTF
356.06338, -23.52914, o, 60109.386102, 21.657, 1.933, 8, 15, 21.64227503252014, ATLAS-ZTF
356.06338, -23.52914, o, 60109.396954, 19.989, 0.368, 37, 14, 19.97949568983251, ATLAS-ZTF
356.06338, -23.52914, c, 60110.323418, 21.131, 1.076, 13, 14, 21.115141619232908, ATLAS-ZTF
356.06338, -23.52914, c, 60110.339051, -21.714, 1.333, -8, 10, nan, ATLAS-ZTF
356.06338, -23.52914, c, 60110.347655, 21.177, 0.747, 12, 9, 21.202046884880936, ATLAS-ZTF
356.06338, -23.52914, c, 60110.357242, 21.496, 1.257, 9, 12, 21.514393726401686, ATLAS-ZTF
356.06338, -23.52914, c, 60112.35058, 23.324, 5.545, 2, 9, 23.147425010840045, ATLAS-ZTF
356.06338, -23.52914, c, 60112.353308, -21.076, 0.884, -14, 12, nan, ATLAS-ZTF
356.06338, -23.52914, c, 60112.358354, -22.449, 3.0, -4, 11, nan, ATLAS-ZTF
356.06338, -23.52914, c, 60112.367884, 21.257, 0.962, 11, 11, 21.296518287104437, ATLAS-ZTF
356.06338, -23.52914, o, 60126.037611, -21.859, 2.837, -7, 19, nan, ATLAS-ZTF
356.06338, -23.52914, o, 60126.042736, 24.391, 27.4, 1, 17, 23.9, ATLAS-ZTF
356.06338, -23.52914, o, 60126.045499, -19.948, 0.449, -38, 17, nan, ATLAS-ZTF
356.06338, -23.52914, o, 60126.058605, 19.975, 0.422, 37, 16, 19.97949568983251, ATLAS-ZTF
356.06338, -23.52914, o, 60127.275005, 21.939, 3.884, 6, 24, 21.95462187404089, ATLAS-ZTF
356.06338, -23.52914, o, 60127.278203, -20.315, 1.149, -27, 31, nan, ATLAS-ZTF
356.06338, -23.52914, o, 60127.288914, 21.158, 2.157, 12, 27, 21.202046884880936, ATLAS-ZTF
356.06338, -23.52914, o, 60127.294732, 19.645, 0.558, 50, 28, 19.65257498915995, ATLAS-ZTF
356.06338, -23.52914, o, 60128.346074, -21.559, 3.86, -9, 33, nan, ATLAS-ZTF
356.06338, -23.52914, o, 60128.364576, 19.709, 0.702, 48, 33, 19.69689690656103, ATLAS-ZTF
356.06338, -23.52914, o, 60128.382682, 19.235, 0.505, 74, 37, 19.226920700672558, ATLAS-ZTF
356.06338, -23.52914, o, 60128.394595, 19.459, 0.638, 60, 38, 19.45462187404089, ATLAS-ZTF
356.06338, -23.52914, o, 60129.017854, 21.049, 2.288, 14, 32, 21.034679910804403, ATLAS-ZTF
356.06338, -23.52914, o, 60129.020684, 20.821, 1.703, 17, 29, 20.823877696554312, ATLAS-ZTF
356.06338, -23.52914, o, 60129.027918, 22.559, 7.296, 3, 25, 22.707196863200842, ATLAS-ZTF
356.06338, -23.52914, o, 60129.037745, -19.643, 0.585, -50, 30, nan, ATLAS-ZTF
356.06338, -23.52914, o, 60130.252504, 22.912, 15.929, 2, 40, 23.147425010840045, ATLAS-ZTF
356.06338, -23.52914, o, 60130.257493, 20.1, 1.101, 33, 36, 20.10371515030528, ATLAS-ZTF
356.06338, -23.52914, o, 60130.262649, -21.099, 2.974, -13, 39, nan, ATLAS-ZTF
356.06338, -23.52914, o, 60130.280263, 25.239, 115.5, 0, 34, inf, ATLAS-ZTF
356.06338, -23.52914, o, 60136.303206, 21.894, 3.895, 6, 25, 21.95462187404089, ATLAS-ZTF
356.06338, -23.52914, o, 60136.32514, 24.038, 21.75, 1, 19, 23.9, ATLAS-ZTF
356.06338, -23.52914, o, 60136.326943, -20.163, 0.516, -31, 16, nan, ATLAS-ZTF
356.06338, -23.52914, o, 60136.331391, 21.946, 3.407, 6, 21, 21.95462187404089, ATLAS-ZTF
356.06338, -23.52914, c, 60138.059164, -22.469, 2.36, -4, 9, nan, ATLAS-ZTF
356.06338, -23.52914, c, 60138.06192, 22.107, 1.366, 5, 7, 22.15257498915995, ATLAS-ZTF
356.06338, -23.52914, c, 60138.07409, 20.505, 0.381, 23, 9, 20.495680409956016, ATLAS-ZTF
356.06338, -23.52914, o, 60139.286197, -21.973, 3.382, -6, 20, nan, ATLAS-ZTF
356.06338, -23.52914, o, 60139.288954, 20.792, 0.721, 18, 13, 20.761818737241732, ATLAS-ZTF
356.06338, -23.52914, o, 60139.292128, 19.916, 0.296, 39, 12, 19.92233848243375, ATLAS-ZTF
356.06338, -23.52914, o, 60139.29758, 20.741, 0.746, 18, 14, 20.761818737241732, ATLAS-ZTF
356.06338, -23.52914, c, 60141.055735, -20.89, 0.512, -16, 8, nan, ATLAS-ZTF
356.06338, -23.52914, c, 60141.082114, -20.962, 0.864, -15, 13, nan, ATLAS-ZTF
356.06338, -23.52914, c, 60141.084997, 22.459, 3.619, 4, 14, 22.394850021680092, ATLAS-ZTF
356.06338, -23.52914, c, 60141.104774, 22.504, 2.833, 4, 10, 22.394850021680092, ATLAS-ZTF
