# Combination of '2023fwb' data from 'ATLAS', 'ZTF'
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
o, nan, nan, 320.91415, 39.58093, 60040.617988, -24.751, 129.5, 0.0, 59.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60040.623499, -21.157, 3.839, -12.0, 48.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60040.633668, -22.465, 14.136, -4.0, 53.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60050.604281, 18.706, 0.151, 120.0, 18.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60050.614282, 19.103, 0.151, 83.0, 13.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60050.625366, 18.818, 0.156, 108.0, 17.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60050.630556, 18.983, 0.229, 93.0, 21.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60052.598737, 18.404, 0.092, 158.0, 15.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60052.613947, 18.7, 0.121, 120.0, 14.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60052.620901, 18.624, 0.099, 129.0, 13.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60056.604581, 17.944, 0.056, 241.0, 14.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60056.610727, 18.143, 0.063, 201.0, 13.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60056.614829, 18.028, 0.069, 223.0, 15.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60056.626107, 17.883, 0.077, 255.0, 20.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60057.585234, 17.898, 0.048, 252.0, 12.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60057.588428, 18.023, 0.06, 224.0, 14.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60057.591631, 18.058, 0.056, 217.0, 12.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60057.603625, 17.88, 0.051, 256.0, 13.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60058.60672, 17.959, 0.06, 238.0, 14.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60058.610792, 18.056, 0.074, 218.0, 16.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60058.61886, 17.868, 0.055, 259.0, 14.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60058.626802, 17.935, 0.08, 243.0, 19.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60059.55962, 17.91, 0.071, 249.0, 18.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60059.562821, 18.019, 0.082, 225.0, 18.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60059.56831, 17.926, 0.066, 245.0, 16.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60059.577468, 17.961, 0.069, 238.0, 16.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60060.597801, 17.957, 0.066, 238.0, 16.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60060.603335, 17.857, 0.056, 261.0, 15.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60060.619548, 17.919, 0.075, 247.0, 18.0, ATLAS
c, nan, nan, 320.91415, 39.58093, 60060.621357, 17.854, 0.059, 262.0, 15.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60066.593778, 17.953, 0.09, 239.0, 22.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60066.61202, 17.988, 0.074, 232.0, 17.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60066.619247, 17.903, 0.078, 250.0, 20.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60066.62344, 18.016, 0.078, 226.0, 18.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60067.585161, 17.951, 0.09, 240.0, 22.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60067.5888, 18.088, 0.096, 211.0, 20.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60067.596201, 18.016, 0.098, 226.0, 22.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60067.614403, 17.975, 0.076, 234.0, 18.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60069.551107, 18.04, 0.164, 221.0, 36.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60069.559666, 18.153, 0.163, 199.0, 32.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60069.562839, 18.111, 0.173, 207.0, 36.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60069.572906, 18.088, 0.127, 211.0, 27.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60072.596167, 18.335, 0.139, 168.0, 24.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60072.606111, 18.172, 0.121, 196.0, 24.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60072.609746, 18.223, 0.13, 187.0, 24.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60072.616664, 18.377, 0.138, 162.0, 22.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60078.595802, 18.534, 0.116, 140.0, 16.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60078.611659, 18.994, 0.198, 92.0, 18.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60078.61587, 18.832, 0.196, 106.0, 21.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60078.620406, 18.801, 0.23, 110.0, 25.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60086.5211, 19.778, 0.319, 44.0, 14.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60086.524264, 19.895, 0.295, 40.0, 12.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60086.540228, 19.511, 0.248, 57.0, 14.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60086.553505, 19.529, 0.292, 56.0, 16.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60088.587584, 19.454, 0.213, 60.0, 13.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60088.591009, 19.628, 0.272, 51.0, 14.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60088.607429, 19.558, 0.262, 55.0, 14.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60088.611921, 19.339, 0.239, 67.0, 16.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60090.536171, 20.131, 0.564, 32.0, 18.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60090.543575, 19.444, 0.273, 61.0, 16.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60090.560454, 20.038, 0.444, 35.0, 16.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60090.567982, 19.375, 0.254, 65.0, 16.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60091.536218, 19.301, 0.234, 69.0, 16.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60091.561445, 19.573, 0.276, 54.0, 15.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60091.563256, 19.592, 0.324, 53.0, 17.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60091.584004, 20.368, 0.55, 26.0, 14.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60092.514722, 20.734, 1.01, 18.0, 19.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60092.528702, 19.889, 1.069, 40.0, 43.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60092.531831, 18.201, 0.344, 190.0, 65.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60092.54454, 19.011, 0.195, 90.0, 18.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60093.552094, -19.964, 5.591, -38.0, 210.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60094.555304, -19.2, 1.029, -76.0, 78.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60094.560645, 19.2, 0.352, 76.0, 27.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60094.570687, 19.568, 0.247, 54.0, 13.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60094.581214, 19.351, 0.203, 66.0, 13.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60095.417711, 18.839, 0.243, 106.0, 26.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60095.443624, -14.196, 0.883, -7616.0, 6725.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60095.468011, 20.686, 1.976, 19.0, 38.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60096.5249, 20.407, 2.477, 25.0, 62.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60096.528921, 18.621, 0.307, 129.0, 40.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60096.539437, 22.515, 6.31, 4.0, 23.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60096.544447, 18.728, 0.649, 117.0, 76.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60099.540722, -16.482, 0.762, -927.0, 706.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60099.544792, 14.787, 0.314, 4417.0, 1385.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60099.557142, 18.791, 19.02, 111.0, 2103.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60100.516797, 22.219, 5.545, 5.0, 26.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60100.519643, 19.501, 0.532, 58.0, 31.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60100.526655, 20.677, 1.658, 20.0, 32.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60100.545739, 19.459, 0.41, 60.0, 24.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60102.521516, 20.884, 1.192, 16.0, 19.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60102.525008, 21.057, 1.203, 14.0, 16.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60102.52546, -18.841, 0.822, -106.0, 87.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60102.533524, 19.949, 0.493, 38.0, 19.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60102.551797, 19.858, 0.379, 41.0, 16.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60104.518596, 20.032, 0.5, 35.0, 18.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60104.531855, 19.83, 0.461, 42.0, 20.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60104.534839, 19.225, 0.312, 74.0, 23.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60104.541051, 19.491, 0.32, 58.0, 19.0, ATLAS
o, nan, nan, 320.91415, 39.58093, 60106.522439, 20.63, 0.8, 20.0, 16.0, ATLAS
