# Combination of '2024zls' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 11.66844, -14.33536, 60510.265742, 19.436, 0.307, 61.0, 19.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60510.277592, 19.434, 0.352, 61.0, 22.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60510.613436, 20.585, 0.467, 21.0, 10.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60513.064221, 19.331, 0.435, 67.0, 29.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60514.589315, 19.136, 0.334, 80.0, 27.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60534.632745, 19.415, 0.457, 62.0, 28.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60546.27354, 19.654, 0.445, 50.0, 22.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60546.283906, 20.277, 0.767, 28.0, 22.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60548.096191, 19.673, 0.921, 49.0, 45.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60548.122416, 19.476, 0.713, 59.0, 42.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60549.338318, 19.777, 0.362, 45.0, 16.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60554.253086, 20.325, 0.565, 27.0, 15.0, ATLAS
c, 23.9, 11.66844, -14.33536, 60555.000091, 20.707, 0.61, 19.0, 12.0, ATLAS
c, 23.9, 11.66844, -14.33536, 60558.988939, 20.277, 0.404, 28.0, 11.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60564.95576, 19.817, 0.371, 43.0, 16.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60564.968429, 19.621, 0.268, 52.0, 14.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60574.266502, 20.361, 0.95, 26.0, 25.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60574.302111, 19.153, 0.387, 79.0, 31.0, ATLAS
o, 23.9, 11.66844, -14.33536, 60574.330639, 19.11, 0.9, 82.0, 74.0, ATLAS
