# Combination of '2020jht' data from 'ATLAS', 'ZTF' (sourced from HSF)
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58958.374201, nan, 0.7755258605428572, -14.0, 10.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58958.376983, nan, 0.44706784901882357, -17.0, 7.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58958.383068, nan, 1.08573620476, -9.0, 9.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58958.395475, nan, 10.8573620476, -1.0, 10.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58959.380681, 21.296518287104437, 1.1844394961018183, 11.0, 12.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58959.3856, nan, 0.9186998655661539, -13.0, 11.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58959.388731, 22.15257498915995, 2.3886196504720005, 5.0, 11.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58959.401436, nan, 0.21242664875739134, -46.0, 9.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58963.38323, nan, 0.8988088811284363, -697.0, 577.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58963.392883, 16.136224538075062, 2.5410484980422274, 1275.0, 2984.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58983.32002, 18.43119819790884, 0.08460282115012988, 154.0, 12.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58983.322782, 18.267867422550268, 0.06065565389720671, 179.0, 10.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58983.331916, 18.504093769761873, 0.060318678042222226, 144.0, 8.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58983.352781, 18.504093769761873, 0.0678585127975, 144.0, 9.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58987.354819, 18.15833702434617, 0.05483516185656566, 198.0, 10.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58987.360342, 18.08416034767812, 0.051213971922641516, 212.0, 10.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58987.364046, 18.0944517631652, 0.05170172403619048, 210.0, 10.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58987.374184, 18.131259905216965, 0.05883299631704434, 203.0, 11.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58991.305153, 17.954005247629656, 0.049971122394811725, 239.0, 11.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58991.311187, 18.039019315787222, 0.04912833505701358, 221.0, 10.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58991.31441, 18.019543704721592, 0.04825494243377779, 225.0, 10.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58995.342872, 18.142009856448777, 0.05941839926547264, 201.0, 11.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58995.346092, 17.976960356474642, 0.05103888142034189, 234.0, 11.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58995.353935, 18.286218330464624, 0.06168955708863637, 176.0, 10.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58995.365536, 18.053858765988487, 0.04980441306238533, 218.0, 10.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 59022.259929, 20.32159058960253, 0.522761876365926, 27.0, 13.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 59022.265453, 19.609991640913, 0.2505545087907693, 52.0, 12.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 59022.275607, 19.54909327626439, 0.23688789922036366, 55.0, 12.0, ATLAS
c, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 59022.279296, 19.45462187404089, 0.19905163753933333, 60.0, 11.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58961.368692, 20.171595765414317, 0.3152137368658065, 31.0, 9.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58961.372696, nan, 2.17147240952, -5.0, 10.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58961.380685, 20.761818737241732, 0.54286810238, 18.0, 9.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58961.392879, nan, 0.32169961622518517, -27.0, 8.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58965.332744, 21.64227503252014, 1.7643213327350002, 8.0, 13.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58965.350616, 20.823877696554312, 0.7664020268894118, 17.0, 12.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58965.358037, nan, 0.1938814651357143, -56.0, 10.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58965.362546, nan, 0.3701373425318182, -44.0, 15.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58967.353218, 20.449471895720983, 0.54286810238, 24.0, 12.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58967.366327, 19.79136830878453, 0.32078569686090913, 44.0, 13.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58967.371552, nan, 2.8952965460266666, -3.0, 8.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58967.374386, nan, 0.36191206825333333, -33.0, 11.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58968.366223, 20.362566630072955, 0.41759084798461543, 26.0, 10.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58968.371321, nan, 5.4286810238, -2.0, 10.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58968.374998, 20.543943297944484, 0.3948131653672728, 22.0, 8.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58968.388008, 21.034679910804403, 0.6979732744885715, 14.0, 9.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58969.348892, nan, 0.40715107678500007, -24.0, 9.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58969.363475, 23.147425010840045, 5.97154912618, 2.0, 11.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58969.376006, 20.647425010840045, 0.54286810238, 20.0, 10.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58969.384648, nan, 9.77162584284, -1.0, 9.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58971.347307, nan, 0.3152137368658065, -62.0, 18.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58971.350566, nan, 0.2944369368840678, -59.0, 16.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58971.359713, nan, 0.3948131653672728, -55.0, 20.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58971.369617, nan, 0.8025006730834783, -23.0, 17.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58975.341465, nan, 3.0762525801533336, -12.0, 34.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58975.344286, 20.5944517631652, 1.4993499970495239, 21.0, 29.0, ATLAS
o, 23.9, 0.030441059327783362, 179.80122268571, 11.505493042857, 58975.351804, 23.147425010840045, 13.028834457120002, 2.0, 24.0, ATLAS
