# Combination of '2021fck' data from 'ATLAS', 'ZTF' (sourced from HSF)
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
c, 23.9, 0.056, 130.344511289, 2.88982340711, 59258.368431, 22.15257498915995, 2.17147240952, 5.0, 10.0, ATLAS
c, 23.9, 0.056, 130.344511289, 2.88982340711, 59258.370718, 21.034679910804403, 0.6979732744885715, 14.0, 9.0, ATLAS
c, 23.9, 0.056, 130.344511289, 2.88982340711, 59258.373461, 22.15257498915995, 2.17147240952, 5.0, 10.0, ATLAS
c, 23.9, 0.056, 130.344511289, 2.88982340711, 59258.400902, 21.95462187404089, 1.6286043071400003, 6.0, 9.0, ATLAS
c, 23.9, 0.056, 130.344511289, 2.88982340711, 59260.403387, nan, 0.6031867804222223, -18.0, 10.0, ATLAS
c, 23.9, 0.056, 130.344511289, 2.88982340711, 59260.407534, inf, inf, 0.0, 8.0, ATLAS
c, 23.9, 0.056, 130.344511289, 2.88982340711, 59260.413063, nan, 1.221453230355, -8.0, 9.0, ATLAS
c, 23.9, 0.056, 130.344511289, 2.88982340711, 59260.423744, nan, 0.9650988486755556, -9.0, 8.0, ATLAS
c, 23.9, 0.056, 130.344511289, 2.88982340711, 59262.415984, nan, 1.395946548977143, -7.0, 9.0, ATLAS
c, 23.9, 0.056, 130.344511289, 2.88982340711, 59262.422535, nan, 2.17147240952, -4.0, 8.0, ATLAS
c, 23.9, 0.056, 130.344511289, 2.88982340711, 59262.425768, nan, 3.2572086142800005, -3.0, 9.0, ATLAS
c, 23.9, 0.056, 130.344511289, 2.88982340711, 59262.43865, nan, 4.34294481904, -2.0, 8.0, ATLAS
c, 23.9, 0.056, 130.344511289, 2.88982340711, 59264.434318, 20.449471895720983, 1.1762142218233334, 24.0, 26.0, ATLAS
c, 23.9, 0.056, 130.344511289, 2.88982340711, 59264.440311, nan, 3.4123137863885717, -7.0, 22.0, ATLAS
