# Combination of '2022mts' data from 'ATLAS', 'ZTF' (sourced from HSF)
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
c, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 59789.143466, 19.14227503252014, 0.23071894351150002, 80.0, 17.0, ATLAS
c, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 59789.146802, 19.79136830878453, 0.4441648110381819, 44.0, 18.0, ATLAS
c, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 59789.152795, 20.137125054200233, 0.678585127975, 32.0, 20.0, ATLAS
c, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 59789.164737, 20.28210492164445, 0.54286810238, 28.0, 14.0, ATLAS
c, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 59790.201669, nan, 0.3823679677633044, -230.0, 81.0, ATLAS
c, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 59790.922764, 19.256668758921826, 0.19603570363722223, 72.0, 13.0, ATLAS
c, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 59790.927333, 19.43667541247308, 0.21358745011672134, 61.0, 12.0, ATLAS
c, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 59790.933885, 19.197966019298022, 0.24286204580157897, 76.0, 17.0, ATLAS
c, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 59790.946956, 19.241692849698858, 0.223096480430137, 73.0, 15.0, ATLAS
c, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 59791.863355, 19.334812993247933, 0.22687025174089553, 67.0, 14.0, ATLAS
c, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 59791.867516, 19.894850021680092, 0.380007671666, 40.0, 14.0, ATLAS
c, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 59791.874388, 20.171595765414317, 0.3852612339470968, 31.0, 11.0, ATLAS
c, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 59791.886321, 20.00924374808178, 0.39207140727444445, 36.0, 13.0, ATLAS
c, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 59793.148397, 19.609991640913, 0.29231359358923076, 52.0, 14.0, ATLAS
c, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 59793.151551, 19.318727718234406, 0.22353392450941179, 68.0, 14.0, ATLAS
c, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 59793.161559, 19.569015600442576, 0.261380938182963, 54.0, 13.0, ATLAS
c, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 59793.167176, 19.97949568983251, 0.44016332625405413, 37.0, 15.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57228.390626, nan, 4.653155163257143, -7.0, 30.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57228.416228, nan, 0.9268479796731708, -41.0, 35.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57228.442016, 19.226920700672558, 0.46950754800432437, 74.0, 32.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57288.248479, 16.457979156654833, 0.11223855281274263, 948.0, 98.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57288.26867, 16.519229975844684, 0.11148184245303572, 896.0, 92.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57296.275756, 16.728388904012935, 0.14691964881732072, 739.0, 100.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57297.25211, 16.301464702059654, 0.05850085486834704, 1095.0, 59.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57299.250823, nan, 0.6904438972017477, -412.0, 262.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57321.198319, nan, 0.9749467961110205, -98.0, 88.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57321.206666, nan, 3.7764737556869568, -23.0, 80.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57321.22084, 18.847026752325153, 0.7238241365066667, 105.0, 70.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57321.236952, nan, 11.94309825236, -7.0, 77.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57495.530362, nan, 2.0770605656278263, -23.0, 44.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57495.544767, nan, 0.9009300422476596, -47.0, 39.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57495.557401, nan, 0.39843530449908265, -109.0, 40.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57499.515673, 20.137125054200233, 1.9678968711275002, 32.0, 58.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57499.524573, 19.816328861051034, 1.489731071647442, 43.0, 59.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57499.533441, nan, 1.1054768630283636, -55.0, 56.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57499.541322, 19.76696871556164, 1.1581186184106667, 45.0, 48.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57500.633441, nan, 0.8716473756523945, -142.0, 114.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57567.429881, nan, 0.7516635263723077, -52.0, 36.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57567.442172, nan, 1.5079669510555556, -36.0, 50.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57567.454288, nan, 0.5052435804328713, -202.0, 94.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57567.466896, nan, 0.36991272515880363, -769.0, 262.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57567.480186, nan, 0.33683984665746997, -332.0, 103.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57612.336305, 20.823877696554312, 2.2992060806682355, 17.0, 36.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57612.347332, 20.137125054200233, 1.1535947175575, 32.0, 34.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57612.358874, 19.79136830878453, 0.9376812677472728, 44.0, 38.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57612.370929, nan, 0.5979416779837682, -69.0, 38.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57612.382973, nan, 1.3309024445445163, -31.0, 38.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57643.296071, 16.706571635325563, 0.9158199286835015, 754.0, 636.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57643.30932, nan, 0.2983390575187453, -797.0, 219.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57643.322713, nan, 0.9993708248359091, -176.0, 162.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57643.336728, nan, 1.8794468096190347, -145.0, 251.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57643.352273, 16.347026752325153, 0.3970692405979429, 1050.0, 384.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57647.314198, nan, 0.481576542433871, -124.0, 55.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57647.324118, 20.00924374808178, 1.658763646161111, 36.0, 55.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57647.333524, 19.14227503252014, 0.760015343332, 80.0, 56.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57647.343963, nan, 1.8260108898236367, -44.0, 74.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57651.270695, nan, 0.5269013934864706, -68.0, 33.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57651.286747, 22.394850021680092, 8.957323689270002, 4.0, 33.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57651.300043, 21.034679910804403, 3.2572086142800005, 14.0, 42.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57651.312206, nan, 0.4375354855002985, -134.0, 54.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57651.325934, nan, 2.011805320584706, -34.0, 63.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57671.236077, nan, 0.8795837608182279, -79.0, 64.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57671.245633, 16.653187046026265, 0.3811043749031313, 792.0, 278.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57671.258941, 20.405149978319905, 5.1246748864672, 25.0, 118.0, ATLAS
o, 23.9, 0.029166844484126417, 280.6807833, -22.0785356, 57671.275354, nan, 1.08573620476, -63.0, 63.0, ATLAS
