# Combination of '2022rvz' data from 'ATLAS', 'ZTF' (sourced from HSF)
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59793.398989, 21.64227503252014, 1.35717025595, 8.0, 10.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59793.421319, nan, 0.8143021535700001, -12.0, 9.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59793.427481, 21.115141619232908, 0.7516635263723077, 13.0, 9.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59793.431361, nan, 1.6286043071400003, -6.0, 9.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59797.455079, 21.4, 1.1943098252360003, 10.0, 11.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59797.458248, nan, 3.619120682533334, -3.0, 10.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59797.463818, 20.889700043360186, 0.6107266151775, 16.0, 9.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59809.327109, 23.147425010840045, 5.97154912618, 2.0, 11.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59809.330274, 20.823877696554312, 0.5748015201670589, 17.0, 9.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59809.337403, nan, 8.68588963808, -1.0, 8.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59809.369664, nan, 2.17147240952, -4.0, 8.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59810.389346, 21.202046884880936, 0.8143021535700001, 12.0, 9.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59810.392517, 19.97949568983251, 0.2934422175027028, 37.0, 10.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59810.397566, 21.64227503252014, 1.221453230355, 8.0, 9.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59810.405399, 23.9, 13.028834457120002, 1.0, 12.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59813.2924, 19.351140161145327, 0.18095603412666666, 66.0, 11.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59813.295566, 19.47286997089464, 0.18402308555254238, 59.0, 10.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59813.32079, 19.51031286081877, 0.2666720502919298, 57.0, 14.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59813.342973, 19.950541008457975, 0.3142920592726316, 38.0, 11.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59817.300951, 19.002396519197266, 0.11931167085274726, 91.0, 10.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59817.304575, 19.589310325998028, 0.22534147645962269, 53.0, 11.0, ATLAS
c, 23.9, 0.06087752513989542, 286.7188996, 34.6097853, 59817.318882, 19.97949568983251, 0.3521306610032433, 37.0, 12.0, ATLAS
