# Combination of '2023gxc' data from 'ATLAS', 'ZTF' (sourced from HSF)
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
c, 23.9, 0.07770042033545754, 201.57966635, 1.54142525, 60051.211878, 22.707196863200842, 3.981032750786667, 3.0, 11.0, ATLAS
c, 23.9, 0.07770042033545754, 201.57966635, 1.54142525, 60051.217401, 20.449471895720983, 0.45239008531666675, 24.0, 10.0, ATLAS
c, 23.9, 0.07770042033545754, 201.57966635, 1.54142525, 60051.220637, 20.171595765414317, 0.3502374854064516, 31.0, 10.0, ATLAS
c, 23.9, 0.07770042033545754, 201.57966635, 1.54142525, 60051.255511, 20.5944517631652, 0.5687189643980953, 21.0, 11.0, ATLAS
c, 23.9, 0.07770042033545754, 201.57966635, 1.54142525, 60054.212867, nan, 2.17147240952, -6.0, 12.0, ATLAS
c, 23.9, 0.07770042033545754, 201.57966635, 1.54142525, 60057.168369, 23.147425010840045, 7.057285330940001, 2.0, 13.0, ATLAS
c, 23.9, 0.07770042033545754, 201.57966635, 1.54142525, 60057.171974, 20.449471895720983, 0.54286810238, 24.0, 12.0, ATLAS
c, 23.9, 0.07770042033545754, 201.57966635, 1.54142525, 60057.17787, 22.15257498915995, 3.2572086142800005, 5.0, 15.0, ATLAS
c, 23.9, 0.07770042033545754, 201.57966635, 1.54142525, 60057.213395, nan, 1.302883445712, -10.0, 12.0, ATLAS
c, 23.9, 0.07770042033545754, 201.57966635, 1.54142525, 60082.850948, 17.98628003777275, 0.046798974343103455, 232.0, 10.0, ATLAS
c, 23.9, 0.07770042033545754, 201.57966635, 1.54142525, 60082.885032, 18.12592458143525, 0.05322236297843138, 204.0, 10.0, ATLAS
c, 23.9, 0.07770042033545754, 201.57966635, 1.54142525, 60082.913286, 18.0488897128997, 0.049576995651141556, 219.0, 10.0, ATLAS
c, 23.9, 0.07770042033545754, 201.57966635, 1.54142525, 60082.918451, 18.014728902131495, 0.048041424989380535, 226.0, 10.0, ATLAS
c, 23.9, 0.07770042033545754, 201.57966635, 1.54142525, 60088.857416, 18.237955442476157, 0.0590074024326087, 184.0, 10.0, ATLAS
c, 23.9, 0.07770042033545754, 201.57966635, 1.54142525, 60088.861086, 18.232070678992464, 0.058688443500540546, 185.0, 10.0, ATLAS
c, 23.9, 0.07770042033545754, 201.57966635, 1.54142525, 60088.867495, 18.208845489566887, 0.05744636004021164, 189.0, 10.0, ATLAS
c, 23.9, 0.07770042033545754, 201.57966635, 1.54142525, 60088.877614, 18.12592458143525, 0.05322236297843138, 204.0, 10.0, ATLAS
c, 23.9, 0.07770042033545754, 201.57966635, 1.54142525, 60105.128526, 19.334812993247933, 0.19446021577791045, 67.0, 12.0, ATLAS
