2018chl 0.015347 180.884958 -43.654811
filter ATgr
60704.213863 20.168 0.607
60704.254325 20.765 0.885
60708.24701 20.872 1.083
60708.248829 20.633 1.021
60708.252006 21.423 1.493
60712.192391 20.21 0.538
60712.195283 19.063 0.284
60712.198037 21.009 1.388
60712.198942 20.668 0.75
60712.201849 21.479 1.917
60712.203684 11.688 0.002
filter ATri
60697.277209 23.448 17.0
60697.28266 21.699 2.787
60698.033536 22.406 5.652
60698.036314 20.419 0.727
60700.272545 21.046 1.74
60700.275725 22.267 5.037
60700.289694 20.222 0.819
60705.990623 21.239 1.551
60705.99245 20.755 1.056
60705.99562 20.873 1.032
60709.936108 22.957 8.462
60709.939418 21.176 1.754
60709.980505 21.769 2.88
60717.980497 19.998 0.789
60720.189906 19.342 0.747
60720.192829 21.422 3.899
60720.195614 18.838 0.389
60721.960346 21.69 3.518
60724.016464 21.092 2.534
60724.236993 19.861 1.265
60724.257738 20.091 1.22
60724.261378 19.442 0.596
60724.265549 19.739 0.847
60725.980921 20.096 1.08
