2024pbe 0.023 43.210292 -1.285881
filter ATgr
60695.040218 21.234 1.232
60695.043398 20.786 0.807
60695.048829 21.31 1.28
60696.301187 22.531 3.08
60696.304364 22.189 2.382
60696.309807 20.391 0.384
60696.319548 20.838 0.803
60699.044626 21.126 0.973
60699.064164 20.91 0.845
60700.29022 18.47 1.357
60703.032206 21.792 3.25
60703.045439 20.959 0.711
60703.058221 20.404 0.566
60704.346078 19.415 0.893
60707.03069 20.575 1.071
60707.05431 22.105 2.462
60708.244875 21.649 1.824
60708.259665 21.75 2.083
filter ATri
60682.264693 20.446 0.623
60682.268357 21.864 1.966
60683.043071 20.279 1.102
60683.067439 20.403 0.973
60687.072442 19.574 0.68
60688.845679 19.684 0.653
60688.855623 20.186 0.953
60690.344202 19.861 0.538
60691.118043 21.347 2.261
60691.128051 20.957 1.773
60692.889526 20.153 0.845
60694.312041 22.528 3.857
60694.372648 21.346 1.932
60698.279121 21.623 1.484
60700.799028 20.488 0.547
60700.804488 21.007 0.935
60700.816702 20.807 0.777
60704.784844 21.854 3.857
60704.788469 19.85 0.585
60704.79435 21.103 1.302
60704.813854 21.491 2.467
