2024wuj 0.0747 39.5849524641 4.7231695793
filter ATgr
60695.050667 20.909 1.103
60695.056609 18.831 0.201
60695.065838 22.518 4.357
60695.066739 20.105 0.448
60696.287494 19.681 0.211
60696.291112 21.216 0.77
60696.297081 20.003 0.273
60696.312143 20.269 0.377
60700.277867 19.292 0.814
60700.281111 20.523 1.826
60704.305013 19.805 3.267
60707.032952 19.905 0.453
60707.05386 22.543 4.25
60708.233361 20.303 0.639
60708.236616 21.559 1.733
filter ATri
60682.258725 21.51 1.827
60682.262847 21.011 1.092
60682.269276 20.781 0.841
60687.129036 19.666 1.101
60688.812865 20.544 1.48
60688.834249 20.242 1.046
60688.835151 20.53 1.689
60688.838316 19.703 0.853
60690.32525 21.569 2.323
60690.329378 21.053 1.49
60690.341895 20.839 1.175
60691.132591 19.568 0.598
60692.359005 21.269 1.562
60692.827372 20.813 0.971
60692.835506 19.64 0.347
60692.846481 19.427 0.354
60694.299989 21.251 1.22
60694.305579 21.02 0.935
60694.308354 20.989 0.958
60694.332385 21.552 1.683
60694.378511 19.996 0.625
60694.38175 21.376 1.889
60698.267196 20.639 0.568
60698.270412 21.237 0.874
60698.275911 20.541 0.484
60700.782271 20.832 1.685
60704.782584 20.246 0.854
60704.790276 21.037 1.181
60704.800717 20.732 1.111
