2025N 0.04 197.3359617 46.2397369
filter ATgr
60703.648901 17.639 0.039
60703.651702 17.636 0.043
60703.661646 17.555 0.035
60703.667341 17.574 0.041
60703.675534 17.534 0.086
filter ATri
60695.552235 17.311 0.034
60695.554046 17.269 0.039
60695.560635 17.302 0.035
60695.590254 17.209 0.03
60697.453408 17.401 0.047
60697.457715 17.479 0.04
60697.458368 17.343 0.106
60697.467594 17.327 0.039
60699.566594 17.513 0.037
60699.568405 17.541 0.039
60699.571738 17.564 0.038
60699.585868 17.549 0.039
60709.541834 17.847 0.05
60709.545054 17.907 0.056
60709.549225 17.85 0.046
60709.554289 17.82 0.047
60711.433035 17.799 0.055
60711.436609 17.855 0.068
60711.43806 17.847 0.056
60711.441201 17.984 0.085
60715.426679 17.905 0.091
60715.443556 18.109 0.108
60719.453054 18.486 0.235
60719.455934 18.169 0.141
60719.478198 18.291 0.149
60719.481365 18.288 0.172
60723.517071 18.42 0.115
60723.520258 18.578 0.118
60723.523001 18.495 0.11
60723.528488 18.465 0.092
