mjd,filter,uJy,duJy
58578.466706,c,77.0,9.0
58578.476106,c,91.0,10.0
58578.485535,c,84.0,8.0
58578.494984,c,89.0,10.0
58582.460792,c,112.0,11.0
58582.470362,c,108.0,12.0
58582.479989,c,128.0,12.0
58582.489477,c,123.0,13.0
58610.416783,c,15.0,8.0
58610.425881,c,45.0,10.0
58610.434936,c,32.0,8.0
58610.443998,c,40.0,10.0
58634.335277,c,8.0,8.0
58634.338039,c,30.0,9.0
58634.343184,c,35.0,8.0
58634.355704,c,21.0,10.0
58566.488518,o,-66.0,104.0
58566.497867,o,-242.0,123.0
58566.50649,o,2.0,47.0
58566.515749,o,9.0,45.0
58568.474675,o,4.0,19.0
58568.483669,o,30.0,18.0
58568.484619,o,-1.0,16.0
58568.492211,o,-9.0,18.0
58568.493661,o,6.0,18.0
58568.50122,o,-1.0,17.0
58568.502146,o,10.0,19.0
58568.511105,o,-30.0,20.0
58570.482836,o,1.0,12.0
58570.491893,o,-2.0,11.0
58570.501591,o,-11.0,13.0
58570.51031,o,8.0,15.0
58572.472795,o,-12.0,11.0
58572.481802,o,-12.0,13.0
58572.490269,o,-26.0,14.0
58572.499247,o,3.0,13.0
58576.467614,o,33.0,14.0
58576.476555,o,46.0,14.0
58576.477481,o,45.0,13.0
58576.484901,o,35.0,12.0
58576.486426,o,29.0,12.0
58576.493725,o,34.0,14.0
58576.494712,o,58.0,14.0
58576.503519,o,20.0,14.0
58580.45046,o,82.0,18.0
58580.45967,o,85.0,17.0
58580.460628,o,100.0,16.0
58580.469415,o,78.0,18.0
58580.469876,o,78.0,18.0
58580.478511,o,67.0,18.0
58580.479589,o,99.0,20.0
58580.488617,o,64.0,18.0
58588.440036,o,152.0,22.0
58588.448816,o,161.0,19.0
58588.457121,o,164.0,20.0
58588.465997,o,146.0,22.0
58595.480511,o,120.0,27.0
58595.488903,o,173.0,28.0
58595.494521,o,89.0,27.0
58595.497301,o,160.0,24.0
58595.502917,o,171.0,28.0
58595.505713,o,134.0,26.0
58595.511339,o,154.0,24.0
58595.519762,o,190.0,34.0
58596.427651,o,186.0,20.0
58596.436456,o,149.0,20.0
58596.446346,o,147.0,21.0
58596.45574,o,146.0,19.0
58600.425553,o,124.0,11.0
58600.434421,o,146.0,14.0
58600.44278,o,129.0,14.0
58600.451629,o,139.0,13.0
58604.414098,o,112.0,13.0
58604.422781,o,114.0,14.0
58604.432071,o,66.0,12.0
58604.440873,o,113.0,13.0
58612.35441,o,56.0,16.0
58612.356257,o,77.0,16.0
58612.378838,o,50.0,18.0
58612.383614,o,22.0,17.0
58613.32787,o,52.0,12.0
58613.330157,o,70.0,13.0
58613.333814,o,57.0,11.0
58613.338844,o,80.0,12.0
58613.344905,o,78.0,12.0
58613.35293,o,64.0,11.0
58613.362385,o,49.0,13.0
58613.373376,o,34.0,11.0
58614.370917,o,55.0,10.0
58614.373698,o,66.0,12.0
58614.379796,o,74.0,12.0
58614.397232,o,84.0,14.0
58623.405809,o,14.0,31.0
58623.408574,o,48.0,59.0
58623.414677,o,-18.0,36.0
58623.426297,o,40.0,104.0
58624.384962,o,20.0,38.0
58624.392904,o,-2.0,28.0
58624.396146,o,69.0,26.0
58624.398915,o,7.0,25.0
58624.402605,o,20.0,28.0
58624.403992,o,59.0,22.0
58624.41421,o,56.0,23.0
58626.377396,o,42.0,13.0
58626.380182,o,34.0,10.0
58626.389998,o,35.0,14.0
58626.400367,o,65.0,13.0
58628.306841,o,35.0,24.0
58628.309667,o,43.0,27.0
58628.314772,o,48.0,18.0
58628.319838,o,66.0,17.0
58628.325988,o,32.0,21.0
58628.326908,o,18.0,13.0
58628.336204,o,74.0,17.0
58630.335035,o,56.0,10.0
58630.337777,o,22.0,10.0
58630.343374,o,42.0,10.0
58630.354065,o,46.0,10.0
58632.34479,o,45.0,12.0
58632.347687,o,26.0,11.0
58632.35414,o,46.0,12.0
58632.365788,o,45.0,12.0
58636.322154,o,27.0,14.0
58636.324916,o,57.0,14.0
58636.331514,o,33.0,12.0
58636.34179,o,33.0,12.0
58581.31366899982,ZTF_g,115.25930592654854,11.86822377167135
58584.25379629992,ZTF_g,130.7675538920218,10.083997230460309
58598.25325229997,ZTF_g,45.52756257967717,6.582354248897341
58601.23298610002,ZTF_g,35.886904585113,7.857120707997604
58581.271215300076,ZTF_r,108.60924632627861,12.175810509385903
58584.29423609981,ZTF_r,137.7011603848677,12.867013763476045
58593.31392360013,ZTF_r,160.61925234161663,16.596327472708534
58598.29695599992,ZTF_r,140.676255560983,10.944469103639092
58607.248900500126,ZTF_r,78.52269559130711,10.23702204943415
58634.2743286998,ZTF_r,38.96960466255633,8.110799673883498
58637.1854514,ZTF_r,33.186816958981844,6.288461299261899
