mjd,filter,uJy,duJy
58702.557567,c,-4.0,9.0
58702.561588,c,-4.0,9.0
58702.568103,c,-3.0,8.0
58702.578942,c,8.0,7.0
58706.552632,c,-7.0,10.0
58706.55592,c,-12.0,13.0
58706.563446,c,19.0,12.0
58706.579818,c,22.0,16.0
58726.468094,c,174.0,9.0
58726.471333,c,205.0,11.0
58726.478041,c,212.0,9.0
58726.489408,c,197.0,10.0
58730.633636,c,190.0,12.0
58730.636999,c,184.0,22.0
58730.640351,c,150.0,38.0
58750.534113,c,86.0,10.0
58750.544034,c,55.0,10.0
58750.547029,c,65.0,9.0
58750.552525,c,67.0,11.0
58763.502721,c,31.0,10.0
58763.506176,c,50.0,10.0
58763.512532,c,32.0,10.0
58763.532952,c,37.0,11.0
58696.545631,o,0.0,15.0
58696.548502,o,-11.0,15.0
58696.555155,o,11.0,14.0
58696.566417,o,-1.0,12.0
58700.513519,o,12.0,14.0
58700.517075,o,11.0,13.0
58700.524277,o,0.0,13.0
58700.534564,o,-2.0,12.0
58708.509903,o,-22.0,24.0
58708.512979,o,-23.0,16.0
58718.584725,o,99.0,12.0
58718.588847,o,136.0,13.0
58718.595467,o,124.0,11.0
58718.608023,o,128.0,13.0
58720.617594,o,118.0,10.0
58720.620909,o,153.0,11.0
58720.626114,o,125.0,12.0
58720.628929,o,156.0,15.0
58724.508664,o,160.0,11.0
58724.512347,o,201.0,10.0
58724.518477,o,182.0,11.0
58724.531365,o,173.0,12.0
58736.488352,o,125.0,14.0
58736.496677,o,133.0,15.0
58736.500879,o,163.0,14.0
58736.511644,o,111.0,14.0
58738.461255,o,395.0,1784.0
58738.473486,o,10.0,292.0
58745.550404,o,95.0,17.0
58745.554087,o,155.0,19.0
58745.561019,o,81.0,18.0
58745.574,o,128.0,24.0
58752.456652,o,74.0,8.0
58752.459885,o,85.0,8.0
58752.466101,o,80.0,9.0
58752.4759,o,77.0,8.0
58756.422934,o,64.0,8.0
58756.428436,o,93.0,10.0
58756.439665,o,93.0,10.0
58760.485996,o,65.0,12.0
58760.489309,o,111.0,45.0
58761.309992,o,34.0,12.0
58761.313286,o,56.0,10.0
58761.333919,o,15.0,21.0
58761.341559,o,39.0,15.0
58762.328249,o,64.0,11.0
58762.331907,o,82.0,14.0
58762.338169,o,52.0,13.0
58762.350623,o,58.0,12.0
58764.360268,o,66.0,17.0
58764.363331,o,56.0,16.0
58764.368513,o,56.0,17.0
58764.379656,o,78.0,14.0
58771.481616,o,74.0,33.0
58771.484707,o,58.0,32.0
58771.490458,o,79.0,28.0
58771.50706,o,52.0,34.0
58772.421092,o,7.0,16.0
58772.424316,o,72.0,12.0
58772.429531,o,68.0,18.0
58772.441124,o,60.0,17.0
58773.389944,o,46.0,17.0
58773.393214,o,43.0,19.0
58773.400496,o,21.0,19.0
58773.41603,o,28.0,14.0
58774.401906,o,56.0,19.0
58774.405171,o,21.0,14.0
58774.410729,o,20.0,249.0
58774.411187,o,12.0,14.0
58774.413977,o,30.0,16.0
58774.419593,o,63.0,14.0
58774.4238,o,20.0,14.0
58774.432064,o,41.0,13.0
58775.384348,o,20.0,12.0
58775.38833,o,16.0,14.0
58775.39564,o,63.0,14.0
58775.406863,o,41.0,12.0
58719.48438660009,ZTF_g,144.70102250584043,9.900635804978604
58722.416261599865,ZTF_g,191.86970154260817,13.809876183413984
58725.39076389978,ZTF_g,204.19316464019178,9.408632150055373
58725.396863400005,ZTF_g,206.66874394447927,13.657687306024487
58726.451180600096,ZTF_g,213.1469880144211,12.26608370136127
58727.44929399993,ZTF_g,206.7968884976893,11.189834366072004
58730.32609950006,ZTF_g,191.48025624629645,11.379189047266603
58733.441747699864,ZTF_g,148.9930463704129,9.469734094739092
58736.460138900205,ZTF_g,126.15021644368883,11.423083138743095
58739.50042819977,ZTF_g,98.6188650116759,26.460250068473268
58746.38048609998,ZTF_g,53.949472170475396,8.878068504589605
58746.45662039984,ZTF_g,51.15018396268576,10.086253934738677
58749.32090280019,ZTF_g,43.570646095429026,6.467700618152776
58749.43313660007,ZTF_g,45.965755220566976,7.986992568012747
58754.28994210018,ZTF_g,33.30580998479,10.739371114307867
58760.351041700225,ZTF_g,26.0999695102702,7.093328113252961
58763.37844910007,ZTF_g,20.23391866907366,7.257351129328379
58716.37931710016,ZTF_r,100.73398156176346,8.545213654742897
58717.478356500156,ZTF_r,117.15110787771026,9.79554190385851
58719.43718749983,ZTF_r,139.93952646846046,7.995684432384832
58725.484201400075,ZTF_r,198.1388326567965,10.17907458743256
58730.400914399885,ZTF_r,197.6796666328163,10.176369057963516
58733.39920140011,ZTF_r,184.49848316370174,8.807854648721957
58736.398032399826,ZTF_r,168.24602022502108,9.30340143812804
58739.375717599876,ZTF_r,161.79012107108383,11.780238197301756
58743.33672450017,ZTF_r,123.00206426863382,11.888969811012554
58745.37961809989,ZTF_r,122.2262253854876,9.330147763795532
58748.35961809987,ZTF_r,110.91860527846639,8.821090388858378
58749.29658559989,ZTF_r,109.52407651957255,8.963225878276432
58757.32112269988,ZTF_r,70.81675134354539,7.0810249005739445
58760.29774310021,ZTF_r,70.88259359331326,7.717250392200939
58763.35137729999,ZTF_r,54.32238134812338,7.43909658712333
58774.19881939981,ZTF_r,36.485474609098105,8.545858082998457
58777.202094899956,ZTF_r,34.526773836629644,6.627942441935661
